university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Cardiff,Cardiff,Cardiff Business School,BSc (Hons),Accounting and Finance,3 Years,ABB including Maths at grade B.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/accounting-and-finance-bsc
University of Cardiff,Cardiff,Cardiff Business School,BSc (Hons),Accounting and Finance with a Professional Placement Year,4 Years,ABB including Maths at grade B.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/accounting-and-finance-placement-bsc
University of Cardiff,Cardiff,Cardiff Business School,BSc (Hons),Accounting,3 Years,ABB including Maths at grade B.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/accounting-bsc
University of Cardiff,Cardiff,Cardiff Business School,BSc (Hons),Accounting with a Professional Placement Year,4 Years,ABB including Maths at grade B.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/accounting-placement-bsc
University of Cardiff,Cardiff,Cardiff Business School,BSc (Hons),Business Management,3 Years,ABB. No specific subjects required.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/business-management-bsc
University of Cardiff,Cardiff,Cardiff Business School,BSc (Hons),Business Management with a Professional Placement Year,4 Years,ABB. No specific subjects required.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/business-management-placement-bsc
University of Cardiff,Cardiff,Cardiff Business School,BSc (Hons),Business Management with a Year Abroad,4 Years,ABB. A language beneficial.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/business-management-year-abroad-bsc
University of Cardiff,Cardiff,Cardiff Business School,BSc (Hons),Economics,3 Years,ABB including Maths at grade B.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/economics-bsc
University of Cardiff,Cardiff,Cardiff Business School,BSc (Hons),Economics with a Professional Placement Year,4 Years,ABB including Maths at grade B.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/economics-placement-bsc
University of Cardiff,Cardiff,Welsh School of Architecture,BSc (Hons),Architecture,3 Years,ABB. Portfolio required. Maths or Physics beneficial.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/architecture-bsc
University of Cardiff,Cardiff,Welsh School of Architecture,BSc (Hons),Architecture with a Year of Study Abroad,4 Years,ABB. Portfolio required.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/architecture-year-abroad-bsc
University of Cardiff,Cardiff,Welsh School of Architecture,BEng (Hons),Architectural Engineering,3 Years,ABB including Maths at B. Physics beneficial.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £22,750/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/architectural-engineering-beng
University of Cardiff,Cardiff,"School of History, Archaeology and Religion",BA (Hons),Archaeology,3 Years,BBB. No specific subjects required.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/archaeology-ba
University of Cardiff,Cardiff,"School of History, Archaeology and Religion",BA (Hons),Archaeology and Ancient History,3 Years,BBB. History or Classical Civilisation beneficial.,IELTS 6.5 (min 5.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/archaeology-ancient-history-ba
University of Cardiff,Cardiff,"School of English, Communication and Philosophy",BA (Hons),English Literature,3 Years,ABB including English Literature at B.,IELTS 7.0 (min 6.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/english-literature-ba
University of Cardiff,Cardiff,"School of English, Communication and Philosophy",BA (Hons),English Language,3 Years,ABB including English or English Literature at B.,IELTS 7.0 (min 6.5),"UK: £9,535/year | International: £19,450/year",29-Jan-2026,https://www.cardiff.ac.uk/study/undergraduate/courses/english-language-ba
