university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Durham University,Durham,Department of Classics and Ancient History,BA,Ancient History,3 Years,ABB at A-Level. History or Classical Civilisation preferred.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/ancient-history-ba-v100/
Durham University,Durham,Department of Classics and Ancient History,BA,Ancient History and Archaeology,3 Years,ABB at A-Level. History or Classical Civilisation preferred.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/ancient-history-and-archaeology-ba-vv14/
Durham University,Durham,Department of Classics and Ancient History,BA,Classical Civilisation,3 Years,ABB at A-Level. No specific subjects required. Latin or Greek desirable.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/classical-civilisation-ba-q800/
Durham University,Durham,Department of Classics and Ancient History,BA,Classical Studies,3 Years,ABB at A-Level. Latin or Greek at A-Level strongly recommended.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/classical-studies-ba-q810/
Durham University,Durham,Department of English Studies,BA,English Literature,3 Years,AAB at A-Level including English Literature or English Language and Literature.,IELTS 7.0 overall (min 6.5 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/english-literature-ba-q300/
Durham University,Durham,Department of English Studies,BA,English Literature and History,3 Years,AAB at A-Level including English Literature. History desirable.,IELTS 7.0 overall (min 6.5 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/english-literature-and-history-ba-qv31/
Durham University,Durham,Department of English Studies,BA,English Literature and Philosophy,3 Years,AAB at A-Level including English Literature.,IELTS 7.0 overall (min 6.5 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/english-literature-and-philosophy-ba-qv37/
Durham University,Durham,Department of History,BA,History,3 Years,AAB at A-Level including History.,IELTS 7.0 overall (min 6.5 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/history-ba-v100/
Durham University,Durham,Department of History,BA,History and Politics,3 Years,AAB at A-Level including History.,IELTS 7.0 overall (min 6.5 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/history-and-politics-ba-vl12/
Durham University,Durham,Department of History,BA,History and Sociology,3 Years,ABB at A-Level including History.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/history-and-sociology-ba-vl13/
Durham University,Durham,School of Modern Languages and Cultures,BA,French,4 Years,ABB at A-Level including French at Grade A.,IELTS 7.0 overall (min 6.5 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/french-ba-r100/
Durham University,Durham,School of Modern Languages and Cultures,BA,German,4 Years,ABB at A-Level including German at Grade A.,IELTS 7.0 overall (min 6.5 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/german-ba-r200/
Durham University,Durham,School of Modern Languages and Cultures,BA,Spanish,4 Years,ABB at A-Level including Spanish at Grade A.,IELTS 7.0 overall (min 6.5 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/spanish-ba-r400/
Durham University,Durham,School of Modern Languages and Cultures,BA,French and Spanish,4 Years,ABB at A-Level including both French and Spanish at Grade A.,IELTS 7.0 overall (min 6.5 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/french-and-spanish-ba-rr14/
Durham University,Durham,School of Modern Languages and Cultures,BA,Italian,4 Years,"ABB at A-Level including Italian at Grade A, or beginners welcome.",IELTS 7.0 overall (min 6.5 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/italian-ba-r300/
Durham University,Durham,School of Modern Languages and Cultures,BA,Russian,4 Years,ABB at A-Level. No prior knowledge of Russian required.,IELTS 7.0 overall (min 6.5 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/russian-ba-r800/
Durham University,Durham,School of Modern Languages and Cultures,BA,Modern Languages and Cultures,4 Years,AAB at A-Level including at least one modern foreign language at Grade A.,IELTS 7.0 overall (min 6.5 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/modern-languages-and-cultures-ba-t900/
Durham University,Durham,Department of Music,BA,Music,3 Years,ABB at A-Level including Music. Grade 8 on an instrument strongly recommended.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/music-ba-w300/
Durham University,Durham,Department of Music,BMus,Music,3 Years,ABB at A-Level including Music. Grade 8 on an instrument strongly recommended.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/music-bmus-w301/
Durham University,Durham,Department of Philosophy,BA,Philosophy,3 Years,ABB at A-Level. No specific subjects required.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/philosophy-ba-v500/
Durham University,Durham,"Multiple Departments (Philosophy, Politics, Economics)",BA,"Philosophy, Politics and Economics (PPE)",3 Years,AAB at A-Level. Mathematics and/or a social science subject preferred.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/philosophy-politics-and-economics-ba-v570/
Durham University,Durham,Department of Philosophy / Department of Theology and Religion,BA,Philosophy and Theology,3 Years,ABB at A-Level. No specific subjects required.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/philosophy-and-theology-ba-vv56/
Durham University,Durham,Department of Theology and Religion,BA,Theology and Religion,3 Years,"ABB at A-Level. Religious Studies, History or Philosophy preferred.",IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/theology-and-religion-ba-v600/
Durham University,Durham,Department of Theology and Religion,BA,"Theology, Religion and Philosophy of Religion",3 Years,ABB at A-Level. Religious Studies or Philosophy preferred.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/theology-religion-and-philosophy-of-religion-ba-v650/
Durham University,Durham,School of Arts and Cultures,BA,Visual Arts and Film,3 Years,"BBB at A-Level. Portfolio required. Art and Design, Photography or Film preferred.",IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/visual-arts-and-film-ba-w600/
Durham University,Durham,Liberal Arts (Multi-Department),BA,Liberal Arts,3 Years,AAB at A-Level. No specific subjects required. Strong interdisciplinary interest.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/liberal-arts-ba-y100/
Durham University,Durham,Department of Anthropology,BA,Anthropology,3 Years,"BBB at A-Level. Sociology, Psychology or Biology preferred.",IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/anthropology-ba-l600/
Durham University,Durham,Department of Anthropology,BSc,Anthropology,3 Years,BBB at A-Level. Biology or Psychology preferred for BSc route.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/anthropology-bsc-l601/
Durham University,Durham,Department of Anthropology / Department of Archaeology,BA,Anthropology and Archaeology,3 Years,BBB at A-Level. No specific subjects required.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/anthropology-and-archaeology-ba-lv16/
Durham University,Durham,Department of Anthropology / Department of Sociology,BA,Anthropology and Sociology,3 Years,BBB at A-Level. Sociology or Psychology preferred.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/anthropology-and-sociology-ba-ll69/
Durham University,Durham,Department of Archaeology,BA,Archaeology,3 Years,"BBB at A-Level. History, Geography or a science subject preferred.",IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/archaeology-ba-v400/
Durham University,Durham,Department of Archaeology,BSc,Archaeology,3 Years,"BBB at A-Level. A science subject (Biology, Chemistry, Geography) preferred.",IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/archaeology-bsc-v401/
Durham University,Durham,Department of Archaeology,BA,Archaeology and Ancient Civilisations,3 Years,BBB at A-Level. History or Classical Civilisation preferred.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/archaeology-and-ancient-civilisations-ba-vv46/
Durham University,Durham,Department of Archaeology,BA,Archaeology of the Historic World,4 Years,BBB at A-Level. History or Archaeology preferred. Includes placement year.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/archaeology-of-the-historic-world-ba-v410/
Durham University,Durham,Department of Geography,BA,Geography,3 Years,ABB at A-Level including Geography.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/geography-ba-l700/
Durham University,Durham,Department of Geography,BSc,Geography,3 Years,ABB at A-Level including Geography.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/geography-bsc-f800/
Durham University,Durham,School of Government and International Affairs,BA,Government and International Affairs,3 Years,"ABB at A-Level. Politics, History or a social science subject preferred.",IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/government-and-international-affairs-ba-l250/
Durham University,Durham,School of Government and International Affairs,BA,International Relations,3 Years,"ABB at A-Level. History, Politics or Economics preferred.",IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/international-relations-ba-l251/
Durham University,Durham,School of Government and International Affairs,BA,Politics,3 Years,"ABB at A-Level. History, Politics or a social science subject preferred.",IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/politics-ba-m100/
Durham University,Durham,Department of Sociology,BA,Sociology,3 Years,"BBB at A-Level. Sociology, Psychology or History preferred.",IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/sociology-ba-l300/
Durham University,Durham,Department of Sociology,BA,Sociology and Criminology,3 Years,"BBB at A-Level. Sociology, Psychology or Law preferred.",IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/sociology-and-criminology-ba-lm31/
Durham University,Durham,Department of Sport and Exercise Sciences,BSc,Sport and Exercise Science,3 Years,"BBB at A-Level including at least one science subject (Biology, PE, Psychology or Chemistry).",IELTS 6.5 overall (min 6.0 per component),"UK: £9,790/year | International: £24,900/year",29-Jan-2026,https://www.durham.ac.uk/study/undergraduate/courses/sport-and-exercise-science-bsc-c600/
