university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Exeter,Exeter,University of Exeter Business School,BSc,Accounting and Business,3 Years,ABB at A-Level. Mathematics preferred.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,790/year | International: £24,250/year",29-Jan-2026,https://www.exeter.ac.uk/undergraduate-degrees/bsc-accounting-and-business/
University of Exeter,Exeter,University of Exeter Business School,BSc,Accounting and Finance,3 Years,ABB at A-Level including Mathematics.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,790/year | International: £24,250/year",29-Jan-2026,https://www.exeter.ac.uk/undergraduate-degrees/bsc-accounting-and-finance/
University of Exeter,Exeter,University of Exeter Business School,BSc,Finance,3 Years,ABB at A-Level including Mathematics.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,790/year | International: £24,250/year",29-Jan-2026,https://www.exeter.ac.uk/undergraduate-degrees/bsc-finance/
University of Exeter,Exeter,University of Exeter Business School,BSc,Finance: Business Management,3 Years,ABB at A-Level including Mathematics.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,790/year | International: £24,250/year",29-Jan-2026,https://www.exeter.ac.uk/undergraduate-degrees/bsc-finance-business-management/
University of Exeter,Exeter,University of Exeter Business School,BSc,Finance: Data Science,3 Years,ABB at A-Level including Mathematics.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,790/year | International: £24,250/year",29-Jan-2026,https://www.exeter.ac.uk/undergraduate-degrees/bsc-finance-data-science/
University of Exeter,Exeter,University of Exeter Business School,BSc,Finance: Investment Banking,3 Years,ABB at A-Level including Mathematics.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,790/year | International: £24,250/year",29-Jan-2026,https://www.exeter.ac.uk/undergraduate-degrees/bsc-finance-investment-banking/
University of Exeter,Exeter,"Department of Sociology, Philosophy and Anthropology",BA,Anthropology,3 Years,ABB at A-Level. Social sciences or humanities preferred.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,790/year | International: £24,250/year",29-Jan-2026,https://www.exeter.ac.uk/undergraduate-degrees/ba-anthropology/
University of Exeter,Exeter,"Department of Sociology, Philosophy and Anthropology",BA,Archaeology and Anthropology,3 Years,ABB at A-Level. History or Social Sciences preferred.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,790/year | International: £24,250/year",29-Jan-2026,https://www.exeter.ac.uk/undergraduate-degrees/ba-archaeology-and-anthropology/
University of Exeter,Exeter,"Department of Sociology, Philosophy and Anthropology",BA,Sociology and Anthropology,3 Years,ABB at A-Level. Social sciences preferred.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,790/year | International: £24,250/year",29-Jan-2026,https://www.exeter.ac.uk/undergraduate-degrees/ba-sociology-and-anthropology/
University of Exeter,Exeter,Institute of Arab and Islamic Studies,MArabic,Arabic and Islamic Studies,4 Years,ABB at A-Level. No prior Arabic required.,IELTS 7.0 overall (min 6.5 per component),"UK: £9,790/year | International: £24,250/year",29-Jan-2026,https://www.exeter.ac.uk/undergraduate-degrees/marabic-arab-and-islamic-studies/
