university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
London School of Economics and Political Science (LSE),London,Department of Accounting,BSc,Accounting and Finance,3 Years,"A-Levels: A*AA. Mathematics required. IB: 38 points (766 HL, including 6 in HL Maths).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £35,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-accounting-and-finance
London School of Economics and Political Science (LSE),London,Department of Mathematics,BSc,Actuarial Science,3 Years,"A-Levels: A*AA. Mathematics required. IB: 38 points (766 HL, including 7 in HL Maths).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £30,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-actuarial-science
London School of Economics and Political Science (LSE),London,Department of Mathematics,BSc,Actuarial Science (with a Placement Year),4 Years,"A-Levels: A*AA. Mathematics required. IB: 38 points (766 HL, including 7 in HL Maths).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £30,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-actuarial-science-with-a-placement-year
London School of Economics and Political Science (LSE),London,Department of Anthropology,BA,Anthropology and Law,3 Years,A-Levels: A*AA. IB: 38 points (766 HL).,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £30,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/ba-anthropology-and-law
London School of Economics and Political Science (LSE),London,Department of Data Science and AI,BSc,Data Science,3 Years,"A-Levels: A*AA. Mathematics required. IB: 38 points (766 HL, including 7 in HL Maths).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £32,100",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-data-science
London School of Economics and Political Science (LSE),London,Department of Economic History,BSc,Economic History,3 Years,A-Levels: A*AA. IB: 38 points (766 HL).,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £28,900",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economic-history
London School of Economics and Political Science (LSE),London,Department of Economic History,BSc,Economic History and Geography,3 Years,A-Levels: A*AA. IB: 38 points (766 HL).,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £28,900",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economic-history-and-geography
London School of Economics and Political Science (LSE),London,Department of Economics,BSc,Economics,3 Years,"A-Levels: A*AA. Mathematics (with A*) required. IB: 38 points (766 HL, including 7 in HL Maths).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £39,900",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economics
London School of Economics and Political Science (LSE),London,Department of Economics,BSc,Economics and Data Science,3 Years,"A-Levels: A*AA. Mathematics required. IB: 38 points (766 HL, including 7 in HL Maths).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £35,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economics-and-data-science
London School of Economics and Political Science (LSE),London,Department of Economics,BSc,Economics and Economic History,3 Years,"A-Levels: A*AA. Mathematics required. IB: 38 points (766 HL, including 6 in HL Maths).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £30,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-economics-and-economic-history
London School of Economics and Political Science (LSE),London,Department of Economics,BSc,Econometrics and Mathematical Economics,3 Years,"A-Levels: A*A*A. Mathematics (with A*) and Further Mathematics required. IB: 39 points (776 HL, including 7 in HL Maths).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £39,900",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-econometrics-and-mathematical-economics
London School of Economics and Political Science (LSE),London,Department of Geography and Environment,BSc,Environment and Sustainable Development,3 Years,A-Levels: A*AA. IB: 38 points (766 HL).,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £30,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-environment-and-sustainable-development
London School of Economics and Political Science (LSE),London,Department of Geography and Environment,BSc,Environment and Sustainable Development with Economics,3 Years,"A-Levels: A*AA. Mathematics required. IB: 38 points (766 HL, including 6 in HL Maths).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £30,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-environment-and-sustainable-development-with-economics
London School of Economics and Political Science (LSE),London,Department of Finance,BSc,Finance,3 Years,"A-Levels: A*AA. Mathematics required. IB: 38 points (766 HL, including 7 in HL Maths).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £35,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-finance
London School of Economics and Political Science (LSE),London,Department of Statistics,BSc,Financial Mathematics and Statistics,3 Years,"A-Levels: A*AA. Mathematics required. IB: 38 points (766 HL, including 7 in HL Maths).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £35,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-financial-mathematics-and-statistics
London School of Economics and Political Science (LSE),London,Department of Geography and Environment,BA,Geography,3 Years,A-Levels: A*AA. IB: 38 points (766 HL).,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £28,900",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/ba-geography
London School of Economics and Political Science (LSE),London,Department of Geography and Environment,BSc,Geography with Economics,3 Years,"A-Levels: A*AA. Mathematics required. IB: 38 points (766 HL, including 6 in HL Maths).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £30,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-geography-with-economics
London School of Economics and Political Science (LSE),London,Department of International History,BA,History,3 Years,"A-Levels: A*AA. History required. IB: 38 points (766 HL, including 7 in HL History).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £28,900",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/ba-history
London School of Economics and Political Science (LSE),London,Department of International History,BSc,History and Politics,3 Years,A-Levels: A*AA. IB: 38 points (766 HL).,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £28,900",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-history-and-politics
London School of Economics and Political Science (LSE),London,Department of Government,BSc,International Relations,3 Years,A-Levels: A*AA. IB: 38 points (766 HL).,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £30,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-international-relations
London School of Economics and Political Science (LSE),London,Department of Government,BSc,International Relations and Chinese,4 Years (inc. year abroad),A-Levels: A*AA. IB: 38 points (766 HL).,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £28,900",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-international-relations-and-chinese
London School of Economics and Political Science (LSE),London,Department of Government,BSc,International Relations and History,3 Years,A-Levels: A*AA. IB: 38 points (766 HL).,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £28,900",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-international-relations-and-history
London School of Economics and Political Science (LSE),London,Department of Social Policy,BSc,International Social and Public Policy,3 Years,A-Levels: A*AA. IB: 38 points (766 HL).,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £28,900",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-international-social-and-public-policy
London School of Economics and Political Science (LSE),London,Department of Social Policy,BSc,International Social and Public Policy with Economics,3 Years,"A-Levels: A*AA. Mathematics required. IB: 38 points (766 HL, including 6 in HL Maths).",IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £30,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-international-social-and-public-policy-with-economics
London School of Economics and Political Science (LSE),London,Department of Media and Communications,BSc,"Language, Culture and Society",4 Years (inc. year abroad),A-Levels: A*AA. IB: 38 points (766 HL).,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £28,900",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-language-culture-and-society
London School of Economics and Political Science (LSE),London,Department of Law,LLB,Laws,3 Years,A-Levels: A*AA. IB: 38 points (766 HL).,LNAT required; IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £35,700",14-Jan-2026,https://www.lse.ac.uk/study-at-lse/undergraduate/llb-bachelor-of-laws
