university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Queen Mary University of London,London,School of the Arts,BA,Drama,3 Years,A-Levels: ABB. Audition required. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/drama
Queen Mary University of London,London,School of the Arts,BA,Film Studies,3 Years,A-Levels: ABB. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/film-studies
Queen Mary University of London,London,School of English and Drama,BA,English Literature,3 Years,A-Levels: ABB including English Literature. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/english-literature
Queen Mary University of London,London,School of English and Drama,BA,English Language and Linguistics,3 Years,A-Levels: ABB. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/english-language-linguistics
Queen Mary University of London,London,School of English and Drama,BA,Comparative Literature,3 Years,A-Levels: ABB. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/comparative-literature
Queen Mary University of London,London,School of English and Drama,BA,Creative Writing and English Literature,3 Years,A-Levels: ABB including English. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/creative-writing-english-literature
Queen Mary University of London,London,School of History,BA,History,3 Years,A-Levels: ABB including History. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/history
Queen Mary University of London,London,School of History,BA,History and Politics,3 Years,A-Levels: ABB. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/history-and-politics
Queen Mary University of London,London,School of Politics and International Relations,BA,Politics,3 Years,A-Levels: ABB. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/politics
Queen Mary University of London,London,School of Politics and International Relations,BA,Politics and International Relations,3 Years,A-Levels: ABB. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/politics-international-relations
Queen Mary University of London,London,School of Politics and International Relations,BA,International Relations,3 Years,A-Levels: ABB. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/international-relations
Queen Mary University of London,London,School of Geography,BA,Geography,3 Years,A-Levels: ABB including Geography preferred. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/geography
Queen Mary University of London,London,School of Geography,BSc,Geography,3 Years,A-Levels: ABB including Geography and a science. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/geography-bsc
Queen Mary University of London,London,School of Geography,BSc,Environmental Science,3 Years,A-Levels: ABB including Biology or Geography. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/environmental-science
Queen Mary University of London,London,School of Geography,BSc,Global Development,3 Years,A-Levels: ABB. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £25,000",29-Jan-2026 (UCAS),https://www.qmul.ac.uk/undergraduate/courses/global-development
