university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Bristol,Bristol,School of Arts,BA,Film and Television,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £22,300/year",29-Jan-2026,https://www.bristol.ac.uk/study/undergraduate/2026/film-television
University of Bristol,Bristol,School of Arts,BA,Theatre and Performance Studies,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £22,300/year",29-Jan-2026,https://www.bristol.ac.uk/study/undergraduate/2026/theatre-performance-studies
University of Bristol,Bristol,School of Arts,BA,History of Art,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £22,300/year",29-Jan-2026,https://www.bristol.ac.uk/study/undergraduate/2026/history-of-art
University of Bristol,Bristol,School of Arts,BMus,Music,3 Years,ABB at A-Level including Music. Audition required.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £22,300/year",29-Jan-2026,https://www.bristol.ac.uk/study/undergraduate/2026/music
University of Bristol,Bristol,School of Economics,BSc,Economics,3 Years,AAB at A-Level including Mathematics at grade A.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £24,700/year",29-Jan-2026,https://www.bristol.ac.uk/study/undergraduate/2026/economics
University of Bristol,Bristol,School of Economics,BSc,Economics and Mathematics,3 Years,A*AA at A-Level including Mathematics at grade A*.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £24,700/year",29-Jan-2026,https://www.bristol.ac.uk/study/undergraduate/2026/economics-mathematics
University of Bristol,Bristol,School of Education,BA,Education Studies,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £22,300/year",29-Jan-2026,https://www.bristol.ac.uk/study/undergraduate/2026/education-studies
University of Bristol,Bristol,School of Humanities,BA,Ancient History,3 Years,ABB at A-Level. Classical subjects useful but not required.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £22,300/year",29-Jan-2026,https://www.bristol.ac.uk/study/undergraduate/2026/ancient-history
University of Bristol,Bristol,School of Humanities,BA,Archaeology,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £22,300/year",29-Jan-2026,https://www.bristol.ac.uk/study/undergraduate/2026/archaeology
University of Bristol,Bristol,School of Humanities,BA,Classical Studies,3 Years,ABB at A-Level. Latin or Greek useful but not required.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £22,300/year",29-Jan-2026,https://www.bristol.ac.uk/study/undergraduate/2026/classical-studies
University of Bristol,Bristol,School of Humanities,BA,English,3 Years,AAB at A-Level including English Literature.,IELTS 6.5 overall (min 6.5 per component),"UK: £9,250/year | International: £22,300/year",29-Jan-2026,https://www.bristol.ac.uk/study/undergraduate/2026/english
