university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Ancient and Medieval History,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/373-ancient-and-medieval-history/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Ancient History,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/302-ancient-history/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Ancient Mediterranean Civilisations,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/340-ancient-mediterranean-civilisations/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Archaeology,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/310-archaeology/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Archaeology and Ancient History,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/648-archaeology-and-ancient-history/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Archaeology and Social Anthropology,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/322-archaeology-and-social-anthropology/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Architectural History and Archaeology,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/344-architectural-history-and-archaeology/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Architectural History and Heritage,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/338-architectural-history-and-heritage/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),History,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/271-history/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),History and Archaeology,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/647-history-and-archaeology/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),History and Classical Archaeology,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/346-history-and-classical-archaeology/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),History and Politics,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/261-history-and-politics/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Medieval History,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/276-medieval-history/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Scottish History,4 Years,Highers: AABBB / A-Levels: ABB. Personal statement important.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/280-scottish-history/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Ancient History and Greek,4 Years,Highers: AABBB / A-Levels: ABB. Latin or Greek not required but advantageous.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/326-ancient-history-and-greek/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Ancient History and Latin,4 Years,Highers: AABBB / A-Levels: ABB. Latin or Greek not required but advantageous.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/325-ancient-history-and-latin/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Classical Studies,4 Years,Highers: AABBB / A-Levels: ABB. Latin or Greek not required but advantageous.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/330-classical-studies/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Classics,4 Years,Highers: AABBB / A-Levels: ABB. Latin or Greek not required but advantageous.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/306-classics/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Classics and English Literature,4 Years,Highers: AABBB / A-Levels: ABB. Latin or Greek not required but advantageous.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/399-classics-and-english-literature/
University of Edinburgh,Edinburgh,"School of History, Classics & Archaeology",MA (Hons),Classics and History,4 Years,Highers: AABBB / A-Levels: ABB. Latin or Greek not required but advantageous.,IELTS 6.5 overall (min 6.0 per component),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/345-classics-and-history/
University of Edinburgh,Edinburgh,"School of Literatures, Languages & Cultures",MA (Hons),Arabic and Ancient Greek,4 Years,Highers: AABBB / A-Levels: ABB. Language at Higher/A-Level required for some programmes.,IELTS 7.0 overall (min 7.0 writing),"• £1,820
• £9,790
• £29,600",14-Jan-2026,https://study.ed.ac.uk/programmes/undergraduate/580-arabic-and-ancient-greek/
