university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Glasgow,Glasgow,Adam Smith Business School,BAcc,Accountancy & Finance,4 Years,Higher: AABBB (Scottish). A-Levels: ABB. Mathematics required.,IELTS 6.5 (min 5.5),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £27,720/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/accountancy/
University of Glasgow,Glasgow,Adam Smith Business School,BSc,Accounting & Mathematics,4 Years,Higher: AABBB. A-Levels: ABB including Mathematics.,IELTS 6.0 overall (min 5.5 per component),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £27,720/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/accountingmathematics/
University of Glasgow,Glasgow,Adam Smith Business School,BSc,Accounting & Statistics,4 Years,Higher: AABBB. A-Levels: ABB including Mathematics.,IELTS 6.0 overall (min 5.5 per component),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £27,720/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/accountingstatistics/
University of Glasgow,Glasgow,Adam Smith Business School,BFin,Finance,4 Years,Higher: AABBB. A-Levels: ABB including Mathematics.,IELTS 6.0 overall (min 5.5 per component),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £27,720/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/finance/
University of Glasgow,Glasgow,Adam Smith Business School,BSc,Finance & Mathematics,4 Years,Higher: AABBB. A-Levels: ABB including Mathematics.,IELTS 6.0 overall (min 5.5 per component),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £27,720/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/financemathematics/
University of Glasgow,Glasgow,Adam Smith Business School,BSc,Finance & Statistics,4 Years,Higher: AABBB. A-Levels: ABB including Mathematics.,IELTS 6.0 overall (min 5.5 per component),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £27,720/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/financestatistics/
University of Glasgow,Glasgow,School of Engineering,BEng/MEng,Aeronautical Engineering,4/5 Years,Higher: AABBB. A-Levels: ABB including Mathematics and Physics (or relevant science).,IELTS 6.0 overall (min 5.5 per component),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £33,210/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/aeronauticalengineering/
University of Glasgow,Glasgow,School of Engineering,BEng/MEng,Aerospace Systems,4/5 Years,Higher: AABBB. A-Levels: ABB including Mathematics and Physics (or relevant science).,IELTS 6.0 overall (min 5.5 per component),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £33,210/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/aerospacesystems/
University of Glasgow,Glasgow,School of Engineering,BEng/MEng,Biomedical Engineering,4/5 Years,Higher: AABBB. A-Levels: ABB including Mathematics and Physics (or relevant science).,IELTS 6.0 overall (min 5.5 per component),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £33,210/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/biomedicalengineering/
University of Glasgow,Glasgow,School of Engineering,BEng/MEng,Civil Engineering,4/5 Years,Higher: AABBB. A-Levels: ABB including Mathematics and Physics (or relevant science).,IELTS 6.0 overall (min 5.5 per component),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £33,210/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/civilengineering/
University of Glasgow,Glasgow,School of Engineering,BEng/MEng,Civil Engineering with Architecture,4/5 Years,Higher: AABBB. A-Levels: ABB including Mathematics and Physics (or relevant science).,IELTS 6.0 overall (min 5.5 per component),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £33,210/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/civilengineeringwitharchitecture/
University of Glasgow,Glasgow,School of Engineering,BEng/MEng,Electronic & Software Engineering,4/5 Years,Higher: AABBB. A-Levels: ABB including Mathematics and Physics (or relevant science).,IELTS 6.0 overall (min 5.5 per component),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £33,210/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/electronicsoftwareengineering/
University of Glasgow,Glasgow,School of Engineering,BEng/MEng,Electronics & Electrical Engineering,4/5 Years,Higher: AABBB. A-Levels: ABB including Mathematics and Physics (or relevant science).,IELTS 6.0 overall (min 5.5 per component),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £33,210/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/electronics/
University of Glasgow,Glasgow,School of Engineering,BEng/MEng,Electronics with Music,4/5 Years,Higher: AABBB. A-Levels: ABB including Mathematics and Physics (or relevant science).,IELTS 6.0 overall (min 5.5 per component),"Scottish: Free (SAAS) | RUK: £9,790/year | International: £33,210/year",29-Jan-2026,https://www.gla.ac.uk/undergraduate/degrees/electronicswithmusic/
