university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Liverpool,Liverpool,School of the Arts,BA,Ancient History,3 Years,A-Levels: BBB | IB: 28 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/ancient-history-ba-hons
University of Liverpool,Liverpool,School of the Arts,BA,Archaeology,3 Years,A-Levels: BBB | IB: 28 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/archaeology-ba-hons
University of Liverpool,Liverpool,School of the Arts,BSc,Archaeology,3 Years,A-Levels: BBB | IB: 28 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/archaeology-bsc-hons
University of Liverpool,Liverpool,School of the Arts,BA,Archaeology of Ancient Civilisations,3 Years,A-Levels: BBB | IB: 28 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/archaeology-of-ancient-civilisations-ba-hons
University of Liverpool,Liverpool,"School of Histories, Languages and Cultures",BA,Classical Studies,3 Years,A-Levels: BBB | IB: 28 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/classical-studies-ba-hons
University of Liverpool,Liverpool,School of the Arts,BA,Classics,3 Years,A-Levels: BBB | IB: 28 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/classics-ba-hons
University of Liverpool,Liverpool,School of the Arts,BA,Egyptology,3 Years,A-Levels: BBB | IB: 28 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/egyptology-ba-hons
University of Liverpool,Liverpool,"School of Histories, Languages and Cultures",BA,English,3 Years,A-Levels: ABB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/english-ba-hons
University of Liverpool,Liverpool,"School of Histories, Languages and Cultures",BA,English Language,3 Years,A-Levels: ABB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/english-language-ba-hons
University of Liverpool,Liverpool,"School of Histories, Languages and Cultures",BA,English Literature,3 Years,A-Levels: ABB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/english-literature-ba-hons
University of Liverpool,Liverpool,"School of Histories, Languages and Cultures",BA,English Literature with Drama Studies,3 Years,A-Levels: ABB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/english-literature-with-drama-studies-ba-hons
University of Liverpool,Liverpool,"School of Histories, Languages and Cultures",BA,English with World Literature,3 Years,A-Levels: ABB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/english-with-world-literature-ba-hons
University of Liverpool,Liverpool,School of the Arts,BA,Film Studies,3 Years,A-Levels: ABB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/film-studies-ba-hons
University of Liverpool,Liverpool,"School of Histories, Languages and Cultures",BA,History,3 Years,A-Levels: ABB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/history-ba-hons
University of Liverpool,Liverpool,"School of Histories, Languages and Cultures",BA,History and Languages,4 Years,A-Levels: ABB | IB: 33 points. Year abroad included.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/history-and-languages-ba-hons
University of Liverpool,Liverpool,"School of Histories, Languages and Cultures",BA,History and Politics,3 Years,A-Levels: ABB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/history-and-politics-ba-hons
University of Liverpool,Liverpool,"School of Histories, Languages and Cultures",BA,Hispanic Studies,4 Years,A-Levels: ABB | IB: 33 points. Year abroad included.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/hispanic-studies-ba-hons
University of Liverpool,Liverpool,School of the Arts,BA,Music,3 Years,A-Levels: ABB | IB: 33 points. Audition and portfolio required.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/music-ba-hons
University of Liverpool,Liverpool,School of the Arts,BA,Philosophy,3 Years,A-Levels: ABB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/philosophy-ba-hons
University of Liverpool,Liverpool,School of the Arts,BA,Popular Music,3 Years,A-Levels: ABB | IB: 33 points. Audition required.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/popular-music-ba-hons
University of Liverpool,Liverpool,"School of Histories, Languages and Cultures",BA,Theology and Religious Studies,3 Years,A-Levels: BBB | IB: 30 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/theology-and-religious-studies-ba-hons
University of Liverpool,Liverpool,School of the Arts,BA,Communication and Media,3 Years,A-Levels: ABB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/communication-and-media-ba-hons
University of Liverpool,Liverpool,School of the Arts,BA,"Communication, Media and Politics",3 Years,A-Levels: ABB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/communication-media-and-politics-ba-hons
University of Liverpool,Liverpool,School of the Arts,BA,"Communication, Media and Popular Music",3 Years,A-Levels: ABB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/communication-media-and-popular-music-ba-hons-2
University of Liverpool,Liverpool,School of the Arts,BA,Communication and Media and Game Design Studies,3 Years,A-Levels: ABB | IB: 33 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/communication-and-media-with-game-design-studies-ba-hons-2
University of Liverpool,Liverpool,School of Architecture,BA,Architecture,3 Years,A-Levels: AAA | IB: 36 points. Portfolio required.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £29,900",14-Jan-2026,https://www.liverpool.ac.uk/courses/architecture-ba-hons
University of Liverpool,Liverpool,School of Architecture,BA,Architecture Design Studies,3 Years,A-Levels: ABB | IB: 33 points. Portfolio required.,IELTS 6.0 overall (min 5.5 per component),"• £9,790
• £29,900",14-Jan-2026,https://www.liverpool.ac.uk/courses/architecture-design-studies-ba-hons
University of Liverpool,Liverpool,School of Law and Social Justice,BA,Criminology,3 Years,A-Levels: BBB | IB: 30 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/criminology-ba-hons
University of Liverpool,Liverpool,School of Law and Social Justice,BA,Criminology with Social Policy,3 Years,A-Levels: BBB | IB: 30 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/criminology-with-social-policy-ba-hons
University of Liverpool,Liverpool,School of Law and Social Justice,BA,Criminology with Sociology,3 Years,A-Levels: BBB | IB: 30 points.,IELTS 6.5 overall (min 6.0 per component),"• £9,790
• £24,100",14-Jan-2026,https://www.liverpool.ac.uk/courses/criminology-with-sociology-ba-hons
