university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Manchester,Manchester,Alliance Manchester Business School,BSc,Accounting,3 Years,"A-Levels: AAA including Mathematics at grade A or above. IB: 36 points overall with 6,6,6 at HL, including 6 in HL Mathematics.",IELTS 6.5 overall (no component below 6.5),"• £9,790/year
• £33,100",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/00001/bsc-accounting
University of Manchester,Manchester,Alliance Manchester Business School,BSc,Accounting and Finance,3 Years,"A-Levels: AAA including Mathematics at grade A or above. IB: 36 points overall with 6,6,6 at HL, including 6 in HL Mathematics.",IELTS 6.5 overall (no component below 6.5),"• £9,790/year
• £33,100",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/00003/bsc-accounting-and-finance
University of Manchester,Manchester,Alliance Manchester Business School,BAEcon,Economics,3 Years,"A-Levels: AAA including Mathematics at grade A. IB: 36 points overall with 6,6,6 at HL, including 6 in HL Mathematics.",IELTS 6.5 overall (no component below 6.5),"• £9,790/year
• £31,000",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/05134/baecon-economics
University of Manchester,Manchester,Alliance Manchester Business School,BAEcon,Economics and Politics,3 Years,"A-Levels: AAA including Mathematics at grade A. IB: 36 points overall with 6,6,6 at HL, including 6 in HL Mathematics.",IELTS 6.5 overall (no component below 6.5),"• £9,790/year
• £31,000",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/05137/baecon-economics-and-politics
University of Manchester,Manchester,Alliance Manchester Business School,BAEcon,Finance,3 Years,"A-Levels: AAA including Mathematics at grade A. IB: 36 points overall with 6,6,6 at HL, including 6 in HL Mathematics.",IELTS 6.5 overall (no component below 6.5),"• £9,790/year
• £33,100",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/05138/baecon-finance
University of Manchester,Manchester,Alliance Manchester Business School,BSc,"International Business, Finance and Economics",3 Years,"A-Levels: AAA including Mathematics at grade A. IB: 36 points overall with 6,6,6 at HL, including 6 in HL Mathematics.",IELTS 6.5 overall (no component below 6.5),"• £9,790/year
• £33,100",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/09224/bsc-international-business-finance-and-economics
University of Manchester,Manchester,Alliance Manchester Business School,BSc,International Management,3 Years,"A-Levels: AAA including Mathematics at grade A. IB: 36 points overall with 6,6,6 at HL, including 6 in HL Mathematics.",IELTS 6.5 overall (no component below 6.5),"• £9,790/year
• £33,100",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/18515/bsc-international-management
University of Manchester,Manchester,Alliance Manchester Business School,BSc,Management,3 Years,"A-Levels: AAA including Mathematics at grade A. IB: 36 points overall with 6,6,6 at HL, including 6 in HL Mathematics.",IELTS 6.5 overall (no component below 6.5),"• £9,790/year
• £33,100",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/00566/bsc-management
University of Manchester,Manchester,Department of Computer Science,BSc,Computer Science,3 Years,"A-Levels: A*AA including A* in Mathematics and one of: Computer Science, Further Mathematics, Biology, Chemistry, or Physics. IB: 38 points overall with 7,7,6 at HL including 7 in HL Mathematics.",IELTS 7.0 overall (no component below 6.5),"• £9,790/year
• £37,800",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/00560/bsc-computer-science
University of Manchester,Manchester,Department of Computer Science,MEng,Computer Science,4 Years,"A-Levels: A*AA including A* in Mathematics and one science/CS subject. IB: 38 points overall with 7,7,6 at HL including 7 in HL Mathematics.",IELTS 7.0 overall (no component below 6.5),"• £9,790/year
• £37,800",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/00561/meng-computer-science
University of Manchester,Manchester,Department of Computer Science,BSc,Computer Science with Industrial Experience,4 Years (inc. placement),"A-Levels: A*AA including A* in Mathematics and one science/CS subject. IB: 38 points overall with 7,7,6 at HL including 7 in HL Mathematics.",IELTS 7.0 overall (no component below 6.5),"• £9,790/year
• £37,800",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/00559/bsc-computer-science-with-industrial-experience
University of Manchester,Manchester,Department of Computer Science,BSc,Computer Science and Mathematics,3 Years,"A-Levels: A*AA including A* in Mathematics and one science/CS subject. IB: 38 points overall with 7,7,6 at HL including 7 in HL Mathematics.",IELTS 7.0 overall (no component below 6.5),"• £9,790/year
• £37,800",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/00558/bsc-computer-science-and-mathematics
University of Manchester,Manchester,Department of Computer Science,BSc,Artificial Intelligence,3 Years,"A-Levels: A*AA including A* in Mathematics and one science/CS subject. IB: 38 points overall with 7,7,6 at HL including 7 in HL Mathematics.",IELTS 7.0 overall (no component below 6.5),"• £9,790/year
• £37,800",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/12574/bsc-artificial-intelligence
University of Manchester,Manchester,Department of Computer Science,MEng,Artificial Intelligence,4 Years,"A-Levels: A*AA including A* in Mathematics and one science/CS subject. IB: 38 points overall with 7,7,6 at HL including 7 in HL Mathematics.",IELTS 7.0 overall (no component below 6.5),"• £9,790/year
• £37,800",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/12575/meng-artificial-intelligence
University of Manchester,Manchester,Department of Mathematics,BSc,Mathematics,3 Years,"A-Levels: A*AA including A* in Mathematics. IB: 37 points overall with 7,6,6 at HL including 7 in HL Mathematics.",IELTS 6.5 overall (no component below 6.5),"• £9,790/year
• £34,500",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/00590/bsc-mathematics
University of Manchester,Manchester,Department of Mathematics,MMath,Mathematics,4 Years,"A-Levels: A*AA including A* in Mathematics. IB: 37 points overall with 7,6,6 at HL including 7 in HL Mathematics.",IELTS 6.5 overall (no component below 6.5),"• £9,790/year
• £34,500",29-Jan-2026 (UCAS),https://www.manchester.ac.uk/study/undergraduate/courses/2026/00591/mmath-mathematics
