university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Nottingham,Nottingham,Nottingham University Business School,BSc,Accountancy,3 Years,A-Levels: AAB. Mathematics preferred. IB: 34 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £26,800",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/n410
University of Nottingham,Nottingham,Nottingham University Business School,BSc,Business and Management,3 Years,A-Levels: ABB. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £24,700",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/n200
University of Nottingham,Nottingham,Nottingham University Business School,BSc,"Finance, Accounting and Management",3 Years,A-Levels: ABB. Mathematics preferred. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £24,700",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/nn34
University of Nottingham,Nottingham,Nottingham University Business School,BSc,"Finance, Accounting and Management with Placement Year",4 Years,A-Levels: ABB. Mathematics preferred. IB: 32 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £24,700",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/nn3d
University of Nottingham,Nottingham,Nottingham University Business School,BSc,Financial Mathematics,3 Years,A-Levels: ABB including Mathematics at A. IB: 34 points with 6 in HL Mathematics.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £24,700",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/g120
University of Nottingham,Nottingham,Nottingham University Business School,BSc,Industrial Economics,3 Years,A-Levels: ABB including Mathematics. IB: 34 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £24,700",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/l1n2
University of Nottingham,Nottingham,Nottingham University Business School,BSc,Industrial Economics with Placement Year,4 Years,A-Levels: ABB including Mathematics. IB: 34 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £24,700",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/l1nd
University of Nottingham,Nottingham,School of Economics,BSc,Economics,3 Years,A-Levels: AAB including Mathematics at A. IB: 34 points with 6 in HL Mathematics.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £26,800",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/l100
University of Nottingham,Nottingham,School of Economics,BSc,Economics and Econometrics,3 Years,A-Levels: AAB including Mathematics at A. IB: 34 points with 6 in HL Mathematics.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £26,800",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/l140
University of Nottingham,Nottingham,School of Economics,BSc,Economics and International Economics,3 Years,A-Levels: AAB including Mathematics at A. IB: 34 points with 6 in HL Mathematics.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £26,800",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/l160
University of Nottingham,Nottingham,School of Computer Science,BSc,Computer Science,3 Years,A-Levels: AAB including Mathematics at A. IB: 34 points with 6 in HL Mathematics.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £33,000",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/g400
University of Nottingham,Nottingham,School of Computer Science,MSci,Computer Science,4 Years,A-Levels: AAA including Mathematics at A. IB: 36 points with 7 in HL Mathematics.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £33,000",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/g404
University of Nottingham,Nottingham,School of Computer Science,BSc,Computer Science with Artificial Intelligence,3 Years,A-Levels: AAB including Mathematics at A. IB: 34 points with 6 in HL Mathematics.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £33,000",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/g4g7
University of Nottingham,Nottingham,School of Computer Science,MSci,Computer Science with Artificial Intelligence,4 Years,A-Levels: AAA including Mathematics at A. IB: 36 points with 7 in HL Mathematics.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £33,000",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/g4g1
University of Nottingham,Nottingham,School of Computer Science,BSc,Computer Science with Year in Industry,4 Years,A-Levels: AAB including Mathematics at A. IB: 34 points with 6 in HL Mathematics.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £33,000",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/g407
University of Nottingham,Nottingham,School of Computer Science,MSci,Computer Science including International Year,4 Years,A-Levels: AAA including Mathematics at A. IB: 36 points with 7 in HL Mathematics.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £33,000",29-Jan-2026 (UCAS),https://www.nottingham.ac.uk/undergraduate/degrees/g406
