university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of York,York,Department of English and Related Literature,BA,English Language and Linguistics,3 years,ABB at A-level. IB 33. International: equivalent national quals,IELTS 6.5 min 6.0 each,"• UK: 9790/yr
• International: 23100/yr",15 Jan 2026 (UCAS),https://www.york.ac.uk/study/undergraduate/courses/ba-english-language-linguistics/
University of York,York,Department of English and Related Literature,BA,English Literature,3 years,ABB at A-level. IB 33. International: equivalent national quals,IELTS 6.5 min 6.0 each,"• UK: 9790/yr
• International: 23100/yr",15 Jan 2026 (UCAS),https://www.york.ac.uk/study/undergraduate/courses/ba-english-literature/
University of York,York,Department of English and Related Literature,BA,English Literature and History,3 years,ABB at A-level. IB 33. International: equivalent national quals,IELTS 6.5 min 6.0 each,"• UK: 9790/yr
• International: 23100/yr",15 Jan 2026 (UCAS),https://www.york.ac.uk/study/undergraduate/courses/ba-english-literature-history/
University of York,York,Department of English and Related Literature,BA,Creative Writing,3 years,ABB at A-level. IB 33. Portfolio required. International: equivalent national quals,IELTS 6.5 min 6.0 each,"• UK: 9790/yr
• International: 23100/yr",15 Jan 2026 (UCAS),https://www.york.ac.uk/study/undergraduate/courses/ba-creative-writing/
University of York,York,Department of History,BA,History,3 years,ABB at A-level (History preferred). IB 33. International: equivalent national quals,IELTS 6.5 min 6.0 each,"• UK: 9790/yr
• International: 23100/yr",15 Jan 2026 (UCAS),https://www.york.ac.uk/study/undergraduate/courses/ba-history/
University of York,York,Department of History,BA,History and Economics,3 years,ABB at A-level. IB 33. International: equivalent national quals,IELTS 6.5 min 6.0 each,"• UK: 9790/yr
• International: 23100/yr",15 Jan 2026 (UCAS),https://www.york.ac.uk/study/undergraduate/courses/ba-history-economics/
University of York,York,Department of History,BA,History and Politics,3 years,ABB at A-level. IB 33. International: equivalent national quals,IELTS 6.5 min 6.0 each,"• UK: 9790/yr
• International: 23100/yr",15 Jan 2026 (UCAS),https://www.york.ac.uk/study/undergraduate/courses/ba-history-politics/
University of York,York,Department of History of Art,BA,History of Art,3 years,BBB at A-level. IB 32. International: equivalent national quals,IELTS 6.5 min 6.0 each,"• UK: 9790/yr
• International: 23100/yr",15 Jan 2026 (UCAS),https://www.york.ac.uk/study/undergraduate/courses/ba-history-of-art/
University of York,York,Department of Philosophy,BA,Philosophy,3 years,ABB at A-level. IB 33. International: equivalent national quals,IELTS 6.5 min 6.0 each,"• UK: 9790/yr
• International: 23100/yr",15 Jan 2026 (UCAS),https://www.york.ac.uk/study/undergraduate/courses/ba-philosophy/
University of York,York,Department of Philosophy,BA,"Philosophy, Politics and Economics (PPE)",3 years,ABB at A-level. IB 33. International: equivalent national quals,IELTS 6.5 min 6.0 each,"• UK: 9790/yr
• International: 23100/yr",15 Jan 2026 (UCAS),https://www.york.ac.uk/study/undergraduate/courses/ba-philosophy-politics-economics/
