university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
King's College London,London,Faculty of Arts & Humanities,BA,Ancient History BA,3 Years,A-Levels: ABB | IB: 32 points. History or Classical Studies preferred.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/ancient-history-ba
King's College London,London,Faculty of Arts & Humanities,BA,Classical Studies BA,3 Years,A-Levels: ABB | IB: 32 points. No Latin/Greek required.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/classical-studies-ba
King's College London,London,Faculty of Arts & Humanities,BA,Classics BA,3 Years,A-Levels: ABB | IB: 32 points. Latin or Greek preferred.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/classics-ba
King's College London,London,Faculty of Arts & Humanities,BA,Comparative Literature BA,3 Years,A-Levels: ABB | IB: 32 points. Two languages preferred.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/comparative-literature-ba
King's College London,London,Faculty of Arts & Humanities,BA,Digital Culture BA,3 Years,A-Levels: ABB | IB: 32 points.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/digital-culture-ba
King's College London,London,Faculty of Arts & Humanities,BA,English BA,3-4 Years,A-Levels: AAB | IB: 35 points. English Literature at A-Level.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/english-ba
King's College London,London,Faculty of Arts & Humanities,BA,English Language & Linguistics BA,3 Years,A-Levels: ABB | IB: 32 points.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/english-language-and-linguistics-ba
King's College London,London,Faculty of Arts & Humanities,BA,Film Studies BA,3-4 Years,A-Levels: ABB | IB: 32 points.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/film-studies-ba
King's College London,London,Faculty of Arts & Humanities,BA,French BA,3-4 Years,A-Levels: ABB | IB: 32 points. French to A-Level or equivalent.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/french-ba
King's College London,London,Faculty of Arts & Humanities,BA,German BA,3-4 Years,A-Levels: ABB | IB: 32 points. German to A-Level or equivalent.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/german-ba
King's College London,London,Faculty of Arts & Humanities,BA,Greek and Latin BA,3-4 Years,A-Levels: ABB | IB: 32 points. Latin or Greek required.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/greek-and-latin-ba
King's College London,London,Faculty of Arts & Humanities,BA,History BA,3-4 Years,A-Levels: ABB | IB: 32 points. History preferred.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/history-ba
King's College London,London,Faculty of Arts & Humanities,BA,History and Classical Studies BA,3 Years,A-Levels: ABB | IB: 32 points.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/history-and-classical-studies-ba
King's College London,London,Faculty of Arts & Humanities,BA,History and German BA,3-4 Years,A-Levels: ABB | IB: 32 points. German to A-Level.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/history-and-german-ba
King's College London,London,Faculty of Arts & Humanities,BA,History of Art BA,3 Years,A-Levels: ABB | IB: 32 points.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/history-of-art-ba
King's College London,London,Faculty of Arts & Humanities,BA,Liberal Arts BA,3 Years,A-Levels: ABB | IB: 34 points.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/liberal-arts-ba
King's College London,London,Faculty of Arts & Humanities,BMus,Music BMus,3-4 Years,A-Levels: ABB | IB: 32 points. Audition required. Grade 8 standard.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £25,500",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/music-bmus
King's College London,London,Faculty of Arts & Humanities,BA,Philosophy BA,3-4 Years,A-Levels: ABB | IB: 32 points.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/philosophy-ba
King's College London,London,Faculty of Arts & Humanities,BA,Portuguese and Brazilian Studies BA,3-4 Years,A-Levels: ABB | IB: 32 points.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/portuguese-and-brazilian-studies-ba
King's College London,London,Faculty of Arts & Humanities,BA,Spanish BA,3-4 Years,A-Levels: ABB | IB: 32 points. Spanish to A-Level or equivalent.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/spanish-ba
King's College London,London,Faculty of Arts & Humanities,BA,Theology and Religious Studies BA,3-4 Years,A-Levels: ABB | IB: 32 points.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/theology-and-religious-studies-ba
King's College London,London,Faculty of Arts & Humanities,BA,War Studies BA,3 Years,A-Levels: ABB | IB: 32 points.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/war-studies-ba
King's College London,London,Faculty of Social Sciences & Public Policy,BSc,Economics BSc,3 Years,A-Levels: AAB | IB: 35 points. Mathematics at A-Level required.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £35,800",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/economics-bsc
King's College London,London,Faculty of Social Sciences & Public Policy,BSc,Economics with a Year Abroad BSc,4 Years,A-Levels: AAB | IB: 35 points. Mathematics at A-Level required.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £35,800",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/economics-with-a-year-abroad-bsc
King's College London,London,Faculty of Social Sciences & Public Policy,BA,Geography BA,3-4 Years,A-Levels: ABB | IB: 32 points. Geography preferred.,IELTS 7.0 overall (min 6.5 per component),"• £9,790
• £27,100",29-Jan-2026,https://www.kcl.ac.uk/study/undergraduate/courses/geography-ba
