university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Newcastle University,Newcastle upon Tyne,"School of Architecture, Planning and Landscape",BA,Architecture,3 Years,"A-Levels: ABB including Art and Design, Design Technology or Physics preferred. IB: 32 points.",IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £28,000",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/k100
Newcastle University,Newcastle upon Tyne,"School of Architecture, Planning and Landscape",MArch,Architecture,2 Years (PG entry),A-Levels: Good Honours degree (2:1) in Architecture or equivalent. IB: N/A — graduate entry.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £25,500",Rolling admissions — check programme page for deadlines,https://www.ncl.ac.uk/postgraduate/degrees/1236f
Newcastle University,Newcastle upon Tyne,Newcastle University Business School,BA,Accounting and Finance,3 Years,A-Levels: AAB. Mathematics preferred. IB: 34 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £24,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/n420
Newcastle University,Newcastle upon Tyne,Newcastle University Business School,BA,Economics,3 Years,A-Levels: ABB including Mathematics at B or above. IB: 32 points including 5 in HL Mathematics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £24,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/l100
Newcastle University,Newcastle upon Tyne,Newcastle University Business School,BA,Business Management,3 Years,A-Levels: ABB. IB: 32 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £24,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/n100
Newcastle University,Newcastle upon Tyne,Newcastle University Business School,BA,Business Management with Placement Year,4 Years (inc. placement),A-Levels: ABB. IB: 32 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £24,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/n101
Newcastle University,Newcastle upon Tyne,Newcastle University Business School,BA,Marketing,3 Years,A-Levels: ABB. IB: 32 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £24,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/n520
Newcastle University,Newcastle upon Tyne,Newcastle University Business School,BA,International Business Management,4 Years (inc. year abroad),A-Levels: ABB. IB: 32 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £24,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/n121
Newcastle University,Newcastle upon Tyne,Newcastle University Business School,BA,"Finance, Accounting and Management",3 Years,A-Levels: ABB including Mathematics preferred. IB: 32 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £24,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/n421
Newcastle University,Newcastle upon Tyne,School of Computing,BSc,Computer Science,3 Years,A-Levels: AAB including Mathematics at A. IB: 35 points including 6 in HL Mathematics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £30,600",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/g400
Newcastle University,Newcastle upon Tyne,School of Computing,BSc,Computer Science (Software Engineering),3 Years,A-Levels: AAB including Mathematics at A. IB: 35 points including 6 in HL Mathematics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £30,600",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/g600
Newcastle University,Newcastle upon Tyne,School of Computing,BSc,Computer Science (Cyber Security),3 Years,A-Levels: AAB including Mathematics at A. IB: 35 points including 6 in HL Mathematics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £30,600",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/i195
Newcastle University,Newcastle upon Tyne,School of Computing,BSc,Computer Science (Game Engineering),3 Years,A-Levels: AAB including Mathematics at A. IB: 35 points including 6 in HL Mathematics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £30,600",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/g450
Newcastle University,Newcastle upon Tyne,School of Computing,BSc,Computing and Mathematics,3 Years,A-Levels: AAB including Mathematics at A. IB: 35 points including 6 in HL Mathematics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £30,600",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/gg40
Newcastle University,Newcastle upon Tyne,School of Computing,BSc,Data Science,3 Years,A-Levels: AAB including Mathematics at A. IB: 35 points including 6 in HL Mathematics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £30,600",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/g200
Newcastle University,Newcastle upon Tyne,School of Computing,MEng,Computer Science,4 Years,A-Levels: AAA including Mathematics at A. IB: 36 points including 6 in HL Mathematics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £30,600",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/g401
Newcastle University,Newcastle upon Tyne,School of Engineering,BEng,Mechanical Engineering,3 Years,A-Levels: AAB including Mathematics and Physics. IB: 35 points including 6 in HL Mathematics and 6 in HL Physics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £26,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/h300
Newcastle University,Newcastle upon Tyne,School of Engineering,MEng,Mechanical Engineering,4 Years,A-Levels: AAA including Mathematics and Physics. IB: 36 points including 6 in HL Mathematics and 6 in HL Physics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £26,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/h301
Newcastle University,Newcastle upon Tyne,School of Engineering,BEng,Civil Engineering,3 Years,A-Levels: AAB including Mathematics and Physics. IB: 35 points including 6 in HL Mathematics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £26,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/h200
Newcastle University,Newcastle upon Tyne,School of Engineering,MEng,Civil Engineering,4 Years,A-Levels: AAA including Mathematics and Physics. IB: 36 points including 6 in HL Mathematics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £26,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/h201
Newcastle University,Newcastle upon Tyne,School of Engineering,BEng,Electrical and Electronic Engineering,3 Years,A-Levels: AAB including Mathematics and Physics. IB: 35 points including 6 in HL Mathematics and 6 in HL Physics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £26,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/h600
Newcastle University,Newcastle upon Tyne,School of Engineering,MEng,Electrical and Electronic Engineering,4 Years,A-Levels: AAA including Mathematics and Physics. IB: 36 points including 6 in HL Mathematics and 6 in HL Physics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £26,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/h601
Newcastle University,Newcastle upon Tyne,School of Engineering,BEng,Chemical Engineering,3 Years,A-Levels: AAB including Chemistry and Mathematics. IB: 35 points including 6 in HL Chemistry and 6 in HL Mathematics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £26,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/h800
Newcastle University,Newcastle upon Tyne,School of Engineering,MEng,Chemical Engineering,4 Years,A-Levels: AAA including Chemistry and Mathematics. IB: 36 points including 6 in HL Chemistry and 6 in HL Mathematics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £26,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/h801
Newcastle University,Newcastle upon Tyne,School of Engineering,BEng,Aerospace Engineering,3 Years,A-Levels: AAB including Mathematics and Physics. IB: 35 points including 6 in HL Mathematics and 6 in HL Physics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £26,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/h400
Newcastle University,Newcastle upon Tyne,School of Engineering,MEng,Aerospace Engineering,4 Years,A-Levels: AAA including Mathematics and Physics. IB: 36 points including 6 in HL Mathematics and 6 in HL Physics.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £26,400",29-Jan-2026 (UCAS),https://www.ncl.ac.uk/undergraduate/degrees/h401
