university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Oxford,Oxford,Faculty of History,BA,Ancient and Modern History,3 Years,A-Levels: AAA. HAH (History Admissions Test) required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £35,260",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/ancient-and-modern-history
University of Oxford,Oxford,Faculty of History,BA,History,3 Years,A-Levels: AAA. HAH (History Admissions Test) required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £35,260",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/history
University of Oxford,Oxford,Faculty of History,BA,History (Ancient and Modern),3 Years,A-Levels: AAA. HAH required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £35,260",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/history-ancient-and-modern
University of Oxford,Oxford,Faculty of English Language and Literature,BA,English Language and Literature,3 Years,A-Levels: AAA. ELAT (English Literature Admissions Test) required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £35,260",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/english-language-and-literature
University of Oxford,Oxford,Faculty of Philosophy,BA,Philosophy and Theology,3 Years,A-Levels: AAA. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £35,260",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/philosophy-and-theology
University of Oxford,Oxford,Faculty of Philosophy,BA,"Philosophy, Politics and Economics (PPE)",3 Years,A-Levels: AAA including Mathematics strongly recommended. TSA (Thinking Skills Assessment) required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £38,550",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/philosophy-politics-and-economics
University of Oxford,Oxford,Faculty of Philosophy,BA,Philosophy and Modern Languages,4 Years,A-Levels: AAA. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £35,260",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/philosophy-and-modern-languages
University of Oxford,Oxford,Faculty of Philosophy,BA,Philosophy and Mathematics,3 Years,A-Levels: A*AA including Mathematics at A*. MAT (Mathematics Admissions Test) required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/mathematics-and-philosophy
University of Oxford,Oxford,Faculty of Music,BA,Music,3 Years,A-Levels: AAA. Music Theory test required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £35,260",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/music
University of Oxford,Oxford,Ruskin School of Art,BA,Fine Art,3 Years,A-Levels: AAA. Portfolio required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £35,260",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/fine-art
University of Oxford,Oxford,Faculty of Theology and Religion,BA,Theology and Religion,3 Years,A-Levels: AAA. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £35,260",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/theology-and-religion
University of Oxford,Oxford,School of Anthropology and Museum Ethnography,BA,Human Sciences,3 Years,A-Levels: AAA. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £38,550",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/human-sciences
University of Oxford,Oxford,Faculty of Law,BA,Jurisprudence (Law),3 Years,A-Levels: AAA. LNAT (Law National Admissions Test) required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £35,260",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/jurisprudence
University of Oxford,Oxford,Faculty of Law,BA,Jurisprudence with Law Studies in Europe,4 Years,A-Levels: AAA. LNAT required. Relevant European language required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £35,260",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/jurisprudence-law-studies-europe
University of Oxford,Oxford,Department of Economics,BA,Economics and Management,3 Years,A-Levels: AAA including Mathematics at A. TSA required. Interview required. IB: 39 points with 7 in HL Mathematics.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £38,550",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/economics-and-management
University of Oxford,Oxford,School of Geography and the Environment,BA,Geography,3 Years,A-Levels: AAA. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £38,550",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/geography
University of Oxford,Oxford,Department of Politics and International Relations,BA,Politics and International Relations,3 Years,A-Levels: AAA. TSA required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £38,550",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/politics-and-international-relations
University of Oxford,Oxford,Department of Sociology,BA,Sociology,3 Years,A-Levels: AAA. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £38,550",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/sociology
University of Oxford,Oxford,Mathematical Institute,BA/MMath,Mathematics,3 or 4 Years,"A-Levels: A*A*A. MAT (Mathematics Admissions Test) required. Interview required. IB: 39 points with 7,7 in HL Mathematics and one other.",IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/mathematics
University of Oxford,Oxford,Mathematical Institute,BA,Mathematics and Statistics,3 Years,A-Levels: A*A*A including Mathematics at A*. MAT required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/mathematics-and-statistics
University of Oxford,Oxford,Mathematical Institute,BA,Mathematics and Computer Science,3 Years,A-Levels: A*AA including Mathematics at A*. MAT required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/mathematics-and-computer-science
University of Oxford,Oxford,Department of Computer Science,BA/MEng,Computer Science,3 or 4 Years,A-Levels: A*AA including Mathematics at A*. MAT required. Interview required. IB: 39 points with 7 in HL Mathematics.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/computer-science
University of Oxford,Oxford,Department of Computer Science,BA,Computer Science and Philosophy,3 Years,A-Levels: A*AA including Mathematics at A*. MAT required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/computer-science-and-philosophy
University of Oxford,Oxford,Department of Physics,BA/MPhys,Physics,3 or 4 Years,A-Levels: A*AA including Mathematics and Physics. PAT (Physics Admissions Test) required. Interview required. IB: 39 points with 7 in HL Physics and 7 in HL Mathematics.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/physics
University of Oxford,Oxford,Department of Physics,BA,Physics and Philosophy,3 Years,A-Levels: A*AA including Mathematics and Physics. PAT required. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/physics-and-philosophy
University of Oxford,Oxford,Department of Chemistry,BA/MChem,Chemistry,3 or 4 Years,A-Levels: A*AA including Chemistry and Mathematics. Interview required. IB: 40 points with 7 in HL Chemistry and 6 in HL Mathematics.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/chemistry
University of Oxford,Oxford,Department of Biochemistry,BA/MBiochem,Biochemistry,3 or 4 Years,"A-Levels: A*AA including Chemistry and one of Biology, Mathematics, or Physics. Interview required. IB: 39 points with 7 in HL Chemistry.",IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/biochemistry
University of Oxford,Oxford,Department of Biology,BA/MBiol,Biology,3 or 4 Years,A-Levels: A*AA including Biology and Chemistry. Interview required. IB: 39 points with 7 in HL Biology and 6 in HL Chemistry.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/biology
University of Oxford,Oxford,Department of Zoology,BA,Zoology,3 Years,A-Levels: A*AA including Biology and Chemistry. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/zoology
University of Oxford,Oxford,School of Geography and the Environment,BA/MEarthSci,Earth Sciences,3 or 4 Years,"A-Levels: A*AA including at least one science (Chemistry, Physics, Mathematics, Geography, or Biology). Interview required. IB: 39 points.",IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/earth-sciences
University of Oxford,Oxford,Department of Engineering Science,BA/MEng,Engineering Science,3 or 4 Years,A-Levels: A*AA including Mathematics and Physics. PAT required. Interview required. IB: 40 points with 7 in HL Mathematics and 7 in HL Physics.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/engineering-science
University of Oxford,Oxford,Department of Engineering Science,BA/MEng,Materials Science,3 or 4 Years,A-Levels: A*AA including Chemistry and Mathematics. Interview required. IB: 39 points.,IELTS 7.0 overall (min 6.5 in each component). Admissions test required (see programme page).,"• £9,790/year
• £48,620",29-Jan-2026 (UCAS),https://www.ox.ac.uk/admissions/undergraduate/courses/materials-science
