university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Warwick,Coventry,Department of English and Comparative Literary Studies,BA,English Literature,3 years,AAA at A-level (English required). IB 36 with 666 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 27870/yr",29 Jan 2026 (UCAS),https://warwick.ac.uk/study/undergraduate/courses/ba-english-literature/
University of Warwick,Coventry,Department of English and Comparative Literary Studies,BA,English Literature and Creative Writing,3 years,AAA at A-level (English required). IB 36 with 666 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 27870/yr",29 Jan 2026 (UCAS),https://warwick.ac.uk/study/undergraduate/courses/ba-english-literature-creative-writing/
University of Warwick,Coventry,Department of English and Comparative Literary Studies,BA,English and History,3 years,AAA at A-level (English required). IB 36 with 666 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 27870/yr",29 Jan 2026 (UCAS),https://warwick.ac.uk/study/undergraduate/courses/ba-english-history/
University of Warwick,Coventry,Department of Film and Television Studies,BA,Film Studies,3 years,AAB at A-level. IB 35 with 665 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 27870/yr",29 Jan 2026 (UCAS),https://warwick.ac.uk/study/undergraduate/courses/ba-film-studies/
University of Warwick,Coventry,Department of Film and Television Studies,BA,Film and Literature,3 years,AAB at A-level. IB 35 with 665 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 27870/yr",29 Jan 2026 (UCAS),https://warwick.ac.uk/study/undergraduate/courses/ba-film-literature/
University of Warwick,Coventry,School of Modern Languages and Cultures,BA,French Studies,4 years,AAB at A-level (French required). IB 35 with 665 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 27870/yr",29 Jan 2026 (UCAS),https://warwick.ac.uk/study/undergraduate/courses/ba-french-studies/
University of Warwick,Coventry,School of Modern Languages and Cultures,BA,German Studies,4 years,AAB at A-level (German required). IB 35 with 665 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 27870/yr",29 Jan 2026 (UCAS),https://warwick.ac.uk/study/undergraduate/courses/ba-german-studies/
University of Warwick,Coventry,School of Modern Languages and Cultures,BA,Hispanic Studies,4 years,ABB at A-level (Spanish required). IB 34 with 655 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 27870/yr",29 Jan 2026 (UCAS),https://warwick.ac.uk/study/undergraduate/courses/ba-hispanic-studies/
University of Warwick,Coventry,School of Modern Languages and Cultures,BA,Italian Studies,4 years,ABB at A-level. IB 34 with 655 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 27870/yr",29 Jan 2026 (UCAS),https://warwick.ac.uk/study/undergraduate/courses/ba-italian-studies/
University of Warwick,Coventry,School of Modern Languages and Cultures,BA,Modern Languages,4 years,ABB at A-level (modern language required). IB 34 with 655 at HL. International: equivalent national quals,No standard test (IELTS 6.5 min 6.0 each),"• UK: 9790/yr
• International: 27870/yr",29 Jan 2026 (UCAS),https://warwick.ac.uk/study/undergraduate/courses/ba-modern-languages/
