university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Loughborough University,Loughborough,School of Social Sciences and Humanities,BA,English,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee
Study abroad year: 15% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/english/2026/
Loughborough University,Loughborough,School of Social Sciences and Humanities,BA,History,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee
Study abroad year: 15% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/history/2026/
Loughborough University,Loughborough,School of Social Sciences and Humanities,BA,Politics,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee
Study abroad year: 15% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/politics/2026/
Loughborough University,Loughborough,School of Social Sciences and Humanities,BA,International Relations,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee
Study abroad year: 15% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/international-relations/2026/
Loughborough University,Loughborough,School of Social Sciences and Humanities,BA,Sociology,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee
Study abroad year: 15% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/sociology/2026/
Loughborough University,Loughborough,School of Social Sciences and Humanities,BA,Criminology,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/criminology/2026/
Loughborough University,Loughborough,School of Social Sciences and Humanities,BA,Geography (Human),3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee
Study abroad year: 15% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/geography/2026/
Loughborough University,Loughborough,School of Social Sciences and Humanities,BA,Communication and Media Studies,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/communication-and-media-studies/2026/
Loughborough University,Loughborough,Loughborough Business School,BSc,Business Administration,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/business-administration/2026/
Loughborough University,Loughborough,Loughborough Business School,BSc,Accounting and Finance,3 years full-time,"A-levels: ABB; Maths preferred; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/accounting-and-finance/2026/
Loughborough University,Loughborough,Loughborough Business School,BSc,Economics,3 years full-time,"A-levels: ABB including Maths; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/economics/2026/
Loughborough University,Loughborough,Loughborough Business School,BSc,Marketing,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/marketing/2026/
Loughborough University,Loughborough,Loughborough Business School,BSc,Finance,3 years full-time,"A-levels: ABB including Maths preferred; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/finance/2026/
Loughborough University,Loughborough,Loughborough Business School,BSc,Information Management and Business,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1a): 25950/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/information-management-and-business/2026/
Loughborough University,Loughborough,Leicester Law School (at Loughborough),LLB,Law,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 1): 24700/yr
Placement year: 20% of full-time fee
Study abroad year: 15% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/law/2026/
Loughborough University,Loughborough,School of Psychology,BSc,Psychology,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 2): 27300/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/psychology/2026/
Loughborough University,Loughborough,School of Science,BSc,Mathematics,3 years full-time,"A-levels: AAB including Maths (A grade); Further Maths beneficial; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 2): 27300/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/mathematics/2026/
Loughborough University,Loughborough,School of Science,BSc,Computer Science,3 years full-time,"A-levels: AAB including Maths; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 2): 27300/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/computer-science/2026/
Loughborough University,Loughborough,School of Science,BSc,Physics,3 years full-time,"A-levels: AAB including Maths and Physics; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 2): 27300/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/physics/2026/
Loughborough University,Loughborough,School of Science,BSc,Chemistry,3 years full-time,"A-levels: AAB including Chemistry; Maths preferred; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 2): 27300/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/chemistry/2026/
Loughborough University,Loughborough,School of Science,BSc,Biological Sciences,3 years full-time,"A-levels: ABB including Biology; Chemistry preferred; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 2): 27300/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/biological-sciences/2026/
Loughborough University,Loughborough,School of Science,BSc,Data Science,3 years full-time,"A-levels: ABB including Maths; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 2): 27300/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/data-science/2026/
Loughborough University,Loughborough,School of Science,BSc,Sports Science,3 years full-time,"A-levels: ABB including at least one Science; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 3): 30700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/sport-and-exercise-science/2026/
Loughborough University,Loughborough,School of Sport Exercise and Health Sciences,BSc,Sport and Exercise Science,3 years full-time,"A-levels: ABB including at least one Science; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 3): 30700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/sport-and-exercise-science/2026/
Loughborough University,Loughborough,School of Sport Exercise and Health Sciences,BSc,Physical Education and Sport,3 years full-time,"A-levels: BBB; IELTS 6.5 overall (min 6.0 each); relevant sporting background expected","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 3): 30700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/physical-education-and-sport/2026/
Loughborough University,Loughborough,School of Design and Creative Arts,BSc,Industrial Design and Technology,3 years full-time,"A-levels: ABB; Portfolio required; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 3): 30700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/industrial-design-and-technology/2026/
Loughborough University,Loughborough,School of Design and Creative Arts,BA,Product Design,3 years full-time,"A-levels: ABB; Portfolio required; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 3): 30700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/product-design/2026/
Loughborough University,Loughborough,School of Design and Creative Arts,BA,Graphic Communication and Illustration,3 years full-time,"A-levels: ABB; Portfolio required; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 3): 30700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/graphic-communication-and-illustration/2026/
Loughborough University,Loughborough,School of Architecture Building and Civil Engineering,BSc,Architecture,3 years full-time,"A-levels: ABB; Portfolio required; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International (Band 3): 30700/yr
Placement year: 20% of full-time fee",29 January 2026,https://www.lboro.ac.uk/study/undergraduate/courses/architecture/2026/
