university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Royal Holloway University of London,Egham,Department of Computer Science,BSc,Computer Science,3 years full-time,"A-levels: BBB including Maths; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/computer-science/computer-science/
Royal Holloway University of London,Egham,Department of Computer Science,BSc,Computer Science with Artificial Intelligence,3 years full-time,"A-levels: BBB including Maths; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/computer-science/computer-science-with-artificial-intelligence/
Royal Holloway University of London,Egham,Department of Computer Science,BSc,Computer Science with Cyber Security,3 years full-time,"A-levels: BBB including Maths; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/computer-science/computer-science-with-cyber-security/
Royal Holloway University of London,Egham,Department of Computer Science,BSc,Computer Science with Games Technology,3 years full-time,"A-levels: BBB including Maths; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/computer-science/computer-science-with-games-technology/
Royal Holloway University of London,Egham,Department of Electronic Engineering,BEng,Electronic Engineering,3 years full-time,"A-levels: BBB including Maths and Physics; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/electronic-engineering/electronic-engineering/
Royal Holloway University of London,Egham,Department of Electronic Engineering,MEng,Electronic Engineering (Integrated Masters),4 years full-time,"A-levels: ABB including Maths and Physics; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/electronic-engineering/electronic-engineering-meng/
Royal Holloway University of London,Egham,School of Business and Management,BSc,Business Management,3 years full-time,"A-levels: BBB; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/business-school/business-management/
Royal Holloway University of London,Egham,School of Business and Management,BSc,Business Management with Entrepreneurship,3 years full-time,"A-levels: BBB; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/business-school/business-management-with-entrepreneurship/
Royal Holloway University of London,Egham,School of Business and Management,BSc,Business Management with Finance,3 years full-time,"A-levels: BBB; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/business-school/business-management-with-finance/
Royal Holloway University of London,Egham,School of Business and Management,BSc,Business Management with a Year Abroad,4 years full-time,"A-levels: BBB; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/business-school/business-management-with-a-year-abroad/
Royal Holloway University of London,Egham,Department of Economics,BSc,Economics,3 years full-time,"A-levels: BBB including Maths; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/economics/economics/
Royal Holloway University of London,Egham,Department of Economics,BSc,Economics and Finance,3 years full-time,"A-levels: BBB including Maths; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/economics/economics-and-finance/
Royal Holloway University of London,Egham,Department of Economics,BSc,Economics and Management,3 years full-time,"A-levels: BBB including Maths; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/economics/economics-and-management/
Royal Holloway University of London,Egham,Department of Psychology,BSc,Psychology,3 years full-time,"A-levels: BBB; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/psychology/psychology/
Royal Holloway University of London,Egham,Department of Psychology,BSc,Psychology with Clinical Psychology,3 years full-time,"A-levels: BBB; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/psychology/psychology-with-clinical-psychology/
Royal Holloway University of London,Egham,Department of Psychology,BSc,Psychology with Neuroscience,3 years full-time,"A-levels: BBB; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/psychology/psychology-with-neuroscience/
Royal Holloway University of London,Egham,Department of Law,LLB,Law,3 years full-time,"A-levels: ABB; IELTS 7.0 overall (no band below 6.0); or equivalent international qualification","IELTS 7.0 / TOEFL 100 / PTE 68","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law/
Royal Holloway University of London,Egham,Department of Law,LLB,Law with Criminology,3 years full-time,"A-levels: ABB; IELTS 7.0 overall (no band below 6.0); or equivalent international qualification","IELTS 7.0 / TOEFL 100 / PTE 68","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-criminology/
Royal Holloway University of London,Egham,Department of Politics International Relations and Philosophy,BSc,Politics,3 years full-time,"A-levels: BBB; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics/
Royal Holloway University of London,Egham,Department of Politics International Relations and Philosophy,BSc,Politics and International Relations,3 years full-time,"A-levels: BBB; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics-and-international-relations/
Royal Holloway University of London,Egham,Department of Politics International Relations and Philosophy,BA,Philosophy,3 years full-time,"A-levels: BBB; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/philosophy/philosophy/
Royal Holloway University of London,Egham,Department of History,BA,History,3 years full-time,"A-levels: BBB; IELTS 6.5 overall (no band below 5.5); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 67","Home: 9790/yr
International: 21500/yr (2026/27; fees set per course and reviewed annually)",29 January 2026,https://www.royalholloway.ac.uk/studying-here/undergraduate/history/history/
