university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Essex,Colchester,Essex Business School,BA (Hons),Business Management BA (Hons),3 years; 4 years with placement/year abroad,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00035/3/BA-Business-Management
University of Essex,Colchester,Essex Business School,BA (Hons),Accounting BA (Hons),3 years; 4 years with placement,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00023/6/BA-Accounting
University of Essex,Colchester,Essex Business School,BA (Hons),Accounting and Finance BA (Hons),3 years; 4 years with placement,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00025/5/BA-Accounting-and-Finance
University of Essex,Colchester,Essex Business School,BSc (Hons),Finance BSc (Hons),3 years; 4 years with placement,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00260/5/BSc-Finance
University of Essex,Colchester,Essex Business School,BA (Hons),Marketing BA (Hons),3 years; 4 years with placement,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00429/5/BA-Marketing
University of Essex,Colchester,Essex Business School,BA (Hons),Business Management (Marketing) BA (Hons),3 years; 4 years with placement,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00100/6/BA-Business-Management
University of Essex,Colchester,Essex Business School,BA (Hons),International Business and Entrepreneurship BA (Hons),3 years; 4 years with placement/year abroad,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00345/4/BA-International-Business-and-Entrepreneurship
University of Essex,Colchester,Essex Business School,BSc (Hons),Actuarial Science BSc (Hons),3 years; 4 years with placement,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00029/2/BSc-Actuarial-Science
University of Essex,Colchester,Department of Economics,BA (Hons),Economics BA (Hons),3 years; 4 years with year abroad/placement,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00210/4/BA-Economics
University of Essex,Colchester,Department of Economics,BSc (Hons),Economics BSc (Hons),3 years; 4 years with year abroad/placement,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00211/4/BSc-Economics
University of Essex,Colchester,Department of Economics,BA (Hons),Economics with Finance BA (Hons),3 years; 4 years with placement,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00218/4/BA-Economics-with-Finance
University of Essex,Colchester,Department of Economics,BSc (Hons),Data Analytics and Economics BSc (Hons),3 years,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00194/1/BSc-Data-Analytics-and-Economics
University of Essex,Colchester,Department of Economics,BSc (Hons),Economics and Econometrics BSc (Hons),3 years; 4 years with year abroad,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00215/1/BSc-Economics-and-Econometrics
University of Essex,Colchester,School of Law,LLB (Hons),Law LLB (Hons),3 years; 4 years with year abroad,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00395/5/LLB-Law
University of Essex,Colchester,School of Law,LLB (Hons),Law (Including Year Abroad) LLB (Hons),4 years with year abroad,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00395/7/LLB-Law
University of Essex,Colchester,School of Law,LLB (Hons),Law with Business LLB (Hons),3 years; 4 years with year abroad,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00409/3/LLB-Law-with-Business
University of Essex,Colchester,School of Law,LLB (Hons),Law with Criminology LLB (Hons),3 years,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00411/1/LLB-Law-with-Criminology
University of Essex,Colchester,School of Law,LLB (Hons),Law with Human Rights LLB (Hons),3 years; 4 years with year abroad,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00413/2/LLB-Law-with-Human-Rights
University of Essex,Colchester,School of Law,LLB (Hons),Law with Politics LLB (Hons),3 years,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 6.0 overall (min 5.5 in all components); TOEFL iBT 80; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00415/2/LLB-Law-with-Politics
University of Essex,Colchester,Department of Government,BA (Hons),Politics BA (Hons),3 years; 4 years with year abroad,A-levels: BBB or equivalent; IB: 30 points; GCSEs: English and Mathematics grade 4/C or above; Foundation Year option available,IELTS 5.5 overall (min 5.5 in all components); TOEFL iBT 75; PTE Academic 59,UK: 9790/yr; International: 22600/yr; Study abroad year: International 3390; Total UK (3yr): 29370; Total International (3yr): 67800,29 January 2026 (UCAS equal consideration); final deadline 30 June 2026,https://www.essex.ac.uk/courses/UG00529/6/BA-Politics
