university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of St Andrews,St Andrews,School of Art History,MA (Hons),Art History,4 years full-time,"Scottish Highers: AABBB; A-levels: ABB; IB: 34 pts; IELTS 6.5 overall (min 6.0 each component)","IELTS 6.5 / TOEFL 92 / PTE 62","Home (Scotland): SAAS-funded (approx. 1820/yr)
RUK: 9790/yr
International: 33250/yr (2026/27 entry rate; fixed for duration of study; increases 3-5% annually for new entrants)",15 January 2026,https://www.st-andrews.ac.uk/subjects/art-history/art-history-ma-hons/
University of St Andrews,St Andrews,School of Art History,MA (Hons),Art History and Russian,4 years full-time,"Scottish Highers: AABBB; A-levels: ABB; IB: 34 pts; IELTS 6.5 overall (min 6.0 each component)","IELTS 6.5 / TOEFL 92 / PTE 62","Home (Scotland): SAAS-funded (approx. 1820/yr)
RUK: 9790/yr
International: 33250/yr (2026/27 entry rate; fixed for duration of study; increases 3-5% annually for new entrants)",15 January 2026,https://www.st-andrews.ac.uk/subjects/art-history/art-history-and-russian-ma-hons/
University of St Andrews,St Andrews,School of Classics,MA (Hons),Classical Studies,4 years full-time,"Scottish Highers: AABBB; A-levels: ABB; IB: 34 pts; IELTS 6.5 overall (min 6.0 each component)","IELTS 6.5 / TOEFL 92 / PTE 62","Home (Scotland): SAAS-funded (approx. 1820/yr)
RUK: 9790/yr
International: 33250/yr (2026/27 entry rate; fixed for duration of study; increases 3-5% annually for new entrants)",15 January 2026,https://www.st-andrews.ac.uk/subjects/classics/classical-studies-ma-hons/
University of St Andrews,St Andrews,School of Classics,MA (Hons),Greek and Latin,4 years full-time,"Scottish Highers: AABBB; A-levels: ABB; IB: 34 pts; IELTS 6.5 overall (min 6.0 each component)","IELTS 6.5 / TOEFL 92 / PTE 62","Home (Scotland): SAAS-funded (approx. 1820/yr)
RUK: 9790/yr
International: 33250/yr (2026/27 entry rate; fixed for duration of study; increases 3-5% annually for new entrants)",15 January 2026,https://www.st-andrews.ac.uk/subjects/classics/greek-and-latin-ma-hons/
University of St Andrews,St Andrews,School of English,MA (Hons),English,4 years full-time,"Scottish Highers: AABBB; A-levels: ABB; IB: 34 pts; IELTS 7.0 overall (min 6.5 each component)","IELTS 7.0 / TOEFL 100 / PTE 68","Home (Scotland): SAAS-funded (approx. 1820/yr)
RUK: 9790/yr
International: 33250/yr (2026/27 entry rate; fixed for duration of study; increases 3-5% annually for new entrants)",15 January 2026,https://www.st-andrews.ac.uk/subjects/english/english-ma-hons/
University of St Andrews,St Andrews,School of English,MA (Hons),English and Film Studies,4 years full-time,"Scottish Highers: AABBB; A-levels: ABB; IB: 34 pts; IELTS 7.0 overall (min 6.5 each component)","IELTS 7.0 / TOEFL 100 / PTE 68","Home (Scotland): SAAS-funded (approx. 1820/yr)
RUK: 9790/yr
International: 33250/yr (2026/27 entry rate; fixed for duration of study; increases 3-5% annually for new entrants)",15 January 2026,https://www.st-andrews.ac.uk/subjects/english/english-and-film-studies-ma-hons/
University of St Andrews,St Andrews,School of History,MA (Hons),History,4 years full-time,"Scottish Highers: AABBB; A-levels: ABB; IB: 34 pts; IELTS 6.5 overall (min 6.0 each component)","IELTS 6.5 / TOEFL 92 / PTE 62","Home (Scotland): SAAS-funded (approx. 1820/yr)
RUK: 9790/yr
International: 33250/yr (2026/27 entry rate; fixed for duration of study; increases 3-5% annually for new entrants)",15 January 2026,https://www.st-andrews.ac.uk/subjects/history/history-ma-hons/
University of St Andrews,St Andrews,School of History,MA (Hons),International History,4 years full-time,"Scottish Highers: AABBB; A-levels: ABB; IB: 34 pts; IELTS 6.5 overall (min 6.0 each component)","IELTS 6.5 / TOEFL 92 / PTE 62","Home (Scotland): SAAS-funded (approx. 1820/yr)
RUK: 9790/yr
International: 33250/yr (2026/27 entry rate; fixed for duration of study; increases 3-5% annually for new entrants)",15 January 2026,https://www.st-andrews.ac.uk/subjects/history/international-history-ma-hons/
University of St Andrews,St Andrews,School of Philosophical Anthropological and Film Studies,MA (Hons),Philosophy,4 years full-time,"Scottish Highers: AABBB; A-levels: ABB; IB: 34 pts; IELTS 6.5 overall (min 6.0 each component)","IELTS 6.5 / TOEFL 92 / PTE 62","Home (Scotland): SAAS-funded (approx. 1820/yr)
RUK: 9790/yr
International: 33250/yr (2026/27 entry rate; fixed for duration of study; increases 3-5% annually for new entrants)",15 January 2026,https://www.st-andrews.ac.uk/subjects/philosophy/philosophy-ma-hons/
University of St Andrews,St Andrews,School of Philosophical Anthropological and Film Studies,MA (Hons),Philosophy and Psychology,4 years full-time,"Scottish Highers: AABBB; A-levels: ABB; IB: 34 pts; IELTS 6.5 overall (min 6.0 each component)","IELTS 6.5 / TOEFL 92 / PTE 62","Home (Scotland): SAAS-funded (approx. 1820/yr)
RUK: 9790/yr
International: 33250/yr (2026/27 entry rate; fixed for duration of study; increases 3-5% annually for new entrants)",15 January 2026,https://www.st-andrews.ac.uk/subjects/philosophy/philosophy-and-psychology-ma-hons/
