university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Surrey,Guildford,School of Accounting and Finance,BSc (Hons),Accounting and Finance,3 years full-time (4 with placement),"A-levels: BBB; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC pending UK govt confirmation)
International: 23700/yr
Placement year: fees confirmed on course page",29 January 2026,https://www.surrey.ac.uk/undergraduate/accounting-and-finance/2026
University of Surrey,Guildford,Surrey Business School,BSc (Hons),Business Management,3 years full-time (4 with placement),"A-levels: BBB; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 23700/yr
Placement year: fees confirmed on course page",29 January 2026,https://www.surrey.ac.uk/undergraduate/business-management/2026
University of Surrey,Guildford,Surrey Business School,BSc (Hons),Business Management with Business Analytics,3 years full-time (4 with placement),"A-levels: BBB; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9535/yr (2025/26 confirmed; 2026/27 TBC)
International: 23700/yr
Placement year: fees confirmed on course page",29 January 2026,https://www.surrey.ac.uk/undergraduate/business-management-business-analytics/2026
University of Surrey,Guildford,Surrey Business School,BSc (Hons),Business Management with Entrepreneurship and Innovation,3 years full-time (4 with placement),"A-levels: BBB; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 23700/yr
Placement year: fees confirmed on course page",29 January 2026,https://www.surrey.ac.uk/undergraduate/business-management-entrepreneurship-and-innovation/2026
University of Surrey,Guildford,Surrey Business School,BSc (Hons),Business Management with Human Resource Management,3 years full-time (4 with placement),"A-levels: BBB; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 23700/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/business-management-human-resource-management/2026
University of Surrey,Guildford,Surrey Business School,BSc (Hons),Business Management with Marketing,3 years full-time (4 with placement),"A-levels: BBB; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 23700/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/business-management-marketing/2026
University of Surrey,Guildford,School of Economics,BSc (Hons),Economics,3 years full-time (4 with placement),"A-levels: BBB including Maths; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 21800/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/economics/2026
University of Surrey,Guildford,School of Economics,BSc (Hons),Economics and Finance,3 years full-time (4 with placement),"A-levels: BBB including Maths; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 21800/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/economics-and-finance/2026
University of Surrey,Guildford,School of Economics,BSc (Hons),Economics and Mathematics,3 years full-time (4 with placement),"A-levels: BBB including Maths; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 21800/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/economics-and-mathematics/2026
University of Surrey,Guildford,School of Economics,BSc (Hons),Business Economics and Data Analytics,3 years full-time (4 with placement),"A-levels: BBB including Maths; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 21800/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/business-economics-and-data-analytics/2026
University of Surrey,Guildford,Department of Computer Science,BSc (Hons),Computer Science,3 years full-time (4 with placement),"A-levels: ABB including Maths; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 27000/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/computer-science/2026
University of Surrey,Guildford,Department of Computer Science,BSc (Hons),Computer Science and Artificial Intelligence,3 years full-time (4 with placement),"A-levels: ABB including Maths; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 27000/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/computer-science-and-artificial-intelligence/2026
University of Surrey,Guildford,Department of Computer Science,BSc (Hons),Computer Science and Cyber Security,3 years full-time (4 with placement),"A-levels: ABB including Maths; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 27000/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/computer-science-and-cyber-security/2026
University of Surrey,Guildford,Department of Computer Science,MEng,Computer Science,4 years full-time (5 with placement),"A-levels: ABB including Maths; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 27000/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/computer-science/2026
University of Surrey,Guildford,Department of Computer Science,BSc (Hons),Computing with Business Management,3 years full-time (4 with placement),"A-levels: BBB including Maths; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 27000/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/computing-business-management/2026
University of Surrey,Guildford,Department of Computer Science,BEng (Hons),Computer and Internet Engineering,3 years full-time (4 with placement),"A-levels: ABB including Maths and Physics; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 27000/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/computer-and-internet-engineering/2026
University of Surrey,Guildford,Department of Mathematics,BSc (Hons),Mathematics,3 years full-time (4 with placement),"A-levels: ABB including Maths (A grade); IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 21800/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/mathematics/2026
University of Surrey,Guildford,Department of Mathematics,BSc (Hons),Mathematics and Physics,3 years full-time (4 with placement),"A-levels: ABB including Maths (A) and Physics; IELTS 6.5 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 62","Home: 9790/yr (2026/27; TBC)
International: 27000/yr",29 January 2026,https://www.surrey.ac.uk/undergraduate/mathematics-and-physics/2026
