university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Swansea University,Swansea,Department of Computer Science,BSc (Hons),Computer Science,3 years full-time (4 with placement),"A-levels: BBB; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 80 / PTE 51","Home (Wales/RUK): 9535/yr (2025/26; 2026/27 TBC by Welsh Government — anticipated to remain at £9,535)
International: 20100/yr (2026/27; derived from confirmed 2025/26 rate £19,500 + 3% annual increase per Swansea fee policy)
Sandwich year: 20% of standard fee",14 January 2026,https://www.swansea.ac.uk/undergraduate/courses/maths-comp-sci/computer-science/bsc-computer-science/
Swansea University,Swansea,Department of Computer Science,BSc (Hons),Computer Science and Artificial Intelligence,3 years full-time (4 with placement),"A-levels: BBB including Maths; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 80 / PTE 51","Home (Wales/RUK): 9535/yr (2025/26; 2026/27 TBC)
International: 22250/yr (2026/27; derived from confirmed 2025/26 rate £21,600 + 3%)
Sandwich year: 20% of standard fee",14 January 2026,https://www.swansea.ac.uk/undergraduate/courses/maths-comp-sci/computer-science/bsc-computer-science-with-ai/
Swansea University,Swansea,Department of Computer Science,BSc (Hons),Data Science,3 years full-time (4 with placement),"A-levels: BBB including Maths; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 80 / PTE 51","Home (Wales/RUK): 9535/yr (2025/26; 2026/27 TBC)
International: 20100/yr (2026/27; CS department standard rate)
Sandwich year: 20% of standard fee",14 January 2026,https://www.swansea.ac.uk/undergraduate/courses/maths-comp-sci/computer-science/bsc-data-science/
Swansea University,Swansea,Department of Computer Science,MSci (Hons),Computer Science,4 years full-time (5 with placement),"A-levels: ABB including Maths; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 80 / PTE 51","Home (Wales/RUK): 9535/yr (2025/26; 2026/27 TBC)
International: 20100/yr (2026/27; CS department standard rate)
Sandwich year: 20% of standard fee",14 January 2026,https://www.swansea.ac.uk/undergraduate/courses/maths-comp-sci/computer-science/bsc-computer-science/
Swansea University,Swansea,Department of Mathematics,BSc (Hons),Mathematics,3 years full-time (4 with placement),"A-levels: ABB including Maths (A grade); IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 80 / PTE 51","Home (Wales/RUK): 9535/yr (2025/26; 2026/27 TBC)
International: 20100/yr (2026/27; Maths department standard rate)
Sandwich year: 20% of standard fee",14 January 2026,https://www.swansea.ac.uk/undergraduate/courses/maths-comp-sci/mathematics/bsc-mathematics/
Swansea University,Swansea,Department of Mathematics,MMath,Mathematics,4 years full-time,"A-levels: ABB including Maths (A); IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 80 / PTE 51","Home (Wales/RUK): 9535/yr (2025/26; 2026/27 TBC)
International: 20100/yr (2026/27; Maths department standard rate)",14 January 2026,https://www.swansea.ac.uk/undergraduate/courses/maths-comp-sci/mathematics/mmath-mathematics/
Swansea University,Swansea,Department of Physics,BSc (Hons),Physics,3 years full-time (4 with placement),"A-levels: ABB including Maths and Physics; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 80 / PTE 51","Home (Wales/RUK): 9535/yr (2025/26; 2026/27 TBC)
International: 24700/yr (2026/27; derived from confirmed 2025/26 rate £24,000 + 3%)
Sandwich year: 20% of standard fee",14 January 2026,https://www.swansea.ac.uk/undergraduate/courses/science/physics/bsc-physics/
Swansea University,Swansea,Department of Chemistry,BSc (Hons),Chemistry,3 years full-time (4 with placement),"A-levels: ABB including Chemistry; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 80 / PTE 51","Home (Wales/RUK): 9535/yr (2025/26; 2026/27 TBC)
International: 22250/yr (2026/27; Chemistry department standard rate)
Sandwich year: 20% of standard fee",14 January 2026,https://www.swansea.ac.uk/undergraduate/courses/science/chemistry/bsc-chemistry/
Swansea University,Swansea,Department of Biosciences,BSc (Hons),Biological Sciences,3 years full-time (4 with placement),"A-levels: BBB including Biology; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 80 / PTE 51","Home (Wales/RUK): 9535/yr (2025/26; 2026/27 TBC)
International: 22250/yr (2026/27; Biosciences standard rate)
Sandwich year: 20% of standard fee",14 January 2026,https://www.swansea.ac.uk/undergraduate/courses/science/biosciences/bsc-biological-sciences/
Swansea University,Swansea,Department of Biosciences,BSc (Hons),Biochemistry,3 years full-time (4 with placement),"A-levels: ABB including Chemistry and Biology; IELTS 6.0 overall (min 5.5 each component); or equivalent international qualification","IELTS 6.0 / TOEFL 80 / PTE 51","Home (Wales/RUK): 9535/yr (2025/26; 2026/27 TBC)
International: 22250/yr (2026/27; Biosciences standard rate)
Sandwich year: 20% of standard fee",14 January 2026,https://www.swansea.ac.uk/undergraduate/courses/science/biosciences/bsc-biochemistry/
