university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Sussex,Brighton,School of Engineering and Informatics,BSc (Hons),Computer Science,3 years full-time (4 with placement),"A-levels: BBB including Maths; IELTS 6.5 overall (min 6.0 in writing; min 5.5 each other component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 59","Home: 9790/yr (2026/27; TBC pending UK govt confirmation)
International (lab/higher rate): 27300/yr
Placement year: 20% of standard fee",14 January 2026,https://www.sussex.ac.uk/study/undergraduate/courses/computer-science-bsc
University of Sussex,Brighton,School of Engineering and Informatics,BSc (Hons),Computer Science and Artificial Intelligence,3 years full-time (4 with placement),"A-levels: BBB including Maths; IELTS 6.5 overall (min 6.0 in writing; min 5.5 each other component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 59","Home: 9790/yr (2026/27; TBC)
International (lab/higher rate): 27300/yr
Placement year: 20% of standard fee",14 January 2026,https://www.sussex.ac.uk/study/undergraduate/courses/computer-science-and-artificial-intelligence-bsc
University of Sussex,Brighton,School of Engineering and Informatics,MComp,Computer Science,4 years full-time (5 with placement),"A-levels: ABB including Maths; IELTS 6.5 overall (min 6.0 in writing; min 5.5 each other component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 59","Home: 9790/yr (2026/27; TBC)
International (lab/higher rate): 27300/yr
Placement year: 20% of standard fee",14 January 2026,https://www.sussex.ac.uk/study/undergraduate/courses/computer-science-mcomp
University of Sussex,Brighton,School of Engineering and Informatics,BSc (Hons),Data Science,3 years full-time (4 with placement),"A-levels: BBB including Maths; IELTS 6.5 overall (min 6.0 in writing; min 5.5 each other component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 59","Home: 9790/yr (2026/27; TBC)
International (lab/higher rate): 27300/yr
Placement year: 20% of standard fee",14 January 2026,https://www.sussex.ac.uk/study/undergraduate/courses/data-science-bsc
University of Sussex,Brighton,School of Engineering and Informatics,BEng (Hons),Electrical and Electronic Engineering,3 years full-time (4 with placement),"A-levels: BBB including Maths and Physics; IELTS 6.5 overall (min 6.0 in writing; min 5.5 each other component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 59","Home: 9790/yr (2026/27; TBC)
International (lab/higher rate): 27300/yr
Placement year: 20% of standard fee",14 January 2026,https://www.sussex.ac.uk/study/undergraduate/courses/electrical-and-electronic-engineering-beng
University of Sussex,Brighton,School of Engineering and Informatics,MEng,Electrical and Electronic Engineering,4 years full-time (5 with placement),"A-levels: ABB including Maths and Physics; IELTS 6.5 overall (min 6.0 in writing; min 5.5 each other component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 59","Home: 9790/yr (2026/27; TBC)
International (lab/higher rate): 27300/yr
Placement year: 20% of standard fee",14 January 2026,https://www.sussex.ac.uk/study/undergraduate/courses/electrical-and-electronic-engineering-meng
University of Sussex,Brighton,School of Engineering and Informatics,BEng (Hons),Mechanical Engineering,3 years full-time (4 with placement),"A-levels: BBB including Maths and Physics; IELTS 6.5 overall (min 6.0 in writing; min 5.5 each other component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 59","Home: 9790/yr (2026/27; TBC)
International (lab/higher rate): 27300/yr
Placement year: 20% of standard fee",14 January 2026,https://www.sussex.ac.uk/study/undergraduate/courses/mechanical-engineering-beng
University of Sussex,Brighton,School of Engineering and Informatics,MEng,Mechanical Engineering,4 years full-time (5 with placement),"A-levels: ABB including Maths and Physics; IELTS 6.5 overall (min 6.0 in writing; min 5.5 each other component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 59","Home: 9790/yr (2026/27; TBC)
International (lab/higher rate): 27300/yr
Placement year: 20% of standard fee",14 January 2026,https://www.sussex.ac.uk/study/undergraduate/courses/mechanical-engineering-meng
University of Sussex,Brighton,School of Life Sciences,BSc (Hons),Biology,3 years full-time (4 with placement),"A-levels: BBB including Biology; IELTS 6.5 overall (min 6.0 in writing; min 5.5 each other component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 59","Home: 9790/yr (2026/27; TBC)
International (lab/higher rate): 27300/yr
Placement year: 20% of standard fee",14 January 2026,https://www.sussex.ac.uk/study/undergraduate/courses/biology-bsc
University of Sussex,Brighton,School of Life Sciences,BSc (Hons),Biochemistry,3 years full-time (4 with placement),"A-levels: ABB including Chemistry and Biology; IELTS 6.5 overall (min 6.0 in writing; min 5.5 each other component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 59","Home: 9790/yr (2026/27; TBC)
International (lab/higher rate): 27300/yr
Placement year: 20% of standard fee",14 January 2026,https://www.sussex.ac.uk/study/undergraduate/courses/biochemistry-bsc
University of Sussex,Brighton,School of Life Sciences,BSc (Hons),Neuroscience,3 years full-time (4 with placement),"A-levels: ABB including Biology; IELTS 6.5 overall (min 6.0 in writing; min 5.5 each other component); or equivalent international qualification","IELTS 6.5 / TOEFL 90 / PTE 59","Home: 9790/yr (2026/27; TBC)
International (lab/higher rate): 27300/yr
Placement year: 20% of standard fee",14 January 2026,https://www.sussex.ac.uk/study/undergraduate/courses/neuroscience-bsc
