university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Brunel University London,"Uxbridge, London",Brunel Business School,BSc (Hons),Business Management BSc (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/business-management-bsc
Brunel University London,"Uxbridge, London",Brunel Business School,BSc (Hons),Business Management (Accounting) BSc (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/business-management-accounting-bsc
Brunel University London,"Uxbridge, London",Brunel Business School,BSc (Hons),Business Management (Finance) BSc (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/business-management-finance-bsc
Brunel University London,"Uxbridge, London",Brunel Business School,BSc (Hons),Business Management (Human Resource Management) BSc (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/business-management-human-resource-management-bsc
Brunel University London,"Uxbridge, London",Brunel Business School,BSc (Hons),Business Management (Marketing) BSc (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/business-management-marketing-bsc
Brunel University London,"Uxbridge, London",Brunel Business School,BSc (Hons),Accounting and Finance BSc (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/accounting-and-finance-bsc
Brunel University London,"Uxbridge, London",Brunel Business School,BSc (Hons),Marketing BSc (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/marketing-bsc
Brunel University London,"Uxbridge, London",Department of Economics and Finance,BSc (Hons),Economics BSc (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/economics-bsc
Brunel University London,"Uxbridge, London",Department of Economics and Finance,BSc (Hons),Economics and Finance BSc (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/economics-and-finance-bsc
Brunel University London,"Uxbridge, London",Department of Economics and Finance,BSc (Hons),Banking and Finance BSc (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/banking-and-finance-bsc
Brunel University London,"Uxbridge, London",Brunel Law School,LLB (Hons),Law LLB (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.5 overall (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/law-llb
Brunel University London,"Uxbridge, London",Brunel Law School,LLB (Hons),Law with Criminal Justice LLB (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.5 overall (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/law-with-criminal-justice-llb
Brunel University London,"Uxbridge, London",Brunel Law School,LLB (Hons),Law with International Arbitration and Commercial Law LLB (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.5 overall (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/law-with-international-arbitration-and-commercial-law-llb
Brunel University London,"Uxbridge, London",Brunel Law School,LLB (Hons),Law (Graduate Entry) LLB (Hons),2 years full-time; 3 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.5 overall (min 6.0 in each component); TOEFL iBT 90; PTE Academic 61; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/law-graduate-entry-llb
Brunel University London,"Uxbridge, London",Department of Social Sciences,BA/BSc (Hons),Criminology BSc (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/criminology-bsc
Brunel University London,"Uxbridge, London",Department of Social Sciences,BA/BSc (Hons),Sociology BSc (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/sociology-bsc
Brunel University London,"Uxbridge, London",Department of Social Sciences,BA/BSc (Hons),Anthropology BSc (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/anthropology-bsc
Brunel University London,"Uxbridge, London",Department of Social Sciences,BA/BSc (Hons),Politics and International Relations BA (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/politics-and-international-relations-ba
Brunel University London,"Uxbridge, London",Department of English and Comparative Literature,BA/BSc (Hons),English BA (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/english-ba
Brunel University London,"Uxbridge, London",Department of English and Comparative Literature,BA/BSc (Hons),Creative Writing BA (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/creative-writing-ba
Brunel University London,"Uxbridge, London",Department of History,BA/BSc (Hons),History BA (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/history-ba
Brunel University London,"Uxbridge, London",Department of Education,BA/BSc (Hons),Education BA (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/education-ba
Brunel University London,"Uxbridge, London",Department of Arts and Humanities,BA/BSc (Hons),Journalism BA (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/journalism-ba
Brunel University London,"Uxbridge, London",Department of Arts and Humanities,BA/BSc (Hons),Media and Communications BA (Hons),3 years full-time; 4 years with placement,A-levels: ABB-BBB or equivalent; IB: 31-30 points; 5 GCSEs including Maths grade C/4 and English grade C/4; BTEC DDD-DDM accepted,IELTS 6.0 overall (min 5.5 in each component); TOEFL iBT 77; PTE Academic 56; BrunELT available on campus,"UK: 9535/yr; International: 17400/yr; Placement year: UK 1880/yr, International 4300/yr; Total UK (3yr): 28605; Total International (3yr): 52200",29 January 2026 (UCAS equal consideration deadline); final deadline 30 June 2026,https://www.brunel.ac.uk/study/courses/media-and-communications-ba
