university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Lancaster University,Lancaster,Faculty of Arts and Social Sciences,BA,English Literature,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 23750/yr
Placement year: 15% of standard fee",29 January 2026,https://www.lancaster.ac.uk/study/undergraduate/courses/english-literature-ba-hons-q300/2026/
Lancaster University,Lancaster,Faculty of Arts and Social Sciences,BA,History,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 23750/yr
Placement year: 15% of standard fee",29 January 2026,https://www.lancaster.ac.uk/study/undergraduate/courses/history-ba-hons-v100/2026/
Lancaster University,Lancaster,Faculty of Arts and Social Sciences,BA,Philosophy,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 23750/yr
Placement year: 15% of standard fee",29 January 2026,https://www.lancaster.ac.uk/study/undergraduate/courses/philosophy-ba-hons-v500/2026/
Lancaster University,Lancaster,Faculty of Arts and Social Sciences,BA,Creative Writing,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 23750/yr
Placement year: 15% of standard fee",29 January 2026,https://www.lancaster.ac.uk/study/undergraduate/courses/creative-writing-ba-hons-w800/2026/
Lancaster University,Lancaster,Faculty of Arts and Social Sciences,BA,Film Studies,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 23750/yr
Placement year: 15% of standard fee",29 January 2026,https://www.lancaster.ac.uk/study/undergraduate/courses/film-studies-ba-hons-p300/2026/
Lancaster University,Lancaster,Faculty of Arts and Social Sciences,BA,Linguistics,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 23750/yr
Placement year: 15% of standard fee",29 January 2026,https://www.lancaster.ac.uk/study/undergraduate/courses/linguistics-ba-hons-q100/2026/
Lancaster University,Lancaster,Faculty of Arts and Social Sciences,BA,Theatre Studies,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 23750/yr
Placement year: 15% of standard fee",29 January 2026,https://www.lancaster.ac.uk/study/undergraduate/courses/theatre-studies-ba-hons-w400/2026/
Lancaster University,Lancaster,Faculty of Arts and Social Sciences,BA,Music,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 23750/yr
Placement year: 15% of standard fee",29 January 2026,https://www.lancaster.ac.uk/study/undergraduate/courses/music-ba-hons-w300/2026/
Lancaster University,Lancaster,Faculty of Arts and Social Sciences,BA,Art,3 years full-time,"A-levels: ABB; Portfolio required; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 23750/yr
Placement year: 15% of standard fee",29 January 2026,https://www.lancaster.ac.uk/study/undergraduate/courses/fine-art-ba-hons-w100/2026/
Lancaster University,Lancaster,Faculty of Arts and Social Sciences,BA,French and Linguistics,4 years full-time,"A-levels: ABB including French; IELTS 6.5 overall (min 6.0 each)","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 23750/yr
Year abroad: 15% of standard fee",29 January 2026,https://www.lancaster.ac.uk/study/undergraduate/courses/french-and-linguistics-ba-hons-rq11/2026/
Lancaster University,Lancaster,Faculty of Social Sciences,BA,Sociology,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 23750/yr
Placement year: 15% of standard fee",29 January 2026,https://www.lancaster.ac.uk/study/undergraduate/courses/sociology-ba-hons-l300/2026/
Lancaster University,Lancaster,Faculty of Social Sciences,BA,Politics,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 23750/yr
Placement year: 15% of standard fee",29 January 2026,https://www.lancaster.ac.uk/study/undergraduate/courses/politics-ba-hons-l200/2026/
Lancaster University,Lancaster,Faculty of Social Sciences,BA,International Relations,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 23750/yr
Placement year: 15% of standard fee",29 January 2026,https://www.lancaster.ac.uk/study/undergraduate/courses/international-relations-ba-hons-6t99/2026/
