university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Leicester,Leicester,School of Arts,BA,English,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Study abroad year: 1465 indicative
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/english-ba/2026
University of Leicester,Leicester,School of Arts,BA,History,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Study abroad year: 1465 indicative
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/history-ba/2026
University of Leicester,Leicester,School of Arts,BA,Film Studies,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Study abroad year: 1465 indicative
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/film-studies-ba/2026
University of Leicester,Leicester,School of Arts,BA,Philosophy,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Study abroad year: 1465 indicative
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/philosophy-ba/2026
University of Leicester,Leicester,School of Arts,BA,Heritage Studies,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Study abroad year: 1465 indicative
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/heritage-studies-ba/2026
University of Leicester,Leicester,School of Arts,BA,Art History,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Study abroad year: 1465 indicative",29 January 2026,https://le.ac.uk/courses/art-history-ba/2026
University of Leicester,Leicester,School of Media Communication and Sociology,BA,Media and Communication,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/media-and-communication-ba/2026
University of Leicester,Leicester,School of Media Communication and Sociology,BA,Sociology,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/sociology-ba/2026
University of Leicester,Leicester,School of Media Communication and Sociology,BA,Criminology,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/criminology-ba/2026
University of Leicester,Leicester,School of Education,BA,Education Studies,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/education-studies-ba/2026
University of Leicester,Leicester,School of Social Sciences,BA,Politics,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/politics-ba/2026
University of Leicester,Leicester,School of Social Sciences,BA,International Relations,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Study abroad year: 1465 indicative",29 January 2026,https://le.ac.uk/courses/international-relations-ba/2026
University of Leicester,Leicester,Leicester Law School,LLB,Law,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 22200/yr
Study abroad year: 1465 indicative
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/law-llb/2026
University of Leicester,Leicester,Leicester Law School,LLB,Law with Criminology,3 years full-time,"A-levels: ABB; IELTS 6.5 overall (min 6.0 each); or equivalent international qualification","IELTS 6.5 / TOEFL 87 / PTE 58","Home: 9790/yr
International: 22200/yr
Study abroad year: 1465 indicative",29 January 2026,https://le.ac.uk/courses/law-with-criminology-llb/2026
University of Leicester,Leicester,School of Business,BSc,Accounting and Finance,3 years full-time,"A-levels: ABB; Maths preferred; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/accounting-and-finance-bsc/2026
University of Leicester,Leicester,School of Business,BSc,Business Management,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/business-management-bsc/2026
University of Leicester,Leicester,School of Business,BSc,Economics,3 years full-time,"A-levels: ABB including Maths preferred; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/economics-bsc/2026
University of Leicester,Leicester,School of Business,BSc,Marketing,3 years full-time,"A-levels: BBB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/marketing-bsc/2026
University of Leicester,Leicester,School of Business,BSc,Finance,3 years full-time,"A-levels: ABB including Maths; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 22200/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/finance-bsc/2026
University of Leicester,Leicester,School of Psychology,BSc,Psychology,3 years full-time,"A-levels: ABB; IELTS 6.0 overall (min 5.5 each); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/psychology-bsc/2026
University of Leicester,Leicester,School of Geography Geology and the Environment,BSc,Geography,3 years full-time,"A-levels: ABB including Geography or Science preferred; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/geography-bsc/2026
University of Leicester,Leicester,School of Geography Geology and the Environment,BSc,Geology,3 years full-time,"A-levels: ABB including at least one Science; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/geology-bsc/2026
University of Leicester,Leicester,School of Geography Geology and the Environment,BSc,Environmental Science,3 years full-time,"A-levels: ABB including at least one Science; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/environmental-science-bsc/2026
University of Leicester,Leicester,School of Computing and Mathematical Sciences,BSc,Computer Science,3 years full-time,"A-levels: ABB including Maths; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/computer-science-bsc/2026
University of Leicester,Leicester,School of Computing and Mathematical Sciences,BSc,Data Science,3 years full-time,"A-levels: ABB including Maths; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/data-science-bsc/2026
University of Leicester,Leicester,School of Computing and Mathematical Sciences,BSc,Mathematics,3 years full-time,"A-levels: ABB including Maths (A grade); IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/mathematics-bsc/2026
University of Leicester,Leicester,School of Computing and Mathematical Sciences,BSc,Cyber Security,3 years full-time,"A-levels: ABB including Maths; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/cyber-security-bsc/2026
University of Leicester,Leicester,School of Physics and Astronomy,BSc,Physics,3 years full-time,"A-levels: ABB including Maths and Physics; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/physics-bsc/2026
University of Leicester,Leicester,School of Physics and Astronomy,BSc,Astrophysics,3 years full-time,"A-levels: ABB including Maths and Physics; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/astrophysics-bsc/2026
University of Leicester,Leicester,School of Physics and Astronomy,MPhys,Physics (Integrated Masters),4 years full-time,"A-levels: AAB including Maths and Physics; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/physics-mphys/2026
University of Leicester,Leicester,School of Chemistry,BSc,Chemistry,3 years full-time,"A-levels: ABB including Chemistry; Maths preferred; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/chemistry-bsc/2026
University of Leicester,Leicester,School of Chemistry,MChem,Chemistry (Integrated Masters),4 years full-time,"A-levels: ABB including Chemistry; Maths preferred; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/chemistry-mchem/2026
University of Leicester,Leicester,School of Engineering,BEng,Electrical and Electronic Engineering,3 years full-time,"A-levels: ABB including Maths and Physics; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/electrical-and-electronic-engineering-beng/2026
University of Leicester,Leicester,School of Engineering,BEng,Mechanical Engineering,3 years full-time,"A-levels: ABB including Maths and Physics; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/mechanical-engineering-beng/2026
University of Leicester,Leicester,School of Engineering,MEng,Mechanical Engineering (Integrated Masters),4 years full-time,"A-levels: AAB including Maths and Physics; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/mechanical-engineering-meng/2026
University of Leicester,Leicester,School of Engineering,BEng,Aerospace Engineering,3 years full-time,"A-levels: ABB including Maths and Physics; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/aerospace-engineering-beng/2026
University of Leicester,Leicester,College of Life Sciences,BSc,Biological Sciences,3 years full-time,"A-levels: ABB including Biology; Chemistry preferred; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/biological-sciences-bsc/2026
University of Leicester,Leicester,College of Life Sciences,BSc,Biochemistry,3 years full-time,"A-levels: ABB including Biology and Chemistry; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/biochemistry-bsc/2026
University of Leicester,Leicester,College of Life Sciences,BSc,Genetics,3 years full-time,"A-levels: ABB including Biology and Chemistry; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/genetics-bsc/2026
University of Leicester,Leicester,Leicester Medical School,MBChB,Medicine,5 years full-time,"A-levels: AAA including Chemistry and Biology; UCAT required; IELTS 7.0 (min 7.0 each); interview required","IELTS 7.0 / UCAT required","Home: 9790/yr
International Yrs 1-2: 29000/yr
International Yrs 3-5: 29000/yr (indicative; reviewed annually)",15 October 2025,https://le.ac.uk/courses/medicine-mbchb/2026
University of Leicester,Leicester,Leicester Medical School,BSc,Biomedical Science,3 years full-time,"A-levels: ABB including Biology and Chemistry; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/biomedical-science-bsc/2026
University of Leicester,Leicester,Leicester Medical School,BSc,Neuroscience,3 years full-time,"A-levels: ABB including Biology; Chemistry preferred; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/neuroscience-bsc/2026
University of Leicester,Leicester,Leicester Medical School,BSc,Pharmacology,3 years full-time,"A-levels: ABB including Biology and Chemistry; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/pharmacology-bsc/2026
University of Leicester,Leicester,School of Computing and Mathematical Sciences,BSc,Artificial Intelligence,3 years full-time,"A-levels: ABB including Maths; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/artificial-intelligence-bsc/2026
University of Leicester,Leicester,School of Computing and Mathematical Sciences,BSc,Software Engineering,3 years full-time,"A-levels: ABB including Maths; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/software-engineering-bsc/2026
University of Leicester,Leicester,Leicester Medical School,BSc,Medical Sciences,3 years full-time,"A-levels: ABB including Biology and Chemistry; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 9790/yr
International: 26550/yr
Placement year: 1955 indicative",29 January 2026,https://le.ac.uk/courses/medical-sciences-bsc/2026
University of Leicester,Leicester,School of Business,MSc,Finance,1 year full-time,"2:1 Honours degree (UK or equivalent); Maths/statistics background preferred; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 12500/yr
International: 23650/yr
Placement: 15% of advertised fee if secured",04 September 2026,https://le.ac.uk/courses/finance-msc/2026
University of Leicester,Leicester,School of Business,MSc,International Business,1 year full-time,"2:1 Honours degree (UK or equivalent); IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 11900/yr
International: 23650/yr
Placement: 15% of advertised fee if secured",04 September 2026,https://le.ac.uk/courses/international-business-msc/2026
University of Leicester,Leicester,School of Business,MSc,Management,1 year full-time,"2:1 Honours degree (UK or equivalent); IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 11900/yr
International: 23650/yr
Placement: 15% of advertised fee if secured",04 September 2026,https://le.ac.uk/courses/management-msc/2026
University of Leicester,Leicester,School of Business,MSc,Marketing,1 year full-time,"2:1 Honours degree (UK or equivalent); IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 11900/yr
International: 23650/yr
Placement: 15% of advertised fee if secured",04 September 2026,https://le.ac.uk/courses/marketing-msc/2026
University of Leicester,Leicester,School of Business,MSc,Accounting and Finance,1 year full-time,"2:1 Honours degree (UK or equivalent); Maths/accounting background preferred; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 12500/yr
International: 23650/yr
Placement: 15% of advertised fee if secured",04 September 2026,https://le.ac.uk/courses/accounting-and-finance-msc/2026
University of Leicester,Leicester,School of Business,MSc,Human Resource Management,1 year full-time,"2:1 Honours degree (UK or equivalent); IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 11000/yr
International: 21000/yr
Placement: 15% of advertised fee if secured",04 September 2026,https://le.ac.uk/courses/human-resource-management-msc/2026
University of Leicester,Leicester,School of Business,MSc,Economics,1 year full-time,"2:1 Honours degree in Economics or related quantitative discipline; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 12500/yr
International: 23650/yr
Placement: 15% of advertised fee if secured",04 September 2026,https://le.ac.uk/courses/economics-msc/2026
University of Leicester,Leicester,School of Business,MBA,Business Administration,1 year full-time,"Bachelor's degree (UK 2:1 or equivalent); minimum 3 years work experience; IELTS 6.5 overall (min 6.0 each); GMAT preferred","IELTS 6.5 / TOEFL 87 / GMAT preferred","Home: 22500 total
International: 26850 total",04 September 2026,https://le.ac.uk/courses/mba/2026
University of Leicester,Leicester,School of Computing and Mathematical Sciences,MSc,Data Science,1 year full-time,"2:1 Honours degree in any discipline; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 12500/yr
International: 23650/yr
Placement: 3520 (Jan/Apr 2026 start) or 15% of fee (Sep 2026 start)",04 September 2026,https://le.ac.uk/courses/data-science-msc/2026
University of Leicester,Leicester,School of Computing and Mathematical Sciences,MSc,Advanced Computer Science,1 year full-time,"2:1 Honours degree in CS or related discipline; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 12500/yr
International: 23650/yr
Placement: 15% of advertised fee if secured",04 September 2026,https://le.ac.uk/courses/advanced-computer-science-msc/2026
University of Leicester,Leicester,School of Computing and Mathematical Sciences,MSc,Artificial Intelligence,1 year full-time,"2:1 Honours degree in CS/Maths/Engineering or related; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 12500/yr
International: 23650/yr
Placement: 15% of advertised fee if secured",04 September 2026,https://le.ac.uk/courses/artificial-intelligence-msc/2026
University of Leicester,Leicester,School of Computing and Mathematical Sciences,MSc,Cyber Security,1 year full-time,"2:1 Honours degree in CS/Engineering/Maths or related; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 12500/yr
International: 23650/yr
Placement: 15% of advertised fee if secured",04 September 2026,https://le.ac.uk/courses/cyber-security-msc/2026
University of Leicester,Leicester,School of Computing and Mathematical Sciences,MSc,Cloud Computing,1 year full-time,"2:1 Honours degree in CS/Engineering or related; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 12500/yr
International: 23650/yr
Placement: 15% of advertised fee if secured",04 September 2026,https://le.ac.uk/courses/cloud-computing-msc/2026
University of Leicester,Leicester,School of Computing and Mathematical Sciences,MSc,Data Science (Satellite Data),1 year full-time,"2:1 Honours degree in Geography/Environmental Science/CS or related; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 12500/yr
International: 25470/yr
Placement: 15% of advertised fee if secured",04 September 2026,https://le.ac.uk/courses/data-science-satellite-data-msc/2026
University of Leicester,Leicester,School of Engineering,MSc,Advanced Mechanical Engineering,1 year full-time,"2:1 Honours degree in Mechanical/Aerospace Engineering or related; IELTS 6.0 overall (min 5.5 each)","IELTS 6.0 / TOEFL 79 / PTE 54","Home: 13500/yr
International: 25470/yr
Placement: 15% of advertised fee if secured",04 September 2026,https://le.ac.uk/courses/advanced-mechanical-engineering-msc/2026
