university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Birmingham City University,Birmingham,School of Computing and Digital Technology,BSc (Hons),Computer Science,3 years full-time (4 with placement),"112 UCAS Tariff points from minimum 2 A-levels; GCSE English and Maths not required; IELTS 6.0 overall (min 5.5 each band); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; subject to final UK Govt legislation — BCU plans to charge maximum permitted level)
International: 16085/yr (2026/27; confirmed from BCUIC official fees page — standard UG international rate for all BCU programmes except Jewellery Pathway)
UG Scholarship: 5000 off automatically applied (3000 Year 1 + 2000 Year 2) for self-funded international students joining Sep/Jan 2026
PG Scholarship: 3000 off for self-funded international PGT students
CAS: 50% of gross tuition fee minus 1000 initial deposit required to receive CAS",14 January 2026,https://www.bcu.ac.uk/courses/computer-science-bsc-hons-2026-27
Birmingham City University,Birmingham,School of Computing and Digital Technology,BSc (Hons),Computer Science with Artificial Intelligence,3 years full-time (4 with placement),"112 UCAS Tariff points from minimum 2 A-levels; IELTS 6.0 overall (min 5.5 each band); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16085/yr (2026/27; confirmed — standard BCU UG international rate)
UG Scholarship: 5000 off for self-funded international students joining 2026",14 January 2026,https://www.bcu.ac.uk/courses/computer-science-with-artificial-intelligence-bsc-hons-2026-27
Birmingham City University,Birmingham,School of Computing and Digital Technology,BSc (Hons),Cyber Security,3 years full-time (4 with placement),"112 UCAS Tariff points from minimum 2 A-levels; IELTS 6.0 overall (min 5.5 each band); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16085/yr (2026/27; confirmed — standard BCU UG international rate)
UG Scholarship: 5000 off for self-funded international students joining 2026",14 January 2026,https://www.bcu.ac.uk/courses/cyber-security-bsc-hons-2026-27
Birmingham City University,Birmingham,School of Computing and Digital Technology,BSc (Hons),Computing and Information Technology,3 years full-time (4 with placement),"112 UCAS Tariff points from minimum 2 A-levels; IELTS 6.0 overall (min 5.5 each band); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16085/yr (2026/27; confirmed — standard BCU UG international rate)
UG Scholarship: 5000 off for self-funded international students joining 2026",14 January 2026,https://www.bcu.ac.uk/courses/computing-information-technology-bsc-hons-2026-27
Birmingham City University,Birmingham,School of Computing and Digital Technology,BSc (Hons),Data Science,3 years full-time (4 with placement),"112 UCAS Tariff points from minimum 2 A-levels; Maths preferred; IELTS 6.0 overall (min 5.5 each band); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16085/yr (2026/27; confirmed — standard BCU UG international rate)
UG Scholarship: 5000 off for self-funded international students joining 2026",14 January 2026,https://www.bcu.ac.uk/courses/data-science-bsc-hons-2026-27
Birmingham City University,Birmingham,School of Computing and Digital Technology,BSc (Hons),Games Technology,3 years full-time (4 with placement),"112 UCAS Tariff points from minimum 2 A-levels; Portfolio recommended; IELTS 6.0 overall (min 5.5 each band); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16085/yr (2026/27; confirmed — standard BCU UG international rate)
UG Scholarship: 5000 off for self-funded international students joining 2026",14 January 2026,https://www.bcu.ac.uk/courses/games-technology-bsc-hons-2026-27
Birmingham City University,Birmingham,Faculty of Computing Engineering and the Built Environment,BEng (Hons),Civil Engineering,3 years full-time (4 with placement),"112 UCAS Tariff points from minimum 2 A-levels; Maths and Physics preferred; IELTS 6.0 overall (min 5.5 each band); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16085/yr (2026/27; confirmed — standard BCU UG international rate)
UG Scholarship: 5000 off for self-funded international students joining 2026",14 January 2026,https://www.bcu.ac.uk/courses/civil-engineering-beng-hons-2026-27
Birmingham City University,Birmingham,Faculty of Computing Engineering and the Built Environment,BEng (Hons),Mechanical Engineering,3 years full-time (4 with placement),"112 UCAS Tariff points from minimum 2 A-levels; Maths and Physics preferred; IELTS 6.0 overall (min 5.5 each band); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16085/yr (2026/27; confirmed — standard BCU UG international rate)
UG Scholarship: 5000 off for self-funded international students joining 2026",14 January 2026,https://www.bcu.ac.uk/courses/mechanical-engineering-beng-hons-2026-27
Birmingham City University,Birmingham,Faculty of Computing Engineering and the Built Environment,BEng (Hons),Electronic and Electrical Engineering,3 years full-time (4 with placement),"112 UCAS Tariff points from minimum 2 A-levels; Maths and Physics preferred; IELTS 6.0 overall (min 5.5 each band); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16085/yr (2026/27; confirmed — standard BCU UG international rate)
UG Scholarship: 5000 off for self-funded international students joining 2026",14 January 2026,https://www.bcu.ac.uk/courses/electronic-and-electrical-engineering-beng-hons-2026-27
Birmingham City University,Birmingham,Faculty of Computing Engineering and the Built Environment,BA (Hons),Architecture,3 years full-time (4 with placement),"112 UCAS Tariff points from minimum 2 A-levels; Portfolio required; IELTS 6.5 overall (min 5.5 each band); or equivalent international qualification","IELTS 6.5 / TOEFL 88 / PTE 59","Home: 9790/yr (2026/27)
International: 16085/yr (2026/27; confirmed — standard BCU UG international rate)
UG Scholarship: 5000 off for self-funded international students joining 2026",14 January 2026,https://www.bcu.ac.uk/courses/architecture-ba-hons-2026-27
Birmingham City University,Birmingham,Faculty of Computing Engineering and the Built Environment,BSc (Hons),Building Surveying,3 years full-time (4 with placement),"96 UCAS Tariff points from minimum 2 A-levels; Maths preferred; IELTS 5.5 overall (min 5.5 each band); or equivalent international qualification","IELTS 5.5 / TOEFL 72 / PTE 42","Home: 9790/yr (2026/27)
International: 16085/yr (2026/27; confirmed — standard BCU UG international rate)
UG Scholarship: 5000 off for self-funded international students joining 2026",14 January 2026,https://www.bcu.ac.uk/courses/building-surveying-bsc-hons-2026-27
Birmingham City University,Birmingham,Faculty of Computing Engineering and the Built Environment,BSc (Hons),Quantity Surveying and Commercial Management,3 years full-time (4 with placement),"96 UCAS Tariff points from minimum 2 A-levels; Maths preferred; IELTS 5.5 overall (min 5.5 each band); or equivalent international qualification","IELTS 5.5 / TOEFL 72 / PTE 42","Home: 9790/yr (2026/27)
International: 16085/yr (2026/27; confirmed — standard BCU UG international rate)
UG Scholarship: 5000 off for self-funded international students joining 2026",14 January 2026,https://www.bcu.ac.uk/courses/quantity-surveying-and-commercial-management-bsc-hons-2026-27
Birmingham City University,Birmingham,Faculty of Computing Engineering and the Built Environment,BSc (Hons),Construction Management,3 years full-time (4 with placement),"96 UCAS Tariff points from minimum 2 A-levels; Maths preferred; IELTS 5.5 overall (min 5.5 each band); or equivalent international qualification","IELTS 5.5 / TOEFL 72 / PTE 42","Home: 9790/yr (2026/27)
International: 16085/yr (2026/27; confirmed — standard BCU UG international rate)
UG Scholarship: 5000 off for self-funded international students joining 2026",14 January 2026,https://www.bcu.ac.uk/courses/construction-management-bsc-hons-2026-27
Birmingham City University,Birmingham,Birmingham City Business School,BSc (Hons),Business Management,3 years full-time (4 with placement),"96 UCAS Tariff points from minimum 2 A-levels; IELTS 6.0 overall (min 5.5 each band); or equivalent international qualification","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27)
International: 16085/yr (2026/27; confirmed from BCUIC official fees page — standard UG rate)
UG Scholarship: 5000 off for self-funded international students joining 2026",14 January 2026,https://www.bcu.ac.uk/courses/business-management-bsc-hons-2026-27
