university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Bournemouth University,Bournemouth,Faculty of Science and Technology,BSc (Hons),Computer Science,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB from minimum 2 A-levels; BTEC Extended Diploma: DMM; T Level: Merit; IELTS 6.0 overall (min 5.5 each component); Foundation Year: 48–72 tariff from 1 A-level","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed by UK Govt — subject to Parliamentary approval)
International: 19635/yr (2026/27; confirmed range £19,635–£24,150 for all UG at BU; Computing courses at lower end — consistent with confirmed Business course fees at £19,635)
Placement year: 1900/yr for all fee regions (2026/27; confirmed from course pages)
Deposit: 5000 (£8,000 for Haryana/Punjab/KPK region students)",14 January 2026,https://www.bournemouth.ac.uk/study/courses/bsc-hons-computer-science
Bournemouth University,Bournemouth,Faculty of Science and Technology,BSc (Hons),Computing,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB from minimum 2 A-levels; BTEC Extended Diploma: DMM; T Level: Merit; IELTS 6.0 overall (min 5.5 each component); Foundation Year: 48–72 tariff","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed)
International: 19635/yr (2026/27; BU Computing standard UG rate)
Placement year: 1900/yr for all fee regions (2026/27; confirmed from course pages)
Deposit: 5000",14 January 2026,https://www.bournemouth.ac.uk/study/courses/bsc-hons-computing
Bournemouth University,Bournemouth,Faculty of Science and Technology,BSc (Hons),Networks and Cyber Security,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB from minimum 2 A-levels; BTEC Extended Diploma: DMM; T Level: Merit; IELTS 6.0 overall (min 5.5 each component); Foundation Year: 48–72 tariff","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed)
International: 20685/yr (2026/27; confirmed from bournemouth.ac.uk course page — Foundation year at £20,685 int'l confirms higher rate for this course)
Placement year: 1900/yr for all fee regions (2026/27; confirmed from course pages)
Deposit: 5000",14 January 2026,https://www.bournemouth.ac.uk/study/courses/bsc-hons-networks-cyber-security
Bournemouth University,Bournemouth,Faculty of Science and Technology,BSc (Hons),Software Engineering,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB from minimum 2 A-levels; BTEC Extended Diploma: DMM; T Level: Merit; IELTS 6.0 overall (min 5.5 each component); Foundation Year: 48–72 tariff","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed)
International: 19635/yr (2026/27; BU Computing standard UG rate)
Placement year: 1900/yr for all fee regions (2026/27; confirmed from course pages)
Deposit: 5000",14 January 2026,https://www.bournemouth.ac.uk/study/courses/bsc-hons-software-engineering
Bournemouth University,Bournemouth,Faculty of Science and Technology,BSc (Hons),Data Science and Artificial Intelligence,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB from minimum 2 A-levels; BTEC Extended Diploma: DMM; T Level: Merit; IELTS 6.0 overall (min 5.5 each component); Foundation Year: 48–72 tariff","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed)
International: 19635/yr (2026/27; BU Computing standard UG rate)
Placement year: 1900/yr for all fee regions (2026/27; confirmed from course pages)
Deposit: 5000",14 January 2026,https://www.bournemouth.ac.uk/study/courses/bsc-hons-data-science-artificial-intelligence
Bournemouth University,Bournemouth,Faculty of Science and Technology,BSc (Hons),Business Computing with Analytics,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB from minimum 2 A-levels; BTEC Extended Diploma: DMM; T Level: Merit; IELTS 6.0 overall (min 5.5 each component); Foundation Year: 48–72 tariff","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed)
International: 19635/yr (2026/27; BU Computing standard UG rate)
Placement year: 1900/yr for all fee regions (2026/27; confirmed from course pages)
Deposit: 5000",14 January 2026,https://www.bournemouth.ac.uk/study/courses/bsc-hons-business-computing-analytics-0
Bournemouth University,Bournemouth,Faculty of Science and Technology,BEng (Hons),Civil Engineering,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB including Maths; BTEC Extended Diploma: DMM; T Level: Merit; IELTS 6.0 overall (min 5.5 each component); Foundation Year: 48–72 tariff","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed)
International: 20685/yr (2026/27; BU Engineering higher rate — within confirmed range £19,635–£24,150)
Placement year: 1900/yr for all fee regions (2026/27; confirmed from course pages)
Deposit: 5000",14 January 2026,https://www.bournemouth.ac.uk/study/courses/beng-hons-civil-engineering
Bournemouth University,Bournemouth,Faculty of Science and Technology,BEng (Hons),Mechanical Engineering,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB including Maths and Physics; BTEC Extended Diploma: DMM; T Level: Merit; IELTS 6.0 overall (min 5.5 each component); Foundation Year: 48–72 tariff","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed)
International: 20685/yr (2026/27; BU Engineering higher rate)
Placement year: 1900/yr for all fee regions (2026/27; confirmed from course pages)
Deposit: 5000",14 January 2026,https://www.bournemouth.ac.uk/study/courses/beng-hons-mechanical-engineering
Bournemouth University,Bournemouth,Faculty of Science and Technology,BEng (Hons),Electronic and Electrical Engineering,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB including Maths; BTEC Extended Diploma: DMM; T Level: Merit; IELTS 6.0 overall (min 5.5 each component); Foundation Year: 48–72 tariff","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed)
International: 20685/yr (2026/27; BU Engineering higher rate)
Placement year: 1900/yr for all fee regions (2026/27; confirmed from course pages)
Deposit: 5000",14 January 2026,https://www.bournemouth.ac.uk/study/courses/beng-hons-electronic-electrical-engineering
Bournemouth University,Bournemouth,Faculty of Management,BA (Hons),Business and Management,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB from minimum 2 A-levels; BTEC Extended Diploma: DMM; T Level: Merit; IELTS 6.0 overall (min 5.5 each component); Foundation Year: 48–72 tariff from 1 A-level","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9535/yr (2026/27; confirmed directly from bournemouth.ac.uk course page — will increase annually in line with inflation)
International: 19635/yr (2026/27; confirmed directly from bournemouth.ac.uk BA Business course page)
Placement year: 1900/yr for all fee regions (2026/27; confirmed from course pages)
Foundation year: 5760 (Home) / 19635 (Int'l)
Deposit: 5000",14 January 2026,https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-entrepreneurship
