university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
De Montfort University,Leicester,School of Art and Design,BA (Hons),Art and Design,3 years full-time,96 UCAS Tariff points; A-levels: CCC from 2 A-levels; GCSEs: five GCSEs at grade 4/C or above including English; BTEC: Merit/Merit/Merit (MMM); T Level: Merit; IB Diploma: 24 points; portfolio required for Art and Design courses; or equivalent international qualification,IELTS 6.0 overall (no band below 5.5) / TOEFL iBT 77 / PTE Academic 51,"Home/UK: £9,535/yr (2026/27; subject to parliamentary approval)
International: £15,750/yr (2026/27)
Optional sandwich/placement year: reduced fee applies (typically ~£1,300–£1,500 for 2026/27; see course page)",29 January 2026,https://www.dmu.ac.uk/study/courses/undergraduate-courses/art-and-design/art-and-design-ba-degree/art-and-design-ba-hons.aspx
De Montfort University,Leicester,School of Art and Design,BA (Hons),Fine Art,3 years full-time,96 UCAS Tariff points; A-levels: CCC from 2 A-levels; GCSEs: five GCSEs at grade 4/C or above including English; BTEC: Merit/Merit/Merit (MMM); T Level: Merit; IB Diploma: 24 points; portfolio required for Art and Design courses; or equivalent international qualification,IELTS 6.0 overall (no band below 5.5) / TOEFL iBT 77 / PTE Academic 51,"Home/UK: £9,535/yr (2026/27; subject to parliamentary approval)
International: £15,750/yr (2026/27)
Optional sandwich/placement year: reduced fee applies (typically ~£1,300–£1,500 for 2026/27; see course page)",29 January 2026,https://www.dmu.ac.uk/study/courses/undergraduate-courses/art-and-design/fine-art-ba-degree/fine-art-ba-hons.aspx
De Montfort University,Leicester,School of Art and Design,BA (Hons),Graphic Design,3 years full-time,96 UCAS Tariff points; A-levels: CCC from 2 A-levels; GCSEs: five GCSEs at grade 4/C or above including English; BTEC: Merit/Merit/Merit (MMM); T Level: Merit; IB Diploma: 24 points; portfolio required for Art and Design courses; or equivalent international qualification,IELTS 6.0 overall (no band below 5.5) / TOEFL iBT 77 / PTE Academic 51,"Home/UK: £9,535/yr (2026/27; subject to parliamentary approval)
International: £15,750/yr (2026/27)
Optional sandwich/placement year: reduced fee applies (typically ~£1,300–£1,500 for 2026/27; see course page)",29 January 2026,https://www.dmu.ac.uk/study/courses/undergraduate-courses/art-and-design/graphic-design-ba-degree/graphic-design-ba-hons.aspx
De Montfort University,Leicester,School of Art and Design,BA (Hons),Illustration,3 years full-time,96 UCAS Tariff points; A-levels: CCC from 2 A-levels; GCSEs: five GCSEs at grade 4/C or above including English; BTEC: Merit/Merit/Merit (MMM); T Level: Merit; IB Diploma: 24 points; portfolio required for Art and Design courses; or equivalent international qualification,IELTS 6.0 overall (no band below 5.5) / TOEFL iBT 77 / PTE Academic 51,"Home/UK: £9,535/yr (2026/27; subject to parliamentary approval)
International: £15,750/yr (2026/27)
Optional sandwich/placement year: reduced fee applies (typically ~£1,300–£1,500 for 2026/27; see course page)",29 January 2026,https://www.dmu.ac.uk/study/courses/undergraduate-courses/art-and-design/illustration-ba-degree/illustration-ba-hons.aspx
De Montfort University,Leicester,School of Art and Design,BA (Hons),Interior Design,3 years full-time,96 UCAS Tariff points; A-levels: CCC from 2 A-levels; GCSEs: five GCSEs at grade 4/C or above including English; BTEC: Merit/Merit/Merit (MMM); T Level: Merit; IB Diploma: 24 points; portfolio required for Art and Design courses; or equivalent international qualification,IELTS 6.0 overall (no band below 5.5) / TOEFL iBT 77 / PTE Academic 51,"Home/UK: £9,535/yr (2026/27; subject to parliamentary approval)
International: £15,750/yr (2026/27)
Optional sandwich/placement year: reduced fee applies (typically ~£1,300–£1,500 for 2026/27; see course page)",29 January 2026,https://www.dmu.ac.uk/study/courses/undergraduate-courses/art-and-design/interior-design-ba-degree/interior-design-ba-hons.aspx
De Montfort University,Leicester,School of Art and Design,BA (Hons),Photography,3 years full-time,96 UCAS Tariff points; A-levels: CCC from 2 A-levels; GCSEs: five GCSEs at grade 4/C or above including English; BTEC: Merit/Merit/Merit (MMM); T Level: Merit; IB Diploma: 24 points; portfolio required for Art and Design courses; or equivalent international qualification,IELTS 6.0 overall (no band below 5.5) / TOEFL iBT 77 / PTE Academic 51,"Home/UK: £9,535/yr (2026/27; subject to parliamentary approval)
International: £15,750/yr (2026/27)
Optional sandwich/placement year: reduced fee applies (typically ~£1,300–£1,500 for 2026/27; see course page)",29 January 2026,https://www.dmu.ac.uk/study/courses/undergraduate-courses/art-and-design/photography-ba-degree/photography-ba-hons.aspx
De Montfort University,Leicester,School of Art and Design,BSc (Hons),Product Design,3 years full-time / 4 years sandwich,112 UCAS Tariff points; A-levels: BBC from 2 A-levels; GCSEs: five GCSEs at grade 4/C or above including English and Maths; BTEC: Distinction/Merit/Merit (DMM); T Level: Merit; IB Diploma: 26 points; or equivalent international qualification,IELTS 6.0 overall (no band below 5.5) / TOEFL iBT 77 / PTE Academic 51,"Home/UK: £9,535/yr (2026/27; subject to parliamentary approval)
International: £15,750/yr (2026/27)
Optional sandwich/placement year: reduced fee applies (typically ~£1,300–£1,500 for 2026/27; see course page)",29 January 2026,https://www.dmu.ac.uk/study/courses/undergraduate-courses/art-and-design/product-design-bsc-degree/product-design-bsc-hons.aspx
De Montfort University,Leicester,School of Fashion and Textiles,BA (Hons),Fashion Design,3 years full-time,96 UCAS Tariff points; A-levels: CCC from 2 A-levels; GCSEs: five GCSEs at grade 4/C or above including English; BTEC: Merit/Merit/Merit (MMM); T Level: Merit; IB Diploma: 24 points; portfolio required for Art and Design courses; or equivalent international qualification,IELTS 6.0 overall (no band below 5.5) / TOEFL iBT 77 / PTE Academic 51,"Home/UK: £9,535/yr (2026/27; subject to parliamentary approval)
International: £15,750/yr (2026/27)
Optional sandwich/placement year: reduced fee applies (typically ~£1,300–£1,500 for 2026/27; see course page)",29 January 2026,https://www.dmu.ac.uk/study/courses/undergraduate-courses/art-and-design/fashion-design-ba-degree/fashion-design-ba-hons.aspx
De Montfort University,Leicester,School of Fashion and Textiles,BA (Hons),Fashion Management,3 years full-time / 4 years sandwich,96 UCAS Tariff points; A-levels: CCC from 2 A-levels; GCSEs: five GCSEs at grade 4/C or above including English; BTEC: Merit/Merit/Merit (MMM); T Level: Merit; IB Diploma: 24 points; portfolio required for Art and Design courses; or equivalent international qualification,IELTS 6.0 overall (no band below 5.5) / TOEFL iBT 77 / PTE Academic 51,"Home/UK: £9,535/yr (2026/27; subject to parliamentary approval)
International: £15,750/yr (2026/27)
Optional sandwich/placement year: reduced fee applies (typically ~£1,300–£1,500 for 2026/27; see course page)",29 January 2026,https://www.dmu.ac.uk/study/courses/undergraduate-courses/art-and-design/fashion-management-ba-degree/fashion-management-ba-hons.aspx
De Montfort University,Leicester,School of Fashion and Textiles,BA (Hons),Footwear Design,3 years full-time,96 UCAS Tariff points; A-levels: CCC from 2 A-levels; GCSEs: five GCSEs at grade 4/C or above including English; BTEC: Merit/Merit/Merit (MMM); T Level: Merit; IB Diploma: 24 points; portfolio required for Art and Design courses; or equivalent international qualification,IELTS 6.0 overall (no band below 5.5) / TOEFL iBT 77 / PTE Academic 51,"Home/UK: £9,535/yr (2026/27; subject to parliamentary approval)
International: £15,750/yr (2026/27)
Optional sandwich/placement year: reduced fee applies (typically ~£1,300–£1,500 for 2026/27; see course page)",29 January 2026,https://www.dmu.ac.uk/study/courses/undergraduate-courses/art-and-design/footwear-design-ba-degree/footwear-design-ba-hons.aspx
