university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Edge Hill University,Ormskirk,Department of Computing,BSc (Hons),Computer Science,3 Years,104–112 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/computer-science/
Edge Hill University,Ormskirk,Department of Computing,BSc (Hons),Software Engineering,3 Years,104–112 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/software-engineering/
Edge Hill University,Ormskirk,Department of Computing,BSc (Hons),Cybersecurity,3 Years,104–112 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/cybersecurity/
Edge Hill University,Ormskirk,Department of Computing,BSc (Hons),Data Science,3 Years,104–112 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/data-science/
Edge Hill University,Ormskirk,Department of Biosciences,BSc (Hons),Biology,3 Years,"112–120 UCAS points. GCSE English, Maths and a Science grade C/4.",IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/biology/
Edge Hill University,Ormskirk,Department of Biosciences,BSc (Hons),Biology with STEM Foundation Year,4 Years,72–96 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/biology-stem-foundation-year/
Edge Hill University,Ormskirk,Department of Biosciences,BSc (Hons),Biochemistry,3 Years,"112–120 UCAS points. GCSE English, Maths and a Science grade C/4.",IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/biochemistry/
Edge Hill University,Ormskirk,Department of Biosciences,BSc (Hons),Biochemistry with STEM Foundation Year,4 Years,72–96 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/biochemistry-stem-foundation-year/
Edge Hill University,Ormskirk,Department of Biosciences,BSc (Hons),Biomedical Science,3 Years,"112–120 UCAS points. GCSE English, Maths and a Science grade C/4.",IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/biomedical-science/
Edge Hill University,Ormskirk,Department of Biosciences,BSc (Hons),Biomedical Science with STEM Foundation Year,4 Years,72–96 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/biomedical-science-stem-foundation-year/
Edge Hill University,Ormskirk,Department of Biosciences,BSc (Hons),Biotechnology,3 Years,"112–120 UCAS points. GCSE English, Maths and a Science grade C/4.",IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/biotechnology/
Edge Hill University,Ormskirk,Department of Biosciences,BSc (Hons),Biotechnology with STEM Foundation Year,4 Years,72–96 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/biotechnology-stem-foundation-year/
Edge Hill University,Ormskirk,Department of Biosciences,BSc (Hons),Ecology and Conservation,3 Years,"112–120 UCAS points. GCSE English, Maths and a Science grade C/4.",IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/ecology-and-conservation/
Edge Hill University,Ormskirk,Department of Biosciences,BSc (Hons),Human Biology,3 Years,"112–120 UCAS points. GCSE English, Maths and a Science grade C/4.",IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/human-biology/
Edge Hill University,Ormskirk,Department of Engineering,BEng (Hons),Biomedical Engineering,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/biomedical-engineering/
Edge Hill University,Ormskirk,Department of Engineering,MEng (Hons),Biomedical Engineering,4 Years,112–128 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/biomedical-engineering-meng/
Edge Hill University,Ormskirk,Department of Geography,BSc (Hons),Geography,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/geography/
Edge Hill University,Ormskirk,Department of Arts and Media,BA (Hons),Animation,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/animation/
Edge Hill University,Ormskirk,Department of Arts and Media,BA (Hons),Fine Art,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/fine-art/
Edge Hill University,Ormskirk,Department of Arts and Media,BA (Hons),Graphic Design,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/graphic-design/
Edge Hill University,Ormskirk,Department of Arts and Media,BA (Hons),Photography,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/photography/
Edge Hill University,Ormskirk,Department of Arts and Media,BA (Hons),Film Production,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/film-production/
Edge Hill University,Ormskirk,Department of Arts and Media,BA (Hons),Music,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/music/
Edge Hill University,Ormskirk,Department of Arts and Media,BA (Hons),Theatre Arts,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/theatre-arts/
Edge Hill University,Ormskirk,Department of Arts and Media,BA (Hons),Media,3 Years,104–112 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/media/
Edge Hill University,Ormskirk,Department of Arts and Media,BA (Hons),Journalism,3 Years,104–112 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/journalism/
Edge Hill University,Ormskirk,Department of Humanities,BA (Hons),English,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/english/
Edge Hill University,Ormskirk,Department of Humanities,BA (Hons),English Literature,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/english-literature/
Edge Hill University,Ormskirk,Department of Humanities,BA (Hons),Creative Writing,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/creative-writing/
Edge Hill University,Ormskirk,Department of Humanities,BA (Hons),Creative Writing and English Literature,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/creative-writing-and-english-literature/
Edge Hill University,Ormskirk,Department of Humanities,BA (Hons),History,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/history/
Edge Hill University,Ormskirk,Department of Humanities,BA (Hons),Politics,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/politics/
Edge Hill University,Ormskirk,Department of Humanities,BA (Hons),International Relations and Humanitarian Action,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/international-relations-and-humanitarian-action/
Edge Hill University,Ormskirk,Department of Social Sciences,BSc (Hons),Criminology,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/criminology/
Edge Hill University,Ormskirk,Department of Social Sciences,BSc (Hons),Criminal Justice and Psychology,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/criminal-justice-and-psychology/
Edge Hill University,Ormskirk,Department of Social Sciences,BA (Hons),Sociology,3 Years,112–120 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/sociology/
Edge Hill University,Ormskirk,Department of Law,LLB (Hons),Law,3 Years,112–120 UCAS points. GCSE English grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/law/
Edge Hill University,Ormskirk,Department of Law,LLB (Hons),Law and Criminal Justice,3 Years,112–120 UCAS points. GCSE English grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/law-and-criminal-justice/
Edge Hill University,Ormskirk,Department of Business,BSc (Hons),Accounting and Finance,3 Years,104–112 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/accounting-and-finance/
Edge Hill University,Ormskirk,Department of Business,BSc (Hons),Business Analytics,3 Years,104–112 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/business-analytics/
Edge Hill University,Ormskirk,Department of Business,BA (Hons),Business and Economics,3 Years,104–112 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/business-and-economics/
Edge Hill University,Ormskirk,Department of Business,BA (Hons),Business Management,3 Years,104–112 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/business-management/
Edge Hill University,Ormskirk,Department of Business,BSc (Hons),Economics,3 Years,104–112 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/economics/
Edge Hill University,Ormskirk,Department of Business,BA (Hons),Marketing,3 Years,104–112 UCAS points. GCSE English and Maths grade C/4.,IELTS 6.0 (min 5.5),"UK: £9,790/year | International: £16,500/year",29-Jan-2026,https://www.edgehill.ac.uk/course/marketing/
