university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Leeds Beckett University,Leeds,Leeds Business School,BA (Hons),Business and Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,350",29-Jan-2026 (UCAS),https://www.leedsbeckett.ac.uk/courses/undergraduate/business-management
Leeds Beckett University,Leeds,Leeds Business School,BA (Hons),Business and Management (Sandwich),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,350",29-Jan-2026 (UCAS),https://www.leedsbeckett.ac.uk/courses/undergraduate/business-management-sandwich
Leeds Beckett University,Leeds,Leeds Business School,BA (Hons),Business Accounting with Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,350",29-Jan-2026 (UCAS),https://www.leedsbeckett.ac.uk/courses/undergraduate/business-accounting-with-finance
Leeds Beckett University,Leeds,Leeds Business School,BA (Hons),Business Accounting with Finance (Sandwich),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,350",29-Jan-2026 (UCAS),https://www.leedsbeckett.ac.uk/courses/undergraduate/business-accounting-with-finance-sandwich
Leeds Beckett University,Leeds,Leeds Business School,BSc (Hons),Economics,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,350",29-Jan-2026 (UCAS),https://www.leedsbeckett.ac.uk/courses/undergraduate/economics
Leeds Beckett University,Leeds,Leeds Business School,BA (Hons),Entrepreneurship,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,350",29-Jan-2026 (UCAS),https://www.leedsbeckett.ac.uk/courses/undergraduate/entrepreneurship
Leeds Beckett University,Leeds,Leeds Business School,BA (Hons),Events Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,350",29-Jan-2026 (UCAS),https://www.leedsbeckett.ac.uk/courses/undergraduate/events-management
Leeds Beckett University,Leeds,Leeds Business School,BA (Hons),Events Management (Sandwich),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,350",29-Jan-2026 (UCAS),https://www.leedsbeckett.ac.uk/courses/undergraduate/events-management-sandwich
Leeds Beckett University,Leeds,Leeds Business School,BA (Hons),Finance and Investment,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,350",29-Jan-2026 (UCAS),https://www.leedsbeckett.ac.uk/courses/undergraduate/finance-and-investment
Leeds Beckett University,Leeds,Leeds Business School,BA (Hons),Hospitality Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,350",29-Jan-2026 (UCAS),https://www.leedsbeckett.ac.uk/courses/undergraduate/hospitality-management
Leeds Beckett University,Leeds,Leeds Business School,BA (Hons),Hospitality Management (Sandwich),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,350",29-Jan-2026 (UCAS),https://www.leedsbeckett.ac.uk/courses/undergraduate/hospitality-management-sandwich
