university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Liverpool John Moores University,Liverpool,Liverpool Business School,BSc (Hons),Accounting and Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.ljmu.ac.uk/study/courses/undergraduates/2026/accounting-and-finance-bsc-hons
Liverpool John Moores University,Liverpool,Liverpool Business School,BSc (Hons),Accounting and Finance with Foundation Year,4 Years,72 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.ljmu.ac.uk/study/courses/undergraduates/2026/accounting-and-finance-with-foundation-year-bsc-hons
Liverpool John Moores University,Liverpool,Liverpool Business School,BSc (Hons),Applied Entrepreneurship,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.ljmu.ac.uk/study/courses/undergraduates/2026/applied-entrepreneurship-bsc-hons
Liverpool John Moores University,Liverpool,Liverpool Business School,BSc (Hons),Business Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.ljmu.ac.uk/study/courses/undergraduates/2026/business-management-bsc-hons
Liverpool John Moores University,Liverpool,Liverpool Business School,BSc (Hons),Business Management with Foundation Year,4 Years,72 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.ljmu.ac.uk/study/courses/undergraduates/2026/business-management-with-foundation-year-bsc-hons
Liverpool John Moores University,Liverpool,Liverpool Business School,BSc (Hons),Economics,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.ljmu.ac.uk/study/courses/undergraduates/2026/economics-bsc-hons
Liverpool John Moores University,Liverpool,Liverpool Business School,BSc (Hons),Events Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.ljmu.ac.uk/study/courses/undergraduates/2026/events-management-bsc-hons
Liverpool John Moores University,Liverpool,Liverpool Business School,BSc (Hons),Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.ljmu.ac.uk/study/courses/undergraduates/2026/finance-bsc-hons
Liverpool John Moores University,Liverpool,Liverpool Business School,BSc (Hons),Human Resource Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.ljmu.ac.uk/study/courses/undergraduates/2026/human-resource-management-bsc-hons
Liverpool John Moores University,Liverpool,Liverpool Business School,BSc (Hons),International Business,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.ljmu.ac.uk/study/courses/undergraduates/2026/international-business-bsc-hons
