university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
London Metropolitan University,London,Guildhall School of Business and Law,BA (Hons),Accounting and Finance,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,535/year
• £19,500",29-Jan-2026 (UCAS),https://www.londonmet.ac.uk/courses/undergraduate/accounting-and-finance/
London Metropolitan University,London,Guildhall School of Business and Law,BA (Hons),Accounting and Finance (including foundation year),4 Years,32 UCAS Tariff points. GCSE English grade 3/D. IB: 12 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,535/year
• £19,500",29-Jan-2026 (UCAS),https://www.londonmet.ac.uk/courses/undergraduate/accounting-and-finance-foundation/
London Metropolitan University,London,Guildhall School of Business and Law,BSc (Hons),Banking and Finance,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,535/year
• £19,500",29-Jan-2026 (UCAS),https://www.londonmet.ac.uk/courses/undergraduate/banking-and-finance/
London Metropolitan University,London,Guildhall School of Business and Law,BA (Hons),Business Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,535/year
• £19,500",29-Jan-2026 (UCAS),https://www.londonmet.ac.uk/courses/undergraduate/business-management/
London Metropolitan University,London,Guildhall School of Business and Law,BA (Hons),Business Management (including foundation year),4 Years,32 UCAS Tariff points. GCSE English grade 3/D. IB: 12 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,535/year
• £19,500",29-Jan-2026 (UCAS),https://www.londonmet.ac.uk/courses/undergraduate/business-management-foundation/
London Metropolitan University,London,Guildhall School of Business and Law,BA (Hons),Business Management with Law,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,535/year
• £19,500",29-Jan-2026 (UCAS),https://www.londonmet.ac.uk/courses/undergraduate/business-management-with-law/
London Metropolitan University,London,Guildhall School of Business and Law,BSc (Hons),Economics,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,535/year
• £19,500",29-Jan-2026 (UCAS),https://www.londonmet.ac.uk/courses/undergraduate/economics/
London Metropolitan University,London,Guildhall School of Business and Law,BSc (Hons),Events Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,535/year
• £19,500",29-Jan-2026 (UCAS),https://www.londonmet.ac.uk/courses/undergraduate/events-management/
London Metropolitan University,London,Guildhall School of Business and Law,BSc (Hons),Finance,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,535/year
• £19,500",29-Jan-2026 (UCAS),https://www.londonmet.ac.uk/courses/undergraduate/finance/
London Metropolitan University,London,Guildhall School of Business and Law,BA (Hons),Human Resource Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,535/year
• £19,500",29-Jan-2026 (UCAS),https://www.londonmet.ac.uk/courses/undergraduate/human-resource-management/
London Metropolitan University,London,Guildhall School of Business and Law,BA (Hons),International Business Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,535/year
• £19,500",29-Jan-2026 (UCAS),https://www.londonmet.ac.uk/courses/undergraduate/international-business-management/
London Metropolitan University,London,Guildhall School of Business and Law,LLB (Hons),Law,3 Years,112 UCAS Tariff points. GCSE English grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,535/year
• £19,500",29-Jan-2026 (UCAS),https://www.londonmet.ac.uk/courses/undergraduate/law/
London Metropolitan University,London,Guildhall School of Business and Law,LLB (Hons),Law (including foundation year),4 Years,32 UCAS Tariff points. GCSE English grade 3/D. IB: 12 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,535/year
• £19,500",29-Jan-2026 (UCAS),https://www.londonmet.ac.uk/courses/undergraduate/law-foundation/
