university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BSc (Hons),Accounting and Finance,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/bsc-accounting-and-finance/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BSc (Hons),Accounting and Finance (Foundation Year),4 Years,72 UCAS Tariff points. GCSE English grade 3/D. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/bsc-accounting-and-finance-foundation/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BSc (Hons),Banking and Finance,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/bsc-banking-and-finance/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BSc (Hons),Banking and Finance (Foundation Year),4 Years,72 UCAS Tariff points. GCSE English grade 3/D. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/bsc-banking-and-finance-foundation/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BA (Hons),Business Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/ba-business-management/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BA (Hons),Business Management (Foundation Year),4 Years,72 UCAS Tariff points. GCSE English grade 3/D. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/ba-business-management-foundation/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BSc (Hons),Economics,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/bsc-economics/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BSc (Hons),Events Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/bsc-events-management/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BSc (Hons),Events Management (Foundation Year),4 Years,72 UCAS Tariff points. GCSE English grade 3/D. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/bsc-events-management-foundation/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BSc (Hons),Finance,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/bsc-finance/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BSc (Hons),Finance and Economics,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/bsc-finance-economics/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BSc (Hons),Hospitality Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/bsc-hospitality-management/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BSc (Hons),Human Resource Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/bsc-human-resource-management/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BSc (Hons),International Business,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/bsc-international-business/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,LLB (Hons),Law,3 Years,112 UCAS Tariff points. GCSE English grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/ba-law/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,LLB (Hons),Law (Foundation Year),4 Years,72 UCAS Tariff points. GCSE English grade 3/D. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/ba-law-foundation/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,LLB (Hons),Law with Criminology,3 Years,112 UCAS Tariff points. GCSE English grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/ba-law-with-criminology/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BA (Hons),Marketing,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/ba-marketing/
Manchester Metropolitan University,Manchester,Faculty of Business and Law,BA (Hons),Advertising and Brand Communications,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £20,000",29-Jan-2026 (UCAS),https://www.mmu.ac.uk/study/undergraduate/course/ba-advertising-and-brand-communications/
