university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Northumbria University,Newcastle upon Tyne,Faculty of Business and Law,BSc (Hons),Accounting,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £21,500",29-Jan-2026 (UCAS),https://www.northumbria.ac.uk/study-at-northumbria/courses/accounting-bsc/
Northumbria University,Newcastle upon Tyne,Faculty of Business and Law,BSc (Hons),Accounting (with Placement),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £21,500",29-Jan-2026 (UCAS),https://www.northumbria.ac.uk/study-at-northumbria/courses/accounting-sandwich-bsc/
Northumbria University,Newcastle upon Tyne,Faculty of Business and Law,BSc (Hons),Accounting and Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £21,500",29-Jan-2026 (UCAS),https://www.northumbria.ac.uk/study-at-northumbria/courses/accounting-and-finance-bsc/
Northumbria University,Newcastle upon Tyne,Faculty of Business and Law,BSc (Hons),Accounting and Finance (with Placement),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £21,500",29-Jan-2026 (UCAS),https://www.northumbria.ac.uk/study-at-northumbria/courses/accounting-and-finance-sandwich-bsc/
Northumbria University,Newcastle upon Tyne,Faculty of Business and Law,BA (Hons),Business Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £21,500",29-Jan-2026 (UCAS),https://www.northumbria.ac.uk/study-at-northumbria/courses/business-management-ba/
Northumbria University,Newcastle upon Tyne,Faculty of Business and Law,BA (Hons),Business Management (with Placement),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £21,500",29-Jan-2026 (UCAS),https://www.northumbria.ac.uk/study-at-northumbria/courses/business-management-sandwich-ba/
Northumbria University,Newcastle upon Tyne,Faculty of Business and Law,BSc (Hons),Economics,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £21,500",29-Jan-2026 (UCAS),https://www.northumbria.ac.uk/study-at-northumbria/courses/economics-bsc/
Northumbria University,Newcastle upon Tyne,Faculty of Business and Law,BSc (Hons),Economics and Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £21,500",29-Jan-2026 (UCAS),https://www.northumbria.ac.uk/study-at-northumbria/courses/economics-and-finance-bsc/
Northumbria University,Newcastle upon Tyne,Faculty of Business and Law,BSc (Hons),Events Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £21,500",29-Jan-2026 (UCAS),https://www.northumbria.ac.uk/study-at-northumbria/courses/events-management-bsc/
Northumbria University,Newcastle upon Tyne,Faculty of Business and Law,BSc (Hons),Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £21,500",29-Jan-2026 (UCAS),https://www.northumbria.ac.uk/study-at-northumbria/courses/finance-bsc/
