university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Nottingham Trent University,Nottingham,School of Science and Technology,BSc (Hons),Biological Sciences,3 Years,112 UCAS points (BBC at A-Level). Sciences preferred.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/science-and-technology/ug/bsc-hons-biological-science
Nottingham Trent University,Nottingham,School of Science and Technology,BSc (Hons),Microbiology,3 Years,112 UCAS points (BBC at A-Level). Biology and Chemistry preferred.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/science-and-technology/ug/bsc-hons-microbiology
Nottingham Trent University,Nottingham,School of Science and Technology,BSc (Hons),Microbiology with Foundation Year,4 Years,72 UCAS points (DDD at A-Level). Sciences desirable. Foundation year included.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/science-and-technology/ug/microbiology-with-foundation-year
Nottingham Trent University,Nottingham,School of Science and Technology,BSc (Hons),Computer Science,3 Years,120 UCAS points (BBB at A-Level). Maths or Computing preferred.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £18,700/year",29-Jan-2026,https://www.ntu.ac.uk/course/science-and-technology/ug/bsc-hons-computer-science
Nottingham Trent University,Nottingham,School of Science and Technology,BSc (Hons),Software Engineering,3 Years,120 UCAS points (BBB at A-Level) including IT/Maths/Science at grade C or above.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/science-and-technology/ug/bsc-hons-software-engineering
Nottingham Trent University,Nottingham,School of Science and Technology,BSc (Hons),Cyber Security,3 Years,120 UCAS points (BBB at A-Level). IT/Maths/Science preferred.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £18,700/year",29-Jan-2026,https://www.ntu.ac.uk/course/science-and-technology/ug/bsc-hons-cyber-security
Nottingham Trent University,Nottingham,School of Science and Technology,BSc (Hons),Cyber Security with Foundation Year,4 Years,72 UCAS points (DDD at A-Level). IT or Science desirable. Foundation year included.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £18,700/year",29-Jan-2026,https://www.ntu.ac.uk/course/science-and-technology/ug/cyber-security-with-foundation-year
Nottingham Trent University,Nottingham,School of Science and Technology,BEng (Hons),Electronic and Electrical Engineering,3 Years,112 UCAS points (BBC at A-Level) including Maths and Physics.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/science-and-technology/ug/beng-hons-electronic-and-electrical-engineering
Nottingham Trent University,Nottingham,School of Science and Technology,BEng (Hons),Electronic and Electrical Engineering with Foundation Year,4 Years,72 UCAS points (DDD at A-Level). Maths/Physics desirable. Foundation year included.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/science-and-technology/ug/beng-electronic-and-electrical-engineering-with-foundation-year
Nottingham Trent University,Nottingham,School of Science and Technology,BSc (Hons),Sport Science and Coaching,3 Years,112 UCAS points (BBC at A-Level) including Science or Maths at grade C or above.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/science-and-technology/ug/bsc-hons-sport-science-and-coaching
Nottingham Trent University,Nottingham,School of Science and Technology,BSc (Hons),Sport and Exercise Science,3 Years,112 UCAS points (BBC at A-Level). Science or PE preferred.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/science-and-technology/ug/bsc-hons-sport-and-exercise-science
Nottingham Trent University,Nottingham,School of Science and Technology,BSc (Hons),Sport and Exercise Science with Foundation Year,4 Years,72 UCAS points (DDD at A-Level). Foundation year included.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/science-and-technology/ug/sport-and-exercise-science-with-foundation-year
Nottingham Trent University,Nottingham,Nottingham Business School,BA (Hons),Business Management,3 Years,112 UCAS points (BBC at A-Level). No specific subjects required.,IELTS 6.5 (min 5.5 in each skill),"UK: £9,790/year | International: £18,700/year",29-Jan-2026,https://www.ntu.ac.uk/course/nottingham-business-school/ug/ba-hons-business-management
Nottingham Trent University,Nottingham,Nottingham Business School,BA (Hons),Business Management and Economics,3 Years,112 UCAS points (BBC at A-Level). No specific subjects required.,IELTS 6.5 (min 5.5 in each skill),"UK: £9,790/year | International: £18,700/year",29-Jan-2026,https://www.ntu.ac.uk/course/nottingham-business-school/ug/ba-hons-business-management-and-economics
Nottingham Trent University,Nottingham,Nottingham Business School,BA (Hons),Marketing,3 Years,120 UCAS points (BBB at A-Level). No specific subjects required.,IELTS 6.5 (min 5.5 in each skill),"UK: £9,790/year | International: £18,700/year",29-Jan-2026,https://www.ntu.ac.uk/course/nottingham-business-school/ug/ba-hons-marketing
Nottingham Trent University,Nottingham,Nottingham Business School,BA (Hons),Accounting and Finance,3 Years,112 UCAS points (BBC at A-Level). Maths preferred.,IELTS 6.5 (min 5.5 in each skill),"UK: £9,790/year | International: £18,700/year",29-Jan-2026,https://www.ntu.ac.uk/course/nottingham-business-school/ug/ba-hons-accounting-and-finance
Nottingham Trent University,Nottingham,School of Architecture Design and the Built Environment,BEng (Hons),Civil Engineering,3 Years,120 UCAS points (BBB at A-Level) including Maths at grade C or above.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/architecture-design-and-the-built-environment/ug/beng-hons-civil-engineering
Nottingham Trent University,Nottingham,School of Architecture Design and the Built Environment,BEng (Hons),Civil Engineering with Foundation Year,4 Years,72 UCAS points (DDD at A-Level). Maths desirable. Foundation year included.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/architecture-design-and-the-built-environment/ug/bsc-hons-civil-engineering-foundation-year
Nottingham Trent University,Nottingham,Nottingham Law School,LLB (Hons),Law,3 Years,120 UCAS points (BBB at A-Level). No specific subjects required.,IELTS 6.5 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/nottingham-law-school/ug/llb-hons-law
Nottingham Trent University,Nottingham,Nottingham Law School,LLB (Hons),Law (Sandwich),4 Years,120 UCAS points (BBB at A-Level). No specific subjects required. Includes placement year in Year 3.,IELTS 6.5 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/nottingham-law-school/ug/llb-law-sandwich
Nottingham Trent University,Nottingham,Nottingham School of Art & Design,BA (Hons),Fashion Design,3 Years,112 UCAS points (BBC at A-Level). Portfolio and interview required.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £18,700/year",29-Jan-2026,https://www.ntu.ac.uk/course/art-and-design/ug/ba-hons-fashion-design
Nottingham Trent University,Nottingham,Nottingham School of Art & Design,BA (Hons),Fashion Knitwear Design and Knitted Textiles,3 Years,112 UCAS points (BBC at A-Level). Portfolio and interview required.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £18,700/year",29-Jan-2026,https://www.ntu.ac.uk/course/art-and-design/ug/ba-hons-fashion-knitwear-design-and-knitted-textiles
Nottingham Trent University,Nottingham,Nottingham School of Art & Design,BA (Hons),Photography,3 Years,112 UCAS points (BBC at A-Level). Portfolio required.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £18,700/year",29-Jan-2026,https://www.ntu.ac.uk/course/art-and-design/ug/ba-hons-photography
Nottingham Trent University,Nottingham,Nottingham School of Art & Design,BMus (Hons),Popular Music Performance,3 Years,96 UCAS points (CCC at A-Level). Audition and interview required.,IELTS 6.0 (min 5.5 in each skill),"UK: £9,790/year | International: £18,700/year",29-Jan-2026,https://www.ntu.ac.uk/course/art-and-design/ug/bmus-hons-popular-music-performance
Nottingham Trent University,Nottingham,School of Social Sciences,BA (Hons),Health and Social Care,3 Years,96 UCAS points (CCC at A-Level). No specific subjects required.,IELTS 6.5 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/social-sciences/ug/ba-hons-health-and-social-care
Nottingham Trent University,Nottingham,School of Social Sciences,BSc (Hons),Occupational Therapy,3 Years,112 UCAS points (BBC at A-Level). Healthcare work experience required.,IELTS 7.0 (min 6.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/social-sciences/ug/bsc-occupational-therapy
Nottingham Trent University,Nottingham,School of Arts and Humanities,BA (Hons),History,3 Years,112 UCAS points (BBC at A-Level). No specific subjects required.,IELTS 6.5 (min 5.5 in each skill),"UK: £9,790/year | International: £17,950/year",29-Jan-2026,https://www.ntu.ac.uk/course/arts-and-humanities/ug/ba-hons-history
