university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Oxford Brookes University,Oxford,School of Law,LLB (Hons),Law,3 Years,112 UCAS Tariff points. GCSE English grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/law/
Oxford Brookes University,Oxford,School of Law,LLB (Hons),Law (with Foundation Year),4 Years,48 UCAS Tariff points. GCSE English grade 3/D. IB: 18 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/law-with-foundation-year/
Oxford Brookes University,Oxford,School of Law,LLB (Hons),Law and Criminology,3 Years,112 UCAS Tariff points. GCSE English grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/law-and-criminology/
Oxford Brookes University,Oxford,School of Law,LLB (Hons),Law and Criminology (with Foundation Year),4 Years,48 UCAS Tariff points. GCSE English grade 3/D. IB: 18 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/law-and-criminology-with-foundation-year/
Oxford Brookes University,Oxford,School of Law,LLB (Hons),Law and Politics,3 Years,112 UCAS Tariff points. GCSE English grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/law-and-politics/
Oxford Brookes University,Oxford,School of Law,LLB (Hons),Law and Business Management,3 Years,112 UCAS Tariff points. GCSE English grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/law-and-business-management/
Oxford Brookes University,Oxford,Oxford School of Hospitality Management,BA (Hons),Hospitality Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/hospitality-management/
Oxford Brookes University,Oxford,Oxford School of Hospitality Management,BA (Hons),Hospitality Management (with Foundation Year),4 Years,48 UCAS Tariff points. GCSE English grade 3/D. IB: 18 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/hospitality-management-with-foundation-year/
Oxford Brookes University,Oxford,Oxford School of Hospitality Management,BA (Hons),Hospitality Management (with Placement Year),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/hospitality-management-with-placement/
Oxford Brookes University,Oxford,Oxford School of Hospitality Management,BA (Hons),International Hospitality Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/international-hospitality-management/
Oxford Brookes University,Oxford,Oxford School of Hospitality Management,BA (Hons),Tourism Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/tourism-management/
Oxford Brookes University,Oxford,Oxford School of Hospitality Management,BA (Hons),Events Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/events-management/
Oxford Brookes University,Oxford,Oxford School of Hospitality Management,BA (Hons),Events Management (with Foundation Year),4 Years,48 UCAS Tariff points. GCSE English grade 3/D. IB: 18 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/events-management-with-foundation-year/
Oxford Brookes University,Oxford,Oxford School of Hospitality Management,BA (Hons),Events Management (with Placement Year),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/events-management-with-placement/
Oxford Brookes University,Oxford,Oxford School of Hospitality Management,BA (Hons),Business Management with Hospitality,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/business-management-hospitality/
Oxford Brookes University,Oxford,Oxford School of Hospitality Management,BSc (Hons),Food Science and Nutrition,3 Years,"112 UCAS Tariff points. GCSE English, Maths and a Science grade 4/C. IB: 26 points.","IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/food-science-nutrition/
Oxford Brookes University,Oxford,Oxford School of Hospitality Management,BSc (Hons),Applied Human Nutrition,3 Years,"112 UCAS Tariff points. GCSE English, Maths and a Science grade 4/C. IB: 26 points.",IELTS 6.5 overall (min 6.0 per component),"• £9,790/year
• £17,250 (NHS Learning Support Fund bursary of £5,000/yr available for eligible UK students)",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/nutrition-and-dietetics/
Oxford Brookes University,Oxford,School of the Built Environment,BA (Hons),Architecture,3 Years,120 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 28 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/architecture/
Oxford Brookes University,Oxford,School of the Built Environment,BA (Hons),Architecture (with Foundation Year),4 Years,48 UCAS Tariff points. GCSE English grade 3/D. IB: 18 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/architecture-with-foundation-year/
Oxford Brookes University,Oxford,School of the Built Environment,MArch,Architecture (Parts 1 and 2),4 Years,136 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 32 points. RIBA Parts 1 and 2 integrated.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/architecture-parts-1-and-2-march/
Oxford Brookes University,Oxford,School of the Built Environment,BSc (Hons),Architectural Design Technology,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/architectural-design-technology/
Oxford Brookes University,Oxford,School of the Built Environment,BSc (Hons),Architectural Design Technology (with Placement Year),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/architectural-design-technology-with-placement/
Oxford Brookes University,Oxford,School of the Built Environment,BA (Hons),Urban Planning,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/urban-planning/
Oxford Brookes University,Oxford,School of the Built Environment,BSc (Hons),Real Estate,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/real-estate/
Oxford Brookes University,Oxford,School of the Built Environment,BSc (Hons),Real Estate (with Placement Year),4 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,"IELTS 6.0 overall (min 6.0 reading/writing, 5.5 speaking/listening)","• £9,790/year
• £17,250",29-Jan-2026 (UCAS),https://www.brookes.ac.uk/courses/undergraduate/real-estate-with-placement/
