university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Brighton,Brighton,School of Computing Engineering and Mathematics,BSc (Hons),Computer Science,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB from minimum 2 A-levels; BTEC Extended Diploma: DMM–MMM; T Level: Merit; IB: 26 pts; IELTS 6.0 overall (min 5.5 each component); contextual offer: 2 grades lower","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed from brighton.ac.uk course page — regulated fee; subject to parliamentary approval)
International: 17796–19692/yr (2026/27; confirmed from brighton.ac.uk international UG fees table — all UG courses classroom and lab-based within this range; exact per-course fee listed on course page)
Placement year: 1958 for 2026/27 entrants (confirmed from BSc Computer Science course page)
Deposit: 5000 minimum for Sep 2026 entry (subject to review)",14 January 2026,https://www.brighton.ac.uk/courses/study/computer-science-bsc-hons.aspx
University of Brighton,Brighton,School of Computing Engineering and Mathematics,BSc (Hons),Computer Science with Artificial Intelligence,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB from minimum 2 A-levels; BTEC Extended Diploma: DMM–MMM; T Level: Merit; IB: 26 pts; IELTS 6.0 overall (min 5.5 each component)","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed — regulated fee)
International: 17796–19692/yr (2026/27; confirmed from official UG international fees table — exact fee on course page)
Placement year: 1907 (2026/27; standard placement year fee per international UG fees page)
Deposit: 5000 minimum for Sep 2026 entry",14 January 2026,https://www.brighton.ac.uk/courses/study/computer-science-with-artificial-intelligence-bsc-hons.aspx
University of Brighton,Brighton,School of Computing Engineering and Mathematics,BSc (Hons),Cyber Security and Networks,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB from minimum 2 A-levels; BTEC Extended Diploma: DMM–MMM; T Level: Merit; IB: 26 pts; IELTS 6.0 overall (min 5.5 each component)","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed — regulated fee)
International: 17796–19692/yr (2026/27; confirmed from official UG international fees table — exact fee on course page)
Placement year: 1907 (2026/27; standard placement year fee)
Deposit: 5000 minimum for Sep 2026 entry",14 January 2026,https://www.brighton.ac.uk/courses/study/cyber-security-and-networks-bsc-hons.aspx
University of Brighton,Brighton,School of Computing Engineering and Mathematics,BSc (Hons),Data Science,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB from minimum 2 A-levels; Maths preferred; BTEC Extended Diploma: DMM–MMM; T Level: Merit; IB: 26 pts; IELTS 6.0 overall (min 5.5 each component)","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed — regulated fee)
International: 17796–19692/yr (2026/27; confirmed from official UG international fees table — exact fee on course page)
Placement year: 1907 (2026/27; standard placement year fee)
Deposit: 5000 minimum for Sep 2026 entry",14 January 2026,https://www.brighton.ac.uk/courses/study/data-science-bsc-hons.aspx
University of Brighton,Brighton,School of Computing Engineering and Mathematics,BEng (Hons),Engineering,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB including Maths and Physics preferred; BTEC Extended Diploma: DMM–MMM; T Level: Merit; IB: 26 pts; IELTS 6.0 overall (min 5.5 each component)","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed — regulated fee)
International: 17796–19692/yr (2026/27; confirmed from official UG international fees table — exact fee on course page)
Placement year: 1907 (2026/27; standard placement year fee)
Deposit: 5000 minimum for Sep 2026 entry",14 January 2026,https://www.brighton.ac.uk/courses/study/engineering-beng-hons.aspx
University of Brighton,Brighton,School of Computing Engineering and Mathematics,BEng (Hons),Mechanical Engineering,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB including Maths and Physics preferred; BTEC Extended Diploma: DMM–MMM; T Level: Merit; IB: 26 pts; IELTS 6.0 overall (min 5.5 each component)","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed — regulated fee)
International: 17796–19692/yr (2026/27; confirmed from official UG international fees table — exact fee on course page)
Placement year: 1907 (2026/27; standard placement year fee)
Deposit: 5000 minimum for Sep 2026 entry",14 January 2026,https://www.brighton.ac.uk/courses/study/mechanical-engineering-beng-hons.aspx
University of Brighton,Brighton,School of Computing Engineering and Mathematics,BEng (Hons),Civil Engineering,3 years full-time (4 with placement),"104–120 UCAS tariff points; A-levels: BCC–BBB including Maths; BTEC Extended Diploma: DMM–MMM; T Level: Merit; IB: 26 pts; IELTS 6.0 overall (min 5.5 each component)","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed — regulated fee)
International: 17796–19692/yr (2026/27; confirmed from official UG international fees table — exact fee on course page)
Placement year: 1907 (2026/27; standard placement year fee)
Deposit: 5000 minimum for Sep 2026 entry",14 January 2026,https://www.brighton.ac.uk/courses/study/civil-engineering-beng-hons.aspx
University of Brighton,Brighton,School of Environment and Technology,BSc (Hons),Environmental Science,3 years full-time (4 with placement),"96–120 UCAS tariff points; A-levels: CCC–BBB including one Science; BTEC Extended Diploma: MMM–DMM; T Level: Merit; IB: 24 pts; IELTS 6.0 overall (min 5.5 each component)","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed — regulated fee)
International: 17796–19692/yr (2026/27; confirmed from official UG international fees table — exact fee on course page)
Placement year: 1907 (2026/27; standard placement year fee)
Deposit: 5000 minimum for Sep 2026 entry",14 January 2026,https://www.brighton.ac.uk/courses/study/environmental-science-bsc-hons.aspx
University of Brighton,Brighton,Brighton Business School,BA (Hons),Business and Management,3 years full-time (4 with placement),"96–120 UCAS tariff points; A-levels: CCC–BBB from minimum 2 A-levels; BTEC Extended Diploma: MMM–DMM; T Level: Merit; IB: 24 pts; IELTS 6.0 overall (min 5.5 each component)","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed — regulated fee)
International: 17796–19692/yr (2026/27; confirmed from official UG international fees table — exact fee on course page)
Placement year: 1907 (2026/27; standard placement year fee)
Deposit: 5000 minimum for Sep 2026 entry",14 January 2026,https://www.brighton.ac.uk/courses/study/business-management-ba-hons.aspx
University of Brighton,Brighton,Brighton Business School,BA (Hons),Accounting and Finance,3 years full-time (4 with placement),"96–120 UCAS tariff points; A-levels: CCC–BBB; Maths preferred; BTEC Extended Diploma: MMM–DMM; T Level: Merit; IB: 24 pts; IELTS 6.0 overall (min 5.5 each component)","IELTS 6.0 / TOEFL 79 / PTE 51","Home: 9790/yr (2026/27; confirmed — regulated fee)
International: 17796–19692/yr (2026/27; confirmed from official UG international fees table — exact fee on course page)
Placement year: 1907 (2026/27; standard placement year fee)
Deposit: 5000 minimum for Sep 2026 entry",14 January 2026,https://www.brighton.ac.uk/courses/study/accounting-and-finance-ba-hons.aspx
