university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Greenwich,London,Greenwich Business School,BA,Accounting and Finance,3 Years,A-Levels: BBC. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/accounting-finance-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Accounting and Finance (Extended),4 Years,Foundation year entry: below standard A-Level requirements. GCSE English and Maths grade 4/C. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £5,760/year (foundation year); £9,790/year thereafter
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/accounting-finance-extended-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Accounting and Business Analytics,3 Years,A-Levels: BBC. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/accounting-and-business-analytics-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Business Economics,3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/business-economics-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Business Logistics and Supply Chain Management,3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/business-logistics-and-supply-chain-management-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Business Management,3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/business-management-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Business Management (Extended),4 Years,Foundation year entry: below standard A-Level requirements. GCSE English and Maths grade 4/C. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £5,760/year (foundation year); £9,790/year thereafter
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/business-management-ba-hons-ext
University of Greenwich,London,Greenwich Business School,BA,Business Management (Finance),3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/business-management-finance-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Business Management (Finance) with Foundation Year,4 Years,Foundation year entry: below standard A-Level requirements. GCSE English and Maths grade 4/C. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/business-management-finance-with-foundation-year-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Business Management (Marketing),3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/business-management-marketing-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Business Management (Marketing) with Foundation Year,4 Years,Foundation year entry: below standard A-Level requirements. GCSE English and Maths grade 4/C. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/business-management-marketing-with-foundation-year-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Business Studies,3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/business-studies-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Business with Finance,3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/business-finance-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Business with Marketing,3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/business-marketing-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Digital Marketing and Advertising,3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/digital-marketing-and-advertising-ba-hons
University of Greenwich,London,Greenwich Business School,BSc,Economics,3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/economics-bsc-hons
University of Greenwich,London,Greenwich Business School,BA,Entrepreneurship and Innovation,3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/entrepreneurship-and-innovation-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Events Management and Innovation,3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/events-management-and-innovation-ba
University of Greenwich,London,Greenwich Business School,BSc,Finance and Investment Banking,3 Years,A-Levels: BBC. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/finance-investment-banking-bsc-hons
University of Greenwich,London,Greenwich Business School,BA,Hospitality Management,3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/hospitality-management-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Human Resource Management,3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/human-resource-management-ba-hons
University of Greenwich,London,Greenwich Business School,BA,Human Resource Management and Development,3 Years,A-Levels: CCC. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://www.gre.ac.uk/undergraduate-courses/business-school/human-resource-management-and-development-ba-hons
