university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Hertfordshire,Hatfield,Hertfordshire Business School,BA (Hons),Accounting and Finance,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £15,965",29-Jan-2026 (UCAS),https://www.herts.ac.uk/courses/undergraduate/accounting-and-finance
University of Hertfordshire,Hatfield,Hertfordshire Business School,BA (Hons),Business Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £15,965",29-Jan-2026 (UCAS),https://www.herts.ac.uk/courses/undergraduate/business-management
University of Hertfordshire,Hatfield,Hertfordshire Business School,BA (Hons),Business Management with Human Resource Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £15,965",29-Jan-2026 (UCAS),https://www.herts.ac.uk/courses/undergraduate/business-management-human-resource-management
University of Hertfordshire,Hatfield,Hertfordshire Business School,BA (Hons),Business Management with Marketing,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £15,965",29-Jan-2026 (UCAS),https://www.herts.ac.uk/courses/undergraduate/business-management-marketing
University of Hertfordshire,Hatfield,Hertfordshire Business School,BA (Hons),Business Management with Finance,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £15,965",29-Jan-2026 (UCAS),https://www.herts.ac.uk/courses/undergraduate/business-management-finance
University of Hertfordshire,Hatfield,Hertfordshire Business School,BA (Hons),Business Management with Entrepreneurship,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £15,965",29-Jan-2026 (UCAS),https://www.herts.ac.uk/courses/undergraduate/business-management-entrepreneurship
University of Hertfordshire,Hatfield,Hertfordshire Business School,BSc (Hons),Economics,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £15,965",29-Jan-2026 (UCAS),https://www.herts.ac.uk/courses/undergraduate/economics
University of Hertfordshire,Hatfield,Hertfordshire Business School,BSc (Hons),Finance and Accounting,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £15,965",29-Jan-2026 (UCAS),https://www.herts.ac.uk/courses/undergraduate/finance-and-accounting
University of Hertfordshire,Hatfield,Hertfordshire Business School,BA (Hons),Marketing,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £15,965",29-Jan-2026 (UCAS),https://www.herts.ac.uk/courses/undergraduate/marketing
University of Hertfordshire,Hatfield,Hertfordshire Business School,BA (Hons),Digital Marketing,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.5 overall (min 5.5 per component),"• £9,790/year
• £15,965",29-Jan-2026 (UCAS),https://www.herts.ac.uk/courses/undergraduate/digital-marketing
