university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Huddersfield,Huddersfield,"School of Business, Education and Law",BA (Hons),Accountancy,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://courses.hud.ac.uk/2026-27/undergraduate/accounting/accountancy-ba-hons
University of Huddersfield,Huddersfield,"School of Business, Education and Law",BA (Hons),Accounting and Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://courses.hud.ac.uk/2026-27/undergraduate/accounting/accounting-and-finance-ba-hons
University of Huddersfield,Huddersfield,"School of Business, Education and Law",BA (Hons),Business Studies,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://courses.hud.ac.uk/2026-27/undergraduate/business/business-studies-ba-hons
University of Huddersfield,Huddersfield,"School of Business, Education and Law",BA (Hons),Business Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://courses.hud.ac.uk/2026-27/undergraduate/business/business-management-ba-hons
University of Huddersfield,Huddersfield,"School of Business, Education and Law",BA (Hons),International Business,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://courses.hud.ac.uk/2026-27/undergraduate/business/international-business-ba-hons
University of Huddersfield,Huddersfield,"School of Business, Education and Law",BA (Hons),Marketing,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://courses.hud.ac.uk/2026-27/undergraduate/business/marketing-ba-hons
University of Huddersfield,Huddersfield,"School of Business, Education and Law",BA (Hons),Digital Marketing,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://courses.hud.ac.uk/2026-27/undergraduate/business/digital-marketing-ba-hons
University of Huddersfield,Huddersfield,"School of Business, Education and Law",BA (Hons),Human Resource Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://courses.hud.ac.uk/2026-27/undergraduate/business/human-resource-management-ba-hons
University of Huddersfield,Huddersfield,"School of Business, Education and Law",BA (Hons),Logistics and Supply Chain Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://courses.hud.ac.uk/2026-27/undergraduate/business/logistics-and-supply-chain-management-ba-hons
University of Huddersfield,Huddersfield,"School of Business, Education and Law",BSc (Hons),Economics,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,500",29-Jan-2026 (UCAS),https://courses.hud.ac.uk/2026-27/undergraduate/accounting/economics-bsc-hons
