university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Lincoln,Lincoln,Lincoln International Business School,BSc (Hons),Accountancy and Finance,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,900",29-Jan-2026 (UCAS),https://www.lincoln.ac.uk/studywithus/undergraduatestudy/courses/accountancy-and-finance-bsc-hons
University of Lincoln,Lincoln,Lincoln International Business School,BSc (Hons),Business and Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,900",29-Jan-2026 (UCAS),https://www.lincoln.ac.uk/studywithus/undergraduatestudy/courses/business-and-management-bsc-hons
University of Lincoln,Lincoln,Lincoln International Business School,BSc (Hons),Business and Marketing,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,900",29-Jan-2026 (UCAS),https://www.lincoln.ac.uk/studywithus/undergraduatestudy/courses/business-and-marketing-bsc-hons
University of Lincoln,Lincoln,Lincoln International Business School,BSc (Hons),Economics,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,900",29-Jan-2026 (UCAS),https://www.lincoln.ac.uk/studywithus/undergraduatestudy/courses/economics-bsc-hons
University of Lincoln,Lincoln,Lincoln International Business School,BSc (Hons),Events Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,900",29-Jan-2026 (UCAS),https://www.lincoln.ac.uk/studywithus/undergraduatestudy/courses/events-management-bsc-hons
University of Lincoln,Lincoln,Lincoln International Business School,BSc (Hons),Finance,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,900",29-Jan-2026 (UCAS),https://www.lincoln.ac.uk/studywithus/undergraduatestudy/courses/finance-bsc-hons
University of Lincoln,Lincoln,Lincoln International Business School,BSc (Hons),Human Resource Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,900",29-Jan-2026 (UCAS),https://www.lincoln.ac.uk/studywithus/undergraduatestudy/courses/human-resource-management-bsc-hons
University of Lincoln,Lincoln,Lincoln International Business School,BSc (Hons),International Business,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,900",29-Jan-2026 (UCAS),https://www.lincoln.ac.uk/studywithus/undergraduatestudy/courses/international-business-bsc-hons
University of Lincoln,Lincoln,Lincoln International Business School,BSc (Hons),International Tourism Management,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,900",29-Jan-2026 (UCAS),https://www.lincoln.ac.uk/studywithus/undergraduatestudy/courses/international-tourism-management-bsc-hons
University of Lincoln,Lincoln,Lincoln International Business School,BSc (Hons),Marketing,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £16,900",29-Jan-2026 (UCAS),https://www.lincoln.ac.uk/studywithus/undergraduatestudy/courses/marketing-bsc-hons
