university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Plymouth,Plymouth,Faculty of Business,BA (Hons),Accounting and Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-accounting-and-finance/
University of Plymouth,Plymouth,Faculty of Business,BA (Hons),Accounting and Finance (with Foundation Year),4 Years,64 UCAS Tariff points. GCSE English grade 3/D. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-accounting-and-finance-with-foundation/
University of Plymouth,Plymouth,Faculty of Business,BSc (Hons),Business Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-business-management/
University of Plymouth,Plymouth,Faculty of Business,BSc (Hons),Business Management (with Foundation Year),4 Years,64 UCAS Tariff points. GCSE English grade 3/D. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-business-management-with-foundation/
University of Plymouth,Plymouth,Faculty of Business,BSc (Hons),Business Economics,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-business-economics/
University of Plymouth,Plymouth,Faculty of Business,BSc (Hons),Economics,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-economics/
University of Plymouth,Plymouth,Faculty of Business,BSc (Hons),Events Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-events-management/
University of Plymouth,Plymouth,Faculty of Business,BSc (Hons),Finance,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-finance/
University of Plymouth,Plymouth,Faculty of Business,BSc (Hons),Human Resource Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-human-resource-management/
University of Plymouth,Plymouth,Faculty of Business,BSc (Hons),International Business,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-business/
University of Plymouth,Plymouth,Faculty of Business,BSc (Hons),International Hospitality Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-hospitality-management/
University of Plymouth,Plymouth,Faculty of Business,BSc (Hons),Logistics and Supply Chain Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-logistics-and-supply-chain-management/
University of Plymouth,Plymouth,Faculty of Business,BSc (Hons),Marketing,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-marketing/
University of Plymouth,Plymouth,Faculty of Business,BSc (Hons),Marketing (with Foundation Year),4 Years,64 UCAS Tariff points. GCSE English grade 3/D. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-marketing-with-foundation/
University of Plymouth,Plymouth,Faculty of Business,BSc (Hons),Tourism Management,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-tourism-management/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Architecture,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. Portfolio required. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-architecture/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Architecture (with Foundation Year),4 Years,64 UCAS Tariff points. GCSE English grade 3/D. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-architecture-with-foundation/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Interior Architecture and Design,3 Years,112 UCAS Tariff points. GCSE English grade 4/C. Portfolio required. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-interior-architecture-and-design/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BSc (Hons),Quantity Surveying and Commercial Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-quantity-surveying-and-commercial-management/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BSc (Hons),Construction Project Management,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-construction-project-management/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BSc (Hons),Real Estate,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-real-estate/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Fine Art,3 Years,104 UCAS Tariff points. GCSE English grade 4/C. Portfolio required. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-fine-art/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Graphic Communication,3 Years,104 UCAS Tariff points. GCSE English grade 4/C. Portfolio required. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-graphic-communication/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Illustration,3 Years,104 UCAS Tariff points. GCSE English grade 4/C. Portfolio required. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-illustration/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Photography,3 Years,96 UCAS Tariff points. GCSE English grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-photography/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Fashion Design,3 Years,112 UCAS Tariff points. GCSE English grade 4/C. Portfolio required. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-fashion-design/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BSc (Hons),Product Design,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. Portfolio preferred. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-product-design/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Theatre and Performance,3 Years,104 UCAS Tariff points. GCSE English grade 4/C. Audition required. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-theatre/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Music,3 Years,104 UCAS Tariff points. GCSE English grade 4/C. Audition required. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-music/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Film,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-film/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Media Arts,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-media-arts/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Journalism,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-journalism/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Creative Writing,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-creative-writing/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Digital Arts,3 Years,96 UCAS Tariff points. GCSE English grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-digital-arts/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),English Literature,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-english-literature/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),English Language,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-english-language/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),History,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-history/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Philosophy,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-philosophy/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Theology and Religion,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-theology-and-religion/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Anthropology,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-anthropology/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Criminology,3 Years,112 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-criminology/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",LLB (Hons),Law,3 Years,112 UCAS Tariff points. GCSE English grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/llb-law/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",LLB (Hons),Law (with Foundation Year),4 Years,64 UCAS Tariff points. GCSE English grade 3/D. IB: 22 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/llb-law-with-foundation/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",LLB (Hons),Law with Criminology,3 Years,112 UCAS Tariff points. GCSE English grade 4/C. IB: 26 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/llb-law-with-criminology/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Politics,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-politics/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Politics and International Relations,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-politics-and-international-relations/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Sociology,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-sociology/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Social Policy,3 Years,96 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-social-policy/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Geography,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-geography/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Education Studies,3 Years,104 UCAS Tariff points. GCSE English and Maths grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-education-studies/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Early Childhood Studies,3 Years,104 UCAS Tariff points. GCSE English grade 4/C. DBS check required. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-early-childhood-studies/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Youth Work and Community Development,3 Years,96 UCAS Tariff points. GCSE English grade 4/C. IB: 24 points.,IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-youth-work-and-community-development/
University of Plymouth,Plymouth,"Faculty of Arts, Humanities and Social Sciences",BA (Hons),Primary Education with QTS,3 Years,"120 UCAS Tariff points. GCSE English, Maths and Science grade 4/C. All three required. QTS awarded on completion. IB: 28 points.",IELTS 6.0 overall (min 5.5 per component),"• £9,790/year
• £17,100",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/ba-primary-education-with-qts/
University of Plymouth,Plymouth,Faculty of Health,MB BChB,Medicine,5 Years,"144 UCAS Tariff points. GCSE English, Maths, Biology and Chemistry grade 5/B. Chemistry and Biology A-level required. IB: 34 points. UCAT required. Interview required. Contact for international availability.",IELTS 7.0 overall (min 7.0 per component),"• £9,790/year
• £18,100 (international admission subject to availability; contact admissions)",15-Oct-2025 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/mb-bchb-medicine/
University of Plymouth,Plymouth,Faculty of Health,BDS,Dentistry,5 Years,"144 UCAS Tariff points. GCSE English, Maths, Biology and Chemistry grade 5/B. Chemistry and Biology A-level required. IB: 34 points. UCAT required. Interview required.",IELTS 7.0 overall (min 7.0 per component),"• £9,790/year
• £18,100 (international admission subject to availability; contact admissions)",15-Oct-2025 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bds-dentistry/
University of Plymouth,Plymouth,Faculty of Health,BSc (Hons),Nursing (Adult),3 Years,"104 UCAS Tariff points. GCSE English, Maths and a Science grade 4/C. IB: 24 points. DBS check and occupational health clearance required.",IELTS 7.0 overall (min 7.0 per component),"• £9,790/year
• £18,100 (NHS Learning Support Fund bursary of £5,000/yr available for eligible UK students)",29-Jan-2026 (UCAS),https://www.plymouth.ac.uk/courses/undergraduate/bsc-nursing-adult/
