university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,BSc (Hons),Computer Science,3 Years,96 UCAS points: A-levels CCC/BCD or BTEC Extended Diploma MMM,IELTS 6.0 (min 5.5 each component),"UK: £9,535/year | International: £15,995/year",29-Jan-2026,https://www.wlv.ac.uk/courses/bsc-hons-computer-science
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,BSc (Hons),Computer Science with Foundation Year,4 Years,48 UCAS points: A-levels EEE or BTEC PPP,IELTS 6.0 (min 5.5 each component),"UK: £9,535/year | International: £15,995/year",29-Jan-2026,https://www.wlv.ac.uk/courses/bsc-hons-computer-science
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,BSc (Hons),Computer Science with Sandwich Year,4 Years,96 UCAS points: A-levels CCC/BCD or BTEC Extended Diploma MMM,IELTS 6.0 (min 5.5 each component),"UK: £9,535/year | International: £15,995/year",29-Jan-2026,https://www.wlv.ac.uk/courses/bsc-hons-computer-science
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,BSc (Hons),Cyber Security,3 Years,96 UCAS points: A-levels CCC/BCD or BTEC Extended Diploma MMM,IELTS 6.0 (min 5.5 each component),"UK: £9,535/year | International: £15,995/year",29-Jan-2026,https://www.wlv.ac.uk/courses/bsc-hons-cyber-security
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,BSc (Hons),Artificial Intelligence,3 Years,96 UCAS points: A-levels CCC/BCD or BTEC Extended Diploma MMM,IELTS 6.0 (min 5.5 each component),"UK: £9,535/year | International: £15,995/year",29-Jan-2026,https://www.wlv.ac.uk/courses/bsc-hons-artificial-intelligence
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,BSc (Hons),Games Programming,3 Years,96 UCAS points: A-levels CCC/BCD or BTEC Extended Diploma MMM,IELTS 6.0 (min 5.5 each component),"UK: £9,535/year | International: £15,995/year",29-Jan-2026,https://www.wlv.ac.uk/courses/bsc-hons-games-programming
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,MSc,Computer Science,1 Years,A lower second honours degree (2:2) in a relevant subject,IELTS 6.0 (min 5.5 each component),"UK: £9,088/year | International: £16,950/year",03-Aug-2026,https://www.wlv.ac.uk/courses/msc-computer-science
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,MSc,Cyber Security,1 Years,A lower second honours degree (2:2) in a relevant subject,IELTS 6.0 (min 5.5 each component),"UK: £9,088/year | International: £16,950/year",03-Aug-2026,https://www.wlv.ac.uk/courses/msc-cyber-security
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,MSc,Artificial Intelligence,1 Years,A lower second honours degree (2:2) in a relevant subject,IELTS 6.0 (min 5.5 each component),"UK: £9,088/year | International: £16,950/year",03-Aug-2026,https://www.wlv.ac.uk/courses/msc-artificial-intelligence
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,MSc,Data Science,1 Years,A lower second honours degree (2:2) in a relevant subject,IELTS 6.0 (min 5.5 each component),"UK: £9,088/year | International: £16,950/year",03-Aug-2026,https://www.wlv.ac.uk/courses/msc-data-science
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,BEng (Hons),Aerospace Engineering,3 Years,96 UCAS points: A-levels CCC/BCD or BTEC Extended Diploma MMM,IELTS 6.0 (min 5.5 each component),"UK: £9,535/year | International: £15,995/year",29-Jan-2026,https://www.wlv.ac.uk/courses/beng-hons-aerospace-engineering
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,BEng (Hons),Mechanical Engineering,3 Years,96 UCAS points: A-levels CCC/BCD or BTEC Extended Diploma MMM,IELTS 6.0 (min 5.5 each component),"UK: £9,535/year | International: £15,995/year",29-Jan-2026,https://www.wlv.ac.uk/courses/beng-hons-mechanical-engineering
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,BEng (Hons),Civil Engineering,3 Years,96 UCAS points: A-levels CCC/BCD or BTEC Extended Diploma MMM,IELTS 6.0 (min 5.5 each component),"UK: £9,535/year | International: £15,995/year",29-Jan-2026,https://www.wlv.ac.uk/courses/beng-hons-civil-engineering
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,BEng (Hons),Automotive Engineering,3 Years,96 UCAS points: A-levels CCC/BCD or BTEC Extended Diploma MMM,IELTS 6.0 (min 5.5 each component),"UK: £9,535/year | International: £15,995/year",29-Jan-2026,https://www.wlv.ac.uk/courses/beng-hons-automotive-engineering
University of Wolverhampton,Wolverhampton,Faculty of Science and Engineering,MSc,Mechanical Engineering,1 Years,A lower second honours degree (2:2) in a relevant subject,IELTS 6.0 (min 5.5 each component),"UK: £9,088/year | International: £16,950/year",03-Aug-2026,https://www.wlv.ac.uk/courses/msc-mechanical-engineering
