university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
York St John University,York,"School of Science, Technology and Health",BSc (Hons),Computer Science,3 Years,104 UCAS points: A-levels BCC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,790/year | International: £12,100/year",14-Jan-2026,https://www.yorksj.ac.uk/courses/undergraduate/computer-science-bsc-hons/
York St John University,York,"School of Science, Technology and Health",BSc (Hons),Computer Science with Placement Year,4 Years,104 UCAS points: A-levels BCC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,790/year | International: £12,100/year",14-Jan-2026,https://www.yorksj.ac.uk/courses/undergraduate/computer-science-with-placement-year-bsc-hons/
York St John University,York,"School of Science, Technology and Health",BSc (Hons),Software Engineering,3 Years,104 UCAS points: A-levels BCC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,790/year | International: £12,100/year",14-Jan-2026,https://www.yorksj.ac.uk/courses/undergraduate/software-engineering-bsc-hons/
York St John University,York,"School of Science, Technology and Health",BSc (Hons),Games Development,3 Years,104 UCAS points: A-levels BCC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,790/year | International: £12,100/year",14-Jan-2026,https://www.yorksj.ac.uk/courses/undergraduate/games-development-bsc-hons/
York St John University,York,"School of Science, Technology and Health",MSc,Computer Science,1 Years,A lower second honours degree (2:2) in a relevant subject,IELTS 6.0 (min 5.5 each component),"UK: £10,000/year | International: £11,800/year",26-Jul-2026,https://www.yorksj.ac.uk/courses/postgraduate/computer-science-msc/
York St John University,York,"School of Science, Technology and Health",MSc,Computer Science with Professional Experience,2 Years,A lower second honours degree (2:2) in a relevant subject,IELTS 6.0 (min 5.5 each component),"UK: £10,000/year | International: £11,800/year",26-Jul-2026,https://www.yorksj.ac.uk/courses/postgraduate/computer-science-with-professional-experience-msc/
York St John University,York,"School of Science, Technology and Health",MSc,Data Science,1 Years,A lower second honours degree (2:2) in a relevant subject,IELTS 6.0 (min 5.5 each component),"UK: £10,000/year | International: £11,800/year",26-Jul-2026,https://www.yorksj.ac.uk/courses/postgraduate/data-science-msc/
York St John University,York,"School of Science, Technology and Health",BSc (Hons),Biomedical Science,3 Years,104 UCAS points: A-levels BCC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,790/year | International: £12,100/year",14-Jan-2026,https://www.yorksj.ac.uk/courses/undergraduate/biomedical-science-bsc-hons/
York St John University,York,"School of Science, Technology and Health",BSc (Hons),Sport and Exercise Science,3 Years,104 UCAS points: A-levels BCC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,790/year | International: £12,100/year",14-Jan-2026,https://www.yorksj.ac.uk/courses/undergraduate/sport-and-exercise-science-bsc-hons/
York St John University,York,"School of Science, Technology and Health",BSc (Hons),Physical Education and Sports Coaching,3 Years,104 UCAS points: A-levels BCC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,790/year | International: £12,100/year",14-Jan-2026,https://www.yorksj.ac.uk/courses/undergraduate/physical-education-and-sports-coaching-bsc-hons/
York St John University,York,"School of Science, Technology and Health",BSc (Hons),Physiotherapy,3 Years,128 UCAS points; GCSE English/Maths C/4; DBS check,IELTS 7.0 (min 6.5 each component),"UK: £9,790/year | International: £12,100/year",14-Jan-2026,https://www.yorksj.ac.uk/courses/undergraduate/physiotherapy-bsc-hons/
York St John University,York,"School of Science, Technology and Health",BSc (Hons),Nursing (Adult),3 Years,104 UCAS points; GCSE English/Maths C/4; DBS check,IELTS 7.0 (min 6.5 each component),"UK: £9,790/year | International: £12,100/year",14-Jan-2026,https://www.yorksj.ac.uk/courses/undergraduate/nursing-adult-bsc-hons/
York St John University,York,"School of Science, Technology and Health",MSc,Physiotherapy (Pre-registration),2 Years,An upper second honours degree (2:1) in a relevant subject; relevant experience required,IELTS 7.0 (min 6.5 each component),"UK: £10,000/year | International: £11,800/year",26-Jul-2026,https://www.yorksj.ac.uk/courses/postgraduate/physiotherapy-pre-registration-msc/
York St John University,York,School of Business and Society,BA (Hons),Business Management,3 Years,104 UCAS points: A-levels BCC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,790/year | International: £12,100/year",14-Jan-2026,https://www.yorksj.ac.uk/courses/undergraduate/business-management-ba-hons/
York St John University,York,School of Business and Society,BA (Hons),Business Management with Foundation Year,4 Years,48 UCAS points: A-levels EEE or BTEC PPP,IELTS 6.0 (min 5.5 each component),"UK: £9,790/year | International: £12,100/year",14-Jan-2026,https://www.yorksj.ac.uk/courses/undergraduate/business-management-with-foundation-year-ba-hons/
York St John University,York,School of Business and Society,BA (Hons),Business Management and Finance,3 Years,104 UCAS points: A-levels BCC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,790/year | International: £12,100/year",14-Jan-2026,https://www.yorksj.ac.uk/courses/undergraduate/business-management-and-finance-ba-hons/
