university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Computer Science,3 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/computer-science-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Computer Science with Foundation Year,4 Years,48 UCAS points: A-levels EEE or BTEC PPP,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/computer-science-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Computer Science with Placement Year,4 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/computer-science-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Cyber Security,3 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/cyber-security-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Cyber Security with Foundation Year,4 Years,48 UCAS points: A-levels EEE or BTEC PPP,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/cyber-security-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Cyber Security with Placement Year,4 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/cyber-security-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Artificial Intelligence,3 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/artificial-intelligence-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Artificial Intelligence with Foundation Year,4 Years,48 UCAS points: A-levels EEE or BTEC PPP,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/artificial-intelligence-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Data Science,3 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/data-science-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Data Science with Placement Year,4 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/data-science-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Software Engineering,3 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/software-engineering-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Software Engineering with Placement Year,4 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/software-engineering-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Networking and Security,3 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/networking-and-security-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Networking and Security with Placement Year,4 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/networking-and-security-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Digital Forensics,3 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/digital-forensics-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Digital Forensics with Placement Year,4 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/digital-forensics-bsc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",MSc,Computer Science,1 Years,Undergraduate degree (2:2 or above) in a relevant subject,IELTS 6.0 (min 5.5 each component),"UK: £9,000/year | International: £14,500/year",27-Jun-2026,https://www.staffs.ac.uk/course/computer-science-msc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",MSc,Cyber Security,1 Years,Undergraduate degree (2:2 or above) in a relevant subject,IELTS 6.0 (min 5.5 each component),"UK: £9,000/year | International: £14,500/year",27-Jun-2026,https://www.staffs.ac.uk/course/cyber-security-msc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",MSc,Artificial Intelligence,1 Years,Undergraduate degree (2:2 or above) in a relevant subject,IELTS 6.0 (min 5.5 each component),"UK: £9,000/year | International: £14,500/year",27-Jun-2026,https://www.staffs.ac.uk/course/artificial-intelligence-msc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",MSc,Data Science,1 Years,Undergraduate degree (2:2 or above) in a relevant subject,IELTS 6.0 (min 5.5 each component),"UK: £9,000/year | International: £14,500/year",27-Jun-2026,https://www.staffs.ac.uk/course/data-science-msc
Staffordshire University,Stoke-on-Trent,"School of Digital, Technology, Innovation and Business",BSc (Hons),Games Design,3 Years,112-120 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM; Access to HE Pass with min 80 UCAS tariff points,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £15,750/year",29-Jan-2026,https://www.staffs.ac.uk/course/games-design-bsc
